

店名	日付	category	action	label	件数	時	分	秒
"NEW カラオケミッション 刈谷駅前店"	2026-04-01	501_Splash	AppStart	location=0,0,0	12	07	42	42
"NEW カラオケミッション 刈谷駅前店"	2026-04-02	501_Splash	AppStart	location=0,0,0	4	11	29	03
"NEW カラオケミッション 刈谷駅前店"	2026-04-03	501_Splash	AppStart	location=0,0,0	6	14	11	27
"NEW カラオケミッション 刈谷駅前店"	2026-04-04	501_Splash	AppStart	location=0,0,0	6	08	53	05
"NEW カラオケミッション 刈谷駅前店"	2026-04-05	501_Splash	AppStart	location=0,0,0	8	07	43	23
"NEW カラオケミッション 刈谷駅前店"	2026-04-06	501_Splash	AppStart	location=0,0,0	4	07	32	17
"NEW カラオケミッション 刈谷駅前店"	2026-04-07	501_Splash	AppStart	location=0,0,0	5	13	02	50
"NEW カラオケミッション 刈谷駅前店"	2026-04-08	501_Splash	AppStart	location=0,0,0	2	13	50	21
"NEW カラオケミッション 刈谷駅前店"	2026-04-09	501_Splash	AppStart	location=0,0,0	2	06	04	04
"NEW カラオケミッション 刈谷駅前店"	2026-04-10	501_Splash	AppStart	location=0,0,0	4	00	36	04
"NEW カラオケミッション 刈谷駅前店"	2026-04-11	501_Splash	AppStart	location=0,0,0	6	13	18	23
"NEW カラオケミッション 刈谷駅前店"	2026-04-12	501_Splash	AppStart	location=0,0,0	1	10	18	03
"NEW カラオケミッション 刈谷駅前店"	2026-04-13	501_Splash	AppStart	location=0,0,0	1	18	30	40
"NEW カラオケミッション 刈谷駅前店"	2026-04-15	501_Splash	AppStart	location=0,0,0	3	12	44	01
"NEW カラオケミッション 刈谷駅前店"	2026-04-16	501_Splash	AppStart	location=0,0,0	1	20	02	05
"NEW カラオケミッション 刈谷駅前店"	2026-04-17	501_Splash	AppStart	location=0,0,0	3	19	09	34
"NEW カラオケミッション 刈谷駅前店"	2026-04-18	501_Splash	AppStart	location=0,0,0	12	04	46	51
"NEW カラオケミッション 刈谷駅前店"	2026-04-19	501_Splash	AppStart	location=0,0,0	8	09	13	43
"NEW カラオケミッション 刈谷駅前店"	2026-04-20	501_Splash	AppStart	location=0,0,0	2	20	31	45
"NEW カラオケミッション 刈谷駅前店"	2026-04-21	501_Splash	AppStart	location=0,0,0	2	09	30	35
"NEW カラオケミッション 刈谷駅前店"	2026-04-22	501_Splash	AppStart	location=0,0,0	2	17	54	45
"NEW カラオケミッション 刈谷駅前店"	2026-04-23	501_Splash	AppStart	location=0,0,0	2	15	41	22
