

店名	日付	category	action	label	件数	時	分	秒
"カラオケCHIKARA 岐阜可児店 "	2026-04-01	501_Splash	AppStart	location=0,0,0	5	02	46	56
"カラオケCHIKARA 岐阜可児店 "	2026-04-02	501_Splash	AppStart	location=0,0,0	4	11	00	19
"カラオケCHIKARA 岐阜可児店 "	2026-04-03	501_Splash	AppStart	location=0,0,0	2	07	44	48
"カラオケCHIKARA 岐阜可児店 "	2026-04-04	501_Splash	AppStart	location=0,0,0	1	11	53	59
"カラオケCHIKARA 岐阜可児店 "	2026-04-05	501_Splash	AppStart	location=0,0,0	4	11	42	58
"カラオケCHIKARA 岐阜可児店 "	2026-04-07	501_Splash	AppStart	location=0,0,0	1	14	42	41
"カラオケCHIKARA 岐阜可児店 "	2026-04-08	501_Splash	AppStart	location=0,0,0	4	11	14	39
"カラオケCHIKARA 岐阜可児店 "	2026-04-10	501_Splash	AppStart	location=0,0,0	1	13	16	38
"カラオケCHIKARA 岐阜可児店 "	2026-04-11	501_Splash	AppStart	location=0,0,0	1	23	05	52
"カラオケCHIKARA 岐阜可児店 "	2026-04-12	501_Splash	AppStart	location=0,0,0	2	08	36	13
"カラオケCHIKARA 岐阜可児店 "	2026-04-13	501_Splash	AppStart	location=0,0,0	2	11	41	51
"カラオケCHIKARA 岐阜可児店 "	2026-04-14	501_Splash	AppStart	location=0,0,0	1	00	46	59
"カラオケCHIKARA 岐阜可児店 "	2026-04-15	501_Splash	AppStart	location=0,0,0	2	11	04	02
"カラオケCHIKARA 岐阜可児店 "	2026-04-18	501_Splash	AppStart	location=0,0,0	3	16	13	50
"カラオケCHIKARA 岐阜可児店 "	2026-04-23	501_Splash	AppStart	location=0,0,0	3	09	48	35
"カラオケCHIKARA 岐阜可児店 "	2026-04-24	501_Splash	AppStart	location=0,0,0	2	15	48	18
"カラオケCHIKARA 岐阜可児店 "	2026-04-25	501_Splash	AppStart	location=0,0,0	6	08	05	07
"カラオケCHIKARA 岐阜可児店 "	2026-04-26	501_Splash	AppStart	location=0,0,0	8	07	27	22
"カラオケCHIKARA 岐阜可児店 "	2026-04-27	501_Splash	AppStart	location=0,0,0	5	14	30	31
"カラオケCHIKARA 岐阜可児店 "	2026-04-28	501_Splash	AppStart	location=0,0,0	1	21	45	30
"カラオケCHIKARA 岐阜可児店 "	2026-04-29	501_Splash	AppStart	location=0,0,0	1	19	27	38
"カラオケCHIKARA 岐阜可児店 "	2026-04-30	501_Splash	AppStart	location=0,0,0	2	00	01	11
"カラオケCHIKARA 岐阜可児店 "	2026-04-19	501_Splash	AppStart	location=34.67492,135.111,88.98312	1	13	23	04
"カラオケCHIKARA 岐阜可児店 "	2026-04-03	501_Splash	AppStart	location=34.94761,136.581,26.14271	1	08	43	49
"カラオケCHIKARA 岐阜可児店 "	2026-04-01	501_Splash	AppStart	location=35.00299,137.0077,12.50205	2	11	30	46
"カラオケCHIKARA 岐阜可児店 "	2026-04-10	501_Splash	AppStart	location=35.10989,136.9027,4.171682	1	12	56	57
"カラオケCHIKARA 岐阜可児店 "	2026-04-06	501_Splash	AppStart	location=35.15284,136.9279,59.85699	1	21	57	58
"カラオケCHIKARA 岐阜可児店 "	2026-04-25	501_Splash	AppStart	location=35.15465,136.908,10.65388	1	19	46	35
"カラオケCHIKARA 岐阜可児店 "	2026-04-27	501_Splash	AppStart	location=35.15465,136.9081,12.13892	1	21	31	48
"カラオケCHIKARA 岐阜可児店 "	2026-04-08	501_Splash	AppStart	location=35.16367,136.9073,18.33336	1	16	25	29
"カラオケCHIKARA 岐阜可児店 "	2026-04-24	501_Splash	AppStart	location=35.16505,137.0368,81.92596	1	19	59	39
"カラオケCHIKARA 岐阜可児店 "	2026-04-08	501_Splash	AppStart	location=35.1694,136.9055,19.35428	1	16	47	27
"カラオケCHIKARA 岐阜可児店 "	2026-04-08	501_Splash	AppStart	location=35.16944,136.9057,18.29951	1	16	49	08
"カラオケCHIKARA 岐阜可児店 "	2026-04-26	501_Splash	AppStart	location=35.17251,137.0629,90.86808	1	19	24	13
"カラオケCHIKARA 岐阜可児店 "	2026-04-26	501_Splash	AppStart	location=35.17792,137.105,134.5664	1	19	29	33
"カラオケCHIKARA 岐阜可児店 "	2026-04-28	501_Splash	AppStart	location=35.18761,136.9056,11.43511	1	12	33	05
"カラオケCHIKARA 岐阜可児店 "	2026-04-26	501_Splash	AppStart	location=35.19054,137.1033,136.5795	1	19	31	57
"カラオケCHIKARA 岐阜可児店 "	2026-04-06	501_Splash	AppStart	location=35.20131,136.9465,51	1	18	06	31
"カラオケCHIKARA 岐阜可児店 "	2026-04-03	501_Splash	AppStart	location=35.20188,136.9251,9.134727	1	19	51	20
"カラオケCHIKARA 岐阜可児店 "	2026-04-08	501_Splash	AppStart	location=35.24887,136.9716,0	1	17	20	17
"カラオケCHIKARA 岐阜可児店 "	2026-04-02	501_Splash	AppStart	location=35.31159,137.1584,214.1117	1	16	41	37
"カラオケCHIKARA 岐阜可児店 "	2026-04-04	501_Splash	AppStart	location=35.31914,137.1112,174.189	1	02	34	40
"カラオケCHIKARA 岐阜可児店 "	2026-04-11	501_Splash	AppStart	location=35.31914,137.1112,178.3272	1	21	56	26
"カラオケCHIKARA 岐阜可児店 "	2026-04-10	501_Splash	AppStart	location=35.32601,136.8972,23.84439	1	06	24	58
