

店名	日付	category	action	label	件数	時	分	秒
"NEWカラオケミッション 多治見駅前店"	2026-04-01	501_Splash	AppStart	location=0,0,0	9	10	04	58
"NEWカラオケミッション 多治見駅前店"	2026-04-02	501_Splash	AppStart	location=0,0,0	3	07	37	37
"NEWカラオケミッション 多治見駅前店"	2026-04-03	501_Splash	AppStart	location=0,0,0	6	09	47	15
"NEWカラオケミッション 多治見駅前店"	2026-04-04	501_Splash	AppStart	location=0,0,0	2	14	12	23
"NEWカラオケミッション 多治見駅前店"	2026-04-05	501_Splash	AppStart	location=0,0,0	9	10	35	21
"NEWカラオケミッション 多治見駅前店"	2026-04-06	501_Splash	AppStart	location=0,0,0	11	01	00	11
"NEWカラオケミッション 多治見駅前店"	2026-04-07	501_Splash	AppStart	location=0,0,0	7	08	36	07
"NEWカラオケミッション 多治見駅前店"	2026-04-08	501_Splash	AppStart	location=0,0,0	2	00	16	48
"NEWカラオケミッション 多治見駅前店"	2026-04-09	501_Splash	AppStart	location=0,0,0	2	11	13	48
"NEWカラオケミッション 多治見駅前店"	2026-04-10	501_Splash	AppStart	location=0,0,0	1	17	01	03
"NEWカラオケミッション 多治見駅前店"	2026-04-11	501_Splash	AppStart	location=0,0,0	4	02	14	35
"NEWカラオケミッション 多治見駅前店"	2026-04-12	501_Splash	AppStart	location=0,0,0	5	09	57	22
"NEWカラオケミッション 多治見駅前店"	2026-04-13	501_Splash	AppStart	location=0,0,0	1	17	48	58
"NEWカラオケミッション 多治見駅前店"	2026-04-14	501_Splash	AppStart	location=0,0,0	1	21	01	01
"NEWカラオケミッション 多治見駅前店"	2026-04-15	501_Splash	AppStart	location=0,0,0	1	01	10	46
"NEWカラオケミッション 多治見駅前店"	2026-04-16	501_Splash	AppStart	location=0,0,0	1	16	40	59
"NEWカラオケミッション 多治見駅前店"	2026-04-17	501_Splash	AppStart	location=0,0,0	3	01	12	37
"NEWカラオケミッション 多治見駅前店"	2026-04-18	501_Splash	AppStart	location=0,0,0	3	11	23	34
"NEWカラオケミッション 多治見駅前店"	2026-04-19	501_Splash	AppStart	location=0,0,0	2	17	10	44
"NEWカラオケミッション 多治見駅前店"	2026-04-20	501_Splash	AppStart	location=0,0,0	5	14	01	31
"NEWカラオケミッション 多治見駅前店"	2026-04-22	501_Splash	AppStart	location=0,0,0	2	20	37	50
"NEWカラオケミッション 多治見駅前店"	2026-04-23	501_Splash	AppStart	location=0,0,0	3	00	57	59
"NEWカラオケミッション 多治見駅前店"	2026-04-24	501_Splash	AppStart	location=0,0,0	4	00	07	55
"NEWカラオケミッション 多治見駅前店"	2026-04-25	501_Splash	AppStart	location=0,0,0	3	08	18	42
"NEWカラオケミッション 多治見駅前店"	2026-04-26	501_Splash	AppStart	location=0,0,0	4	01	56	48
"NEWカラオケミッション 多治見駅前店"	2026-04-27	501_Splash	AppStart	location=0,0,0	5	10	55	31
"NEWカラオケミッション 多治見駅前店"	2026-04-28	501_Splash	AppStart	location=0,0,0	6	13	49	46
"NEWカラオケミッション 多治見駅前店"	2026-04-29	501_Splash	AppStart	location=0,0,0	5	00	09	19
"NEWカラオケミッション 多治見駅前店"	2026-04-30	501_Splash	AppStart	location=0,0,0	1	16	26	06
"NEWカラオケミッション 多治見駅前店"	2026-04-26	501_Splash	AppStart	location=34.40563,132.7226,248.0224	1	08	52	36
"NEWカラオケミッション 多治見駅前店"	2026-04-27	501_Splash	AppStart	location=34.40564,132.7226,248.0205	1	20	05	46
"NEWカラオケミッション 多治見駅前店"	2026-04-04	501_Splash	AppStart	location=34.56388,136.5199,56.4	1	08	08	52
"NEWカラオケミッション 多治見駅前店"	2026-04-16	501_Splash	AppStart	location=34.67138,135.1732,6.122559	2	09	47	45
"NEWカラオケミッション 多治見駅前店"	2026-04-05	501_Splash	AppStart	location=34.73538,136.5197,4.911346	1	17	32	25
"NEWカラオケミッション 多治見駅前店"	2026-04-13	501_Splash	AppStart	location=34.98717,137.0784,21.68572	1	23	02	59
"NEWカラオケミッション 多治見駅前店"	2026-04-18	501_Splash	AppStart	location=35.00827,137.0409,55.1	2	18	05	30
"NEWカラオケミッション 多治見駅前店"	2026-04-18	501_Splash	AppStart	location=35.01822,136.8763,45.4404	1	06	54	30
"NEWカラオケミッション 多治見駅前店"	2026-04-01	501_Splash	AppStart	location=35.03453,137.0977,69.7	1	01	28	12
"NEWカラオケミッション 多治見駅前店"	2026-04-15	501_Splash	AppStart	location=35.08639,137.1546,55.68414	1	10	55	38
"NEWカラオケミッション 多治見駅前店"	2026-04-15	501_Splash	AppStart	location=35.12588,136.9124,13.0669	1	11	26	49
"NEWカラオケミッション 多治見駅前店"	2026-04-16	501_Splash	AppStart	location=35.12936,136.9865,6.207679	1	08	58	29
"NEWカラオケミッション 多治見駅前店"	2026-04-10	501_Splash	AppStart	location=35.14472,136.9029,15.81664	1	15	13	09
"NEWカラオケミッション 多治見駅前店"	2026-04-11	501_Splash	AppStart	location=35.15586,136.9198,8.128409	1	17	19	09
"NEWカラオケミッション 多治見駅前店"	2026-04-11	501_Splash	AppStart	location=35.1559,136.9198,8.673566	1	17	54	39
"NEWカラオケミッション 多治見駅前店"	2026-04-16	501_Splash	AppStart	location=35.15791,136.9069,50.3	1	17	30	10
"NEWカラオケミッション 多治見駅前店"	2026-04-06	501_Splash	AppStart	location=35.16212,136.9846,9.190968	1	12	59	04
"NEWカラオケミッション 多治見駅前店"	2026-04-01	501_Splash	AppStart	location=35.16852,136.8856,43.7	1	13	02	39
"NEWカラオケミッション 多治見駅前店"	2026-04-10	501_Splash	AppStart	location=35.17149,136.884,18.3544	1	13	29	44
"NEWカラオケミッション 多治見駅前店"	2026-04-09	501_Splash	AppStart	location=35.17184,136.9321,19.55953	1	15	12	31
"NEWカラオケミッション 多治見駅前店"	2026-04-12	501_Splash	AppStart	location=35.1836,136.8768,5.326654	1	19	02	57
"NEWカラオケミッション 多治見駅前店"	2026-04-27	501_Splash	AppStart	location=35.21844,136.9527,15.1242	1	13	39	00
"NEWカラオケミッション 多治見駅前店"	2026-04-10	501_Splash	AppStart	location=35.23027,136.9562,24.07402	1	18	35	01
"NEWカラオケミッション 多治見駅前店"	2026-04-20	501_Splash	AppStart	location=35.26459,137.0435,52.32414	1	18	59	53
"NEWカラオケミッション 多治見駅前店"	2026-04-11	501_Splash	AppStart	location=35.26462,137.0432,54.00569	1	19	22	58
"NEWカラオケミッション 多治見駅前店"	2026-04-23	501_Splash	AppStart	location=35.26468,137.044,56.65641	1	15	28	12
"NEWカラオケミッション 多治見駅前店"	2026-04-30	501_Splash	AppStart	location=35.26476,137.0432,53.01572	1	15	02	15
"NEWカラオケミッション 多治見駅前店"	2026-04-02	501_Splash	AppStart	location=35.272,137.015,62.25071	1	10	38	35
"NEWカラオケミッション 多治見駅前店"	2026-04-19	501_Splash	AppStart	location=35.27833,136.9285,21.51872	1	08	03	48
"NEWカラオケミッション 多治見駅前店"	2026-04-28	501_Splash	AppStart	location=35.29433,137.1413,207.207	1	04	57	50
"NEWカラオケミッション 多治見駅前店"	2026-04-04	501_Splash	AppStart	location=35.29433,137.1413,208.7254	1	08	16	44
"NEWカラオケミッション 多治見駅前店"	2026-04-03	501_Splash	AppStart	location=35.29433,137.1413,214.4093	1	23	38	05
"NEWカラオケミッション 多治見駅前店"	2026-04-08	501_Splash	AppStart	location=35.30027,137.1106,223.5	1	11	41	48
"NEWカラオケミッション 多治見駅前店"	2026-04-16	501_Splash	AppStart	location=35.30032,137.1105,223.1	1	20	16	54
"NEWカラオケミッション 多治見駅前店"	2026-04-13	501_Splash	AppStart	location=35.30123,137.158,175.8582	1	07	43	48
"NEWカラオケミッション 多治見駅前店"	2026-04-04	501_Splash	AppStart	location=35.30233,137.1093,177.4053	1	17	52	40
"NEWカラオケミッション 多治見駅前店"	2026-04-17	501_Splash	AppStart	location=35.30282,137.1198,177.1	1	23	34	26
"NEWカラオケミッション 多治見駅前店"	2026-04-08	501_Splash	AppStart	location=35.30292,137.1202,176.9	1	22	57	15
"NEWカラオケミッション 多治見駅前店"	2026-04-02	501_Splash	AppStart	location=35.30362,137.1015,92.85407	1	11	11	23
"NEWカラオケミッション 多治見駅前店"	2026-04-14	501_Splash	AppStart	location=35.30382,137.1065,216.1	1	07	01	20
"NEWカラオケミッション 多治見駅前店"	2026-04-14	501_Splash	AppStart	location=35.30386,137.1065,216.7	1	07	01	37
"NEWカラオケミッション 多治見駅前店"	2026-04-01	501_Splash	AppStart	location=35.30636,137.17,211.4642	2	11	01	57
"NEWカラオケミッション 多治見駅前店"	2026-04-01	501_Splash	AppStart	location=35.3115,137.1271,203.4	1	11	29	20
"NEWカラオケミッション 多治見駅前店"	2026-04-20	501_Splash	AppStart	location=35.31152,137.1271,200.3	1	01	02	04
"NEWカラオケミッション 多治見駅前店"	2026-04-03	501_Splash	AppStart	location=35.31334,137.1145,186.0934	1	08	54	46
"NEWカラオケミッション 多治見駅前店"	2026-04-03	501_Splash	AppStart	location=35.31336,137.1145,188.5703	2	07	31	41
"NEWカラオケミッション 多治見駅前店"	2026-04-02	501_Splash	AppStart	location=35.31337,137.1145,191.5819	2	23	26	25
"NEWカラオケミッション 多治見駅前店"	2026-04-03	501_Splash	AppStart	location=35.31378,137.1214,186.1811	1	09	49	50
"NEWカラオケミッション 多治見駅前店"	2026-04-06	501_Splash	AppStart	location=35.31414,137.1097,177.742	1	07	54	03
"NEWカラオケミッション 多治見駅前店"	2026-04-06	501_Splash	AppStart	location=35.31414,137.1097,179.5554	1	07	39	36
"NEWカラオケミッション 多治見駅前店"	2026-04-30	501_Splash	AppStart	location=35.31485,137.1097,182.2586	1	19	56	30
"NEWカラオケミッション 多治見駅前店"	2026-04-25	501_Splash	AppStart	location=35.31485,137.1097,183.129	1	14	44	48
"NEWカラオケミッション 多治見駅前店"	2026-04-26	501_Splash	AppStart	location=35.31485,137.1097,183.2597	1	13	20	47
"NEWカラオケミッション 多治見駅前店"	2026-04-26	501_Splash	AppStart	location=35.31485,137.1097,183.3885	1	10	08	57
"NEWカラオケミッション 多治見駅前店"	2026-04-21	501_Splash	AppStart	location=35.31487,137.1097,184.0064	1	13	37	28
"NEWカラオケミッション 多治見駅前店"	2026-04-29	501_Splash	AppStart	location=35.31488,137.1097,184.4923	1	17	23	18
"NEWカラオケミッション 多治見駅前店"	2026-04-29	501_Splash	AppStart	location=35.31488,137.1097,184.5977	1	00	03	41
"NEWカラオケミッション 多治見駅前店"	2026-04-03	501_Splash	AppStart	location=35.31496,137.1106,224.3	1	11	35	52
"NEWカラオケミッション 多治見駅前店"	2026-04-04	501_Splash	AppStart	location=35.31543,137.1283,136.9669	1	13	39	03
"NEWカラオケミッション 多治見駅前店"	2026-04-04	501_Splash	AppStart	location=35.31552,137.1515,196.1113	1	20	41	48
"NEWカラオケミッション 多治見駅前店"	2026-04-26	501_Splash	AppStart	location=35.31557,137.1282,179.1	1	13	36	44
"NEWカラオケミッション 多治見駅前店"	2026-04-26	501_Splash	AppStart	location=35.31559,137.1512,202.9195	1	17	37	09
"NEWカラオケミッション 多治見駅前店"	2026-04-26	501_Splash	AppStart	location=35.3156,137.1282,179.1	1	09	28	33
"NEWカラオケミッション 多治見駅前店"	2026-04-26	501_Splash	AppStart	location=35.31561,137.1282,179.2	1	09	50	10
"NEWカラオケミッション 多治見駅前店"	2026-04-05	501_Splash	AppStart	location=35.31569,137.1282,174.1	1	19	24	35
