

店名	日付	category	action	label	件数	時	分	秒
"カラオケミッション 太田川駅前店"	2026-04-01	501_Splash	AppStart	location=0,0,0	3	13	31	30
"カラオケミッション 太田川駅前店"	2026-04-02	501_Splash	AppStart	location=0,0,0	2	11	30	42
"カラオケミッション 太田川駅前店"	2026-04-03	501_Splash	AppStart	location=0,0,0	2	16	54	19
"カラオケミッション 太田川駅前店"	2026-04-04	501_Splash	AppStart	location=0,0,0	2	21	09	29
"カラオケミッション 太田川駅前店"	2026-04-05	501_Splash	AppStart	location=0,0,0	2	13	28	56
"カラオケミッション 太田川駅前店"	2026-04-06	501_Splash	AppStart	location=0,0,0	3	17	51	38
"カラオケミッション 太田川駅前店"	2026-04-07	501_Splash	AppStart	location=0,0,0	2	15	55	20
"カラオケミッション 太田川駅前店"	2026-04-08	501_Splash	AppStart	location=0,0,0	1	18	40	06
"カラオケミッション 太田川駅前店"	2026-04-09	501_Splash	AppStart	location=0,0,0	1	19	17	22
"カラオケミッション 太田川駅前店"	2026-04-11	501_Splash	AppStart	location=0,0,0	5	10	43	04
"カラオケミッション 太田川駅前店"	2026-04-12	501_Splash	AppStart	location=0,0,0	5	10	00	59
"カラオケミッション 太田川駅前店"	2026-04-13	501_Splash	AppStart	location=0,0,0	2	11	02	56
"カラオケミッション 太田川駅前店"	2026-04-16	501_Splash	AppStart	location=0,0,0	4	15	42	43
"カラオケミッション 太田川駅前店"	2026-04-17	501_Splash	AppStart	location=0,0,0	1	19	11	24
"カラオケミッション 太田川駅前店"	2026-04-18	501_Splash	AppStart	location=0,0,0	5	18	01	02
"カラオケミッション 太田川駅前店"	2026-04-20	501_Splash	AppStart	location=0,0,0	1	16	44	28
"カラオケミッション 太田川駅前店"	2026-04-21	501_Splash	AppStart	location=0,0,0	1	22	10	49
"カラオケミッション 太田川駅前店"	2026-04-23	501_Splash	AppStart	location=0,0,0	3	11	55	13
"カラオケミッション 太田川駅前店"	2026-04-24	501_Splash	AppStart	location=0,0,0	5	13	02	12
"カラオケミッション 太田川駅前店"	2026-04-25	501_Splash	AppStart	location=0,0,0	1	17	11	43
"カラオケミッション 太田川駅前店"	2026-04-26	501_Splash	AppStart	location=0,0,0	1	12	52	11
"カラオケミッション 太田川駅前店"	2026-04-29	501_Splash	AppStart	location=0,0,0	1	13	27	02
"カラオケミッション 太田川駅前店"	2026-04-01	501_Splash	AppStart	location=34.82554,137.3754,19.19435	1	11	45	27
"カラオケミッション 太田川駅前店"	2026-04-30	501_Splash	AppStart	location=34.84877,136.9241,6.570495	1	13	51	12
"カラオケミッション 太田川駅前店"	2026-04-30	501_Splash	AppStart	location=34.84878,136.9241,6.570495	1	13	49	22
"カラオケミッション 太田川駅前店"	2026-04-25	501_Splash	AppStart	location=34.85726,136.8224,6.777122	1	17	15	51
"カラオケミッション 太田川駅前店"	2026-04-05	501_Splash	AppStart	location=34.87949,136.918,6.941513	1	09	53	23
"カラオケミッション 太田川駅前店"	2026-04-28	501_Splash	AppStart	location=34.88914,136.853,64.9	1	23	30	39
