

店名	日付	category	action	label	件数	時	分	秒
"カラオケミッション 掛川駅前店"	2026-04-01	501_Splash	AppStart	location=0,0,0	5	11	18	50
"カラオケミッション 掛川駅前店"	2026-04-02	501_Splash	AppStart	location=0,0,0	1	16	28	05
"カラオケミッション 掛川駅前店"	2026-04-03	501_Splash	AppStart	location=0,0,0	6	07	17	46
"カラオケミッション 掛川駅前店"	2026-04-04	501_Splash	AppStart	location=0,0,0	4	14	45	55
"カラオケミッション 掛川駅前店"	2026-04-05	501_Splash	AppStart	location=0,0,0	6	01	21	05
"カラオケミッション 掛川駅前店"	2026-04-06	501_Splash	AppStart	location=0,0,0	5	11	10	07
"カラオケミッション 掛川駅前店"	2026-04-07	501_Splash	AppStart	location=0,0,0	3	16	12	36
"カラオケミッション 掛川駅前店"	2026-04-10	501_Splash	AppStart	location=0,0,0	4	12	56	43
"カラオケミッション 掛川駅前店"	2026-04-11	501_Splash	AppStart	location=0,0,0	3	16	48	22
"カラオケミッション 掛川駅前店"	2026-04-12	501_Splash	AppStart	location=0,0,0	2	08	55	38
"カラオケミッション 掛川駅前店"	2026-04-13	501_Splash	AppStart	location=0,0,0	1	22	17	28
"カラオケミッション 掛川駅前店"	2026-04-14	501_Splash	AppStart	location=0,0,0	3	16	24	44
"カラオケミッション 掛川駅前店"	2026-04-15	501_Splash	AppStart	location=0,0,0	3	11	14	35
"カラオケミッション 掛川駅前店"	2026-04-16	501_Splash	AppStart	location=0,0,0	4	00	05	36
"カラオケミッション 掛川駅前店"	2026-04-17	501_Splash	AppStart	location=0,0,0	3	11	41	33
"カラオケミッション 掛川駅前店"	2026-04-18	501_Splash	AppStart	location=0,0,0	2	12	18	37
"カラオケミッション 掛川駅前店"	2026-04-19	501_Splash	AppStart	location=0,0,0	5	10	39	54
"カラオケミッション 掛川駅前店"	2026-04-20	501_Splash	AppStart	location=0,0,0	2	11	32	48
"カラオケミッション 掛川駅前店"	2026-04-21	501_Splash	AppStart	location=0,0,0	3	19	28	31
"カラオケミッション 掛川駅前店"	2026-04-22	501_Splash	AppStart	location=0,0,0	2	14	58	54
"カラオケミッション 掛川駅前店"	2026-04-23	501_Splash	AppStart	location=0,0,0	3	03	53	41
"カラオケミッション 掛川駅前店"	2026-04-24	501_Splash	AppStart	location=0,0,0	2	20	10	49
"カラオケミッション 掛川駅前店"	2026-04-25	501_Splash	AppStart	location=0,0,0	7	06	02	19
"カラオケミッション 掛川駅前店"	2026-04-26	501_Splash	AppStart	location=0,0,0	4	12	12	35
"カラオケミッション 掛川駅前店"	2026-04-27	501_Splash	AppStart	location=0,0,0	1	16	59	59
"カラオケミッション 掛川駅前店"	2026-04-28	501_Splash	AppStart	location=0,0,0	3	00	28	54
"カラオケミッション 掛川駅前店"	2026-04-29	501_Splash	AppStart	location=0,0,0	4	11	17	05
"カラオケミッション 掛川駅前店"	2026-04-30	501_Splash	AppStart	location=0,0,0	5	10	46	20
"カラオケミッション 掛川駅前店"	2026-04-27	501_Splash	AppStart	location=34.59904,138.227,40.3727	1	20	17	18
"カラオケミッション 掛川駅前店"	2026-04-01	501_Splash	AppStart	location=34.60865,138.211,48.97406	1	11	35	48
"カラオケミッション 掛川駅前店"	2026-04-24	501_Splash	AppStart	location=34.64457,138.1301,18.00869	1	14	46	37
"カラオケミッション 掛川駅前店"	2026-04-15	501_Splash	AppStart	location=34.64863,138.1094,31.44859	1	20	58	47
"カラオケミッション 掛川駅前店"	2026-04-12	501_Splash	AppStart	location=34.66365,138.0351,11.3358	1	10	16	03
"カラオケミッション 掛川駅前店"	2026-04-20	501_Splash	AppStart	location=34.67899,138.1024,16.03902	1	14	57	01
"カラオケミッション 掛川駅前店"	2026-04-29	501_Splash	AppStart	location=34.68008,138.105,43	1	12	17	06
"カラオケミッション 掛川駅前店"	2026-04-14	501_Splash	AppStart	location=34.68317,137.9343,5.736958	1	15	47	42
"カラオケミッション 掛川駅前店"	2026-04-01	501_Splash	AppStart	location=34.68651,138.0923,6.438564	1	17	37	09
"カラオケミッション 掛川駅前店"	2026-04-02	501_Splash	AppStart	location=34.70197,138.1212,33.25881	1	06	12	49
"カラオケミッション 掛川駅前店"	2026-04-25	501_Splash	AppStart	location=34.70408,137.7351,49.1	1	18	44	22
"カラオケミッション 掛川駅前店"	2026-04-27	501_Splash	AppStart	location=34.70475,137.7305,12.66879	1	15	33	13
"カラオケミッション 掛川駅前店"	2026-04-13	501_Splash	AppStart	location=34.70703,137.763,54.7	1	16	42	23
"カラオケミッション 掛川駅前店"	2026-04-20	501_Splash	AppStart	location=34.70821,137.7316,13.40005	1	11	12	13
"カラオケミッション 掛川駅前店"	2026-04-21	501_Splash	AppStart	location=34.70871,138.0912,11.38088	1	21	04	47
"カラオケミッション 掛川駅前店"	2026-04-27	501_Splash	AppStart	location=34.7101,138.081,51.4	5	09	48	53
"カラオケミッション 掛川駅前店"	2026-04-22	501_Splash	AppStart	location=34.7211,138.0716,66.7	1	10	15	35
"カラオケミッション 掛川駅前店"	2026-04-23	501_Splash	AppStart	location=34.72254,137.9201,9.242158	1	10	58	08
"カラオケミッション 掛川駅前店"	2026-04-21	501_Splash	AppStart	location=34.73151,137.8298,56.78448	1	16	54	19
"カラオケミッション 掛川駅前店"	2026-04-23	501_Splash	AppStart	location=34.7338,138.0884,15.92972	1	20	48	59
"カラオケミッション 掛川駅前店"	2026-04-04	501_Splash	AppStart	location=34.73397,137.932,13.41168	1	21	02	07
