

店名	日付	category	action	label	件数	時	分	秒
"カラオケCHIKARA 東岡崎駅前店"	2026-04-01	501_Splash	AppStart	location=0,0,0	8	03	41	46
"カラオケCHIKARA 東岡崎駅前店"	2026-04-02	501_Splash	AppStart	location=0,0,0	4	05	15	19
"カラオケCHIKARA 東岡崎駅前店"	2026-04-03	501_Splash	AppStart	location=0,0,0	10	02	33	32
"カラオケCHIKARA 東岡崎駅前店"	2026-04-04	501_Splash	AppStart	location=0,0,0	5	12	50	50
"カラオケCHIKARA 東岡崎駅前店"	2026-04-05	501_Splash	AppStart	location=0,0,0	9	10	09	51
"カラオケCHIKARA 東岡崎駅前店"	2026-04-06	501_Splash	AppStart	location=0,0,0	9	02	55	30
"カラオケCHIKARA 東岡崎駅前店"	2026-04-07	501_Splash	AppStart	location=0,0,0	6	00	33	27
"カラオケCHIKARA 東岡崎駅前店"	2026-04-08	501_Splash	AppStart	location=0,0,0	3	10	42	07
"カラオケCHIKARA 東岡崎駅前店"	2026-04-09	501_Splash	AppStart	location=0,0,0	1	20	44	54
"カラオケCHIKARA 東岡崎駅前店"	2026-04-10	501_Splash	AppStart	location=0,0,0	2	10	55	46
"カラオケCHIKARA 東岡崎駅前店"	2026-04-11	501_Splash	AppStart	location=0,0,0	2	15	01	09
"カラオケCHIKARA 東岡崎駅前店"	2026-04-12	501_Splash	AppStart	location=0,0,0	2	18	39	41
"カラオケCHIKARA 東岡崎駅前店"	2026-04-13	501_Splash	AppStart	location=0,0,0	4	12	52	28
"カラオケCHIKARA 東岡崎駅前店"	2026-04-14	501_Splash	AppStart	location=0,0,0	5	15	13	18
"カラオケCHIKARA 東岡崎駅前店"	2026-04-15	501_Splash	AppStart	location=0,0,0	7	15	59	57
"カラオケCHIKARA 東岡崎駅前店"	2026-04-16	501_Splash	AppStart	location=0,0,0	3	16	25	37
"カラオケCHIKARA 東岡崎駅前店"	2026-04-17	501_Splash	AppStart	location=0,0,0	2	10	01	59
"カラオケCHIKARA 東岡崎駅前店"	2026-04-18	501_Splash	AppStart	location=0,0,0	7	00	00	54
"カラオケCHIKARA 東岡崎駅前店"	2026-04-19	501_Splash	AppStart	location=0,0,0	2	10	51	35
"カラオケCHIKARA 東岡崎駅前店"	2026-04-20	501_Splash	AppStart	location=0,0,0	5	14	50	42
"カラオケCHIKARA 東岡崎駅前店"	2026-04-21	501_Splash	AppStart	location=0,0,0	6	00	19	51
"カラオケCHIKARA 東岡崎駅前店"	2026-04-22	501_Splash	AppStart	location=0,0,0	5	14	43	34
"カラオケCHIKARA 東岡崎駅前店"	2026-04-23	501_Splash	AppStart	location=0,0,0	5	06	20	54
"カラオケCHIKARA 東岡崎駅前店"	2026-04-24	501_Splash	AppStart	location=0,0,0	3	16	50	31
"カラオケCHIKARA 東岡崎駅前店"	2026-04-25	501_Splash	AppStart	location=0,0,0	6	03	31	50
"カラオケCHIKARA 東岡崎駅前店"	2026-04-26	501_Splash	AppStart	location=0,0,0	9	09	06	08
"カラオケCHIKARA 東岡崎駅前店"	2026-04-27	501_Splash	AppStart	location=0,0,0	1	21	08	08
"カラオケCHIKARA 東岡崎駅前店"	2026-04-28	501_Splash	AppStart	location=0,0,0	11	10	28	15
"カラオケCHIKARA 東岡崎駅前店"	2026-04-29	501_Splash	AppStart	location=0,0,0	6	11	05	06
"カラオケCHIKARA 東岡崎駅前店"	2026-04-30	501_Splash	AppStart	location=0,0,0	2	12	42	07
"カラオケCHIKARA 東岡崎駅前店"	2026-04-27	501_Splash	AppStart	location=34.76364,137.3806,50.5	1	07	39	53
"カラオケCHIKARA 東岡崎駅前店"	2026-04-06	501_Splash	AppStart	location=34.76447,137.3846,10.24956	1	16	19	35
"カラオケCHIKARA 東岡崎駅前店"	2026-04-17	501_Splash	AppStart	location=34.76983,137.3906,13.80423	1	11	16	43
"カラオケCHIKARA 東岡崎駅前店"	2026-04-19	501_Splash	AppStart	location=34.78771,137.3693,7.795173	1	23	20	04
"カラオケCHIKARA 東岡崎駅前店"	2026-04-01	501_Splash	AppStart	location=34.80963,137.268,24.91161	1	16	11	26
"カラオケCHIKARA 東岡崎駅前店"	2026-04-05	501_Splash	AppStart	location=34.81331,137.3013,47.2	1	20	49	36
"カラオケCHIKARA 東岡崎駅前店"	2026-04-05	501_Splash	AppStart	location=34.84289,137.379,32.68203	1	02	12	50
"カラオケCHIKARA 東岡崎駅前店"	2026-04-26	501_Splash	AppStart	location=34.85052,138.2519,41.02871	1	20	36	38
"カラオケCHIKARA 東岡崎駅前店"	2026-04-26	501_Splash	AppStart	location=34.85057,138.2519,43.34744	2	20	36	53
"カラオケCHIKARA 東岡崎駅前店"	2026-04-19	501_Splash	AppStart	location=34.85684,137.0453,6.766534	1	08	08	43
"カラオケCHIKARA 東岡崎駅前店"	2026-04-27	501_Splash	AppStart	location=34.86449,138.2639,20.43795	1	16	54	49
"カラオケCHIKARA 東岡崎駅前店"	2026-04-04	501_Splash	AppStart	location=34.87084,137.0615,8.963615	1	12	02	18
"カラオケCHIKARA 東岡崎駅前店"	2026-04-28	501_Splash	AppStart	location=34.88255,135.0507,115.5631	1	12	28	29
"カラオケCHIKARA 東岡崎駅前店"	2026-04-16	501_Splash	AppStart	location=34.89066,137.228,109.564	1	18	46	27
"カラオケCHIKARA 東岡崎駅前店"	2026-04-19	501_Splash	AppStart	location=34.89066,137.228,110.1878	1	07	59	56
"カラオケCHIKARA 東岡崎駅前店"	2026-04-21	501_Splash	AppStart	location=34.89066,137.228,91.70085	1	20	21	43
"カラオケCHIKARA 東岡崎駅前店"	2026-04-26	501_Splash	AppStart	location=34.89352,137.2525,99.54858	1	16	56	06
"カラオケCHIKARA 東岡崎駅前店"	2026-04-05	501_Splash	AppStart	location=34.89354,137.2525,102.1741	1	09	31	20
"カラオケCHIKARA 東岡崎駅前店"	2026-04-26	501_Splash	AppStart	location=34.90623,137.1659,21.26863	1	17	28	24
"カラオケCHIKARA 東岡崎駅前店"	2026-04-26	501_Splash	AppStart	location=34.90623,137.1659,22.57187	2	10	36	22
"カラオケCHIKARA 東岡崎駅前店"	2026-04-25	501_Splash	AppStart	location=34.90623,137.1659,23.20767	1	21	17	50
"カラオケCHIKARA 東岡崎駅前店"	2026-04-26	501_Splash	AppStart	location=34.90627,137.1659,20.3865	1	21	10	13
"カラオケCHIKARA 東岡崎駅前店"	2026-04-25	501_Splash	AppStart	location=34.90627,137.1659,20.7776	1	16	50	39
