

店名	日付	category	action	label	件数	時	分	秒
"カラオケミッション 津駅前店"	2026-04-01	501_Splash	AppStart	location=0,0,0	5	10	31	50
"カラオケミッション 津駅前店"	2026-04-02	501_Splash	AppStart	location=0,0,0	9	10	50	05
"カラオケミッション 津駅前店"	2026-04-03	501_Splash	AppStart	location=0,0,0	12	07	40	15
"カラオケミッション 津駅前店"	2026-04-04	501_Splash	AppStart	location=0,0,0	8	00	17	59
"カラオケミッション 津駅前店"	2026-04-05	501_Splash	AppStart	location=0,0,0	2	13	59	11
"カラオケミッション 津駅前店"	2026-04-06	501_Splash	AppStart	location=0,0,0	6	00	46	58
"カラオケミッション 津駅前店"	2026-04-07	501_Splash	AppStart	location=0,0,0	2	15	10	19
"カラオケミッション 津駅前店"	2026-04-08	501_Splash	AppStart	location=0,0,0	2	11	42	10
"カラオケミッション 津駅前店"	2026-04-09	501_Splash	AppStart	location=0,0,0	1	13	34	17
"カラオケミッション 津駅前店"	2026-04-10	501_Splash	AppStart	location=0,0,0	2	13	05	26
"カラオケミッション 津駅前店"	2026-04-14	501_Splash	AppStart	location=0,0,0	2	12	56	28
"カラオケミッション 津駅前店"	2026-04-15	501_Splash	AppStart	location=0,0,0	2	00	28	32
"カラオケミッション 津駅前店"	2026-04-17	501_Splash	AppStart	location=0,0,0	3	01	14	52
"カラオケミッション 津駅前店"	2026-04-18	501_Splash	AppStart	location=0,0,0	1	11	59	07
"カラオケミッション 津駅前店"	2026-04-20	501_Splash	AppStart	location=0,0,0	1	15	13	36
"カラオケミッション 津駅前店"	2026-04-21	501_Splash	AppStart	location=0,0,0	4	11	30	41
"カラオケミッション 津駅前店"	2026-04-22	501_Splash	AppStart	location=0,0,0	2	12	12	34
"カラオケミッション 津駅前店"	2026-04-23	501_Splash	AppStart	location=0,0,0	3	00	18	57
"カラオケミッション 津駅前店"	2026-04-26	501_Splash	AppStart	location=0,0,0	1	13	12	22
"カラオケミッション 津駅前店"	2026-04-27	501_Splash	AppStart	location=0,0,0	6	16	39	07
"カラオケミッション 津駅前店"	2026-04-29	501_Splash	AppStart	location=0,0,0	4	10	28	42
"カラオケミッション 津駅前店"	2026-04-30	501_Splash	AppStart	location=0,0,0	1	17	46	58
"カラオケミッション 津駅前店"	2026-04-06	501_Splash	AppStart	location=26.25599,127.7622,143.3	1	23	07	07
"カラオケミッション 津駅前店"	2026-04-12	501_Splash	AppStart	location=33.58894,130.3965,17.64537	1	14	13	04
"カラオケミッション 津駅前店"	2026-04-02	501_Splash	AppStart	location=34.4768,136.7147,33.50674	1	22	05	15
"カラオケミッション 津駅前店"	2026-04-27	501_Splash	AppStart	location=34.485,136.7272,34.08699	1	09	42	41
"カラオケミッション 津駅前店"	2026-04-28	501_Splash	AppStart	location=34.48818,136.7138,43.4	1	15	38	26
"カラオケミッション 津駅前店"	2026-04-08	501_Splash	AppStart	location=34.49846,136.7668,36.061	1	19	56	59
"カラオケミッション 津駅前店"	2026-04-21	501_Splash	AppStart	location=34.54117,136.6007,7.052135	1	19	38	00
"カラオケミッション 津駅前店"	2026-04-15	501_Splash	AppStart	location=34.54534,136.6273,10.49606	1	23	14	19
"カラオケミッション 津駅前店"	2026-04-16	501_Splash	AppStart	location=34.54534,136.6273,12.93763	1	19	02	04
"カラオケミッション 津駅前店"	2026-04-01	501_Splash	AppStart	location=34.56274,136.5286,17.81214	1	13	36	50
"カラオケミッション 津駅前店"	2026-04-24	501_Splash	AppStart	location=34.57737,136.5363,-6.872355	1	19	13	18
"カラオケミッション 津駅前店"	2026-04-16	501_Splash	AppStart	location=34.60417,136.1081,298.4113	1	22	25	38
"カラオケミッション 津駅前店"	2026-04-10	501_Splash	AppStart	location=34.60419,136.1081,299.4482	1	22	40	16
