

店名	日付	category	action	label	件数	時	分	秒
"カラオケミッション 甲府駅前店"	2026-04-01	501_Splash	AppStart	location=0,0,0	5	10	31	38
"カラオケミッション 甲府駅前店"	2026-04-02	501_Splash	AppStart	location=0,0,0	2	15	32	46
"カラオケミッション 甲府駅前店"	2026-04-03	501_Splash	AppStart	location=0,0,0	1	11	29	23
"カラオケミッション 甲府駅前店"	2026-04-04	501_Splash	AppStart	location=0,0,0	1	20	59	01
"カラオケミッション 甲府駅前店"	2026-04-05	501_Splash	AppStart	location=0,0,0	1	20	31	47
"カラオケミッション 甲府駅前店"	2026-04-07	501_Splash	AppStart	location=0,0,0	1	15	23	47
"カラオケミッション 甲府駅前店"	2026-04-09	501_Splash	AppStart	location=0,0,0	1	12	44	00
"カラオケミッション 甲府駅前店"	2026-04-10	501_Splash	AppStart	location=0,0,0	2	13	22	56
"カラオケミッション 甲府駅前店"	2026-04-11	501_Splash	AppStart	location=0,0,0	1	22	50	37
"カラオケミッション 甲府駅前店"	2026-04-13	501_Splash	AppStart	location=0,0,0	4	14	47	26
"カラオケミッション 甲府駅前店"	2026-04-14	501_Splash	AppStart	location=0,0,0	1	15	23	07
"カラオケミッション 甲府駅前店"	2026-04-22	501_Splash	AppStart	location=0,0,0	1	20	43	04
"カラオケミッション 甲府駅前店"	2026-04-24	501_Splash	AppStart	location=0,0,0	1	21	26	43
"カラオケミッション 甲府駅前店"	2026-04-26	501_Splash	AppStart	location=0,0,0	3	09	45	39
"カラオケミッション 甲府駅前店"	2026-04-28	501_Splash	AppStart	location=0,0,0	2	18	01	38
"カラオケミッション 甲府駅前店"	2026-04-30	501_Splash	AppStart	location=0,0,0	1	23	01	28
"カラオケミッション 甲府駅前店"	2026-04-16	501_Splash	AppStart	location=34.38446,135.3317,44.20596	1	18	10	35
"カラオケミッション 甲府駅前店"	2026-04-27	501_Splash	AppStart	location=34.86446,138.2639,18.69057	1	16	52	23
"カラオケミッション 甲府駅前店"	2026-04-30	501_Splash	AppStart	location=35.54622,138.8994,536.5631	1	12	42	58
"カラオケミッション 甲府駅前店"	2026-04-16	501_Splash	AppStart	location=35.56195,138.5017,250.906	1	22	09	52
"カラオケミッション 甲府駅前店"	2026-04-22	501_Splash	AppStart	location=35.56567,138.4996,256.3981	1	18	47	21
"カラオケミッション 甲府駅前店"	2026-04-13	501_Splash	AppStart	location=35.57737,138.4582,252.7256	1	08	03	09
"カラオケミッション 甲府駅前店"	2026-04-01	501_Splash	AppStart	location=35.59249,138.5634,308.4	1	12	05	25
"カラオケミッション 甲府駅前店"	2026-04-01	501_Splash	AppStart	location=35.59251,138.5635,304.1	1	12	05	32
"カラオケミッション 甲府駅前店"	2026-04-10	501_Splash	AppStart	location=35.61026,138.9901,346.8246	1	14	02	53
"カラオケミッション 甲府駅前店"	2026-04-25	501_Splash	AppStart	location=35.61076,138.9404,366.0488	1	16	05	56
"カラオケミッション 甲府駅前店"	2026-04-30	501_Splash	AppStart	location=35.61319,138.9424,422.7675	1	15	24	15
"カラオケミッション 甲府駅前店"	2026-04-30	501_Splash	AppStart	location=35.61327,138.5212,267.1124	1	15	40	01
"カラオケミッション 甲府駅前店"	2026-04-18	501_Splash	AppStart	location=35.61587,138.4815,284.7995	1	23	31	26
"カラオケミッション 甲府駅前店"	2026-04-05	501_Splash	AppStart	location=35.61636,138.5313,255.3645	1	03	38	34
"カラオケミッション 甲府駅前店"	2026-04-07	501_Splash	AppStart	location=35.62341,138.4926,280.4841	1	19	42	07
"カラオケミッション 甲府駅前店"	2026-04-28	501_Splash	AppStart	location=35.62696,138.5509,302.9	1	13	29	07
"カラオケミッション 甲府駅前店"	2026-04-28	501_Splash	AppStart	location=35.63046,138.5515,263.1373	1	11	36	39
"カラオケミッション 甲府駅前店"	2026-04-09	501_Splash	AppStart	location=35.63345,138.5795,258.808	1	10	43	41
"カラオケミッション 甲府駅前店"	2026-04-01	501_Splash	AppStart	location=35.63418,138.5478,306.6	2	11	05	59
"カラオケミッション 甲府駅前店"	2026-04-13	501_Splash	AppStart	location=35.6343,138.5237,266.2847	1	20	09	17
"カラオケミッション 甲府駅前店"	2026-04-22	501_Splash	AppStart	location=35.64087,138.4609,391	1	06	13	27
"カラオケミッション 甲府駅前店"	2026-04-05	501_Splash	AppStart	location=35.6468,139.3438,124.6609	1	05	33	46
"カラオケミッション 甲府駅前店"	2026-04-05	501_Splash	AppStart	location=35.64683,139.3437,126.026	1	05	34	06
"カラオケミッション 甲府駅前店"	2026-04-09	501_Splash	AppStart	location=35.64785,138.5487,269.2961	1	20	35	09
"カラオケミッション 甲府駅前店"	2026-04-01	501_Splash	AppStart	location=35.65531,138.6328,274.5625	1	18	55	53
"カラオケミッション 甲府駅前店"	2026-04-25	501_Splash	AppStart	location=35.65757,138.5437,275.0451	2	09	40	52
"カラオケミッション 甲府駅前店"	2026-04-26	501_Splash	AppStart	location=35.65929,138.5757,306.8	1	20	30	48
"カラオケミッション 甲府駅前店"	2026-04-05	501_Splash	AppStart	location=35.65955,138.5416,275.6193	1	10	37	00
"カラオケミッション 甲府駅前店"	2026-04-02	501_Splash	AppStart	location=35.66028,138.5692,269.9161	1	01	20	48
"カラオケミッション 甲府駅前店"	2026-04-30	501_Splash	AppStart	location=35.66167,138.4786,326.0113	1	18	19	32
"カラオケミッション 甲府駅前店"	2026-04-03	501_Splash	AppStart	location=35.66257,138.5689,328.5779	1	14	20	57
"カラオケミッション 甲府駅前店"	2026-04-10	501_Splash	AppStart	location=35.66333,138.647,279.5682	1	04	25	25
"カラオケミッション 甲府駅前店"	2026-04-29	501_Splash	AppStart	location=35.66443,138.5484,274.4381	1	20	28	27
"カラオケミッション 甲府駅前店"	2026-04-12	501_Splash	AppStart	location=35.66496,138.5686,0	1	14	59	30
"カラオケミッション 甲府駅前店"	2026-04-17	501_Splash	AppStart	location=35.66515,138.5679,275.4191	1	20	57	58
"カラオケミッション 甲府駅前店"	2026-04-03	501_Splash	AppStart	location=35.66518,138.5678,319.6191	1	18	36	37
"カラオケミッション 甲府駅前店"	2026-04-17	501_Splash	AppStart	location=35.66518,138.5681,282.2387	1	15	30	11
"カラオケミッション 甲府駅前店"	2026-04-05	501_Splash	AppStart	location=35.66519,138.5678,317.1	1	14	10	46
"カラオケミッション 甲府駅前店"	2026-04-02	501_Splash	AppStart	location=35.66522,138.5677,324.3	1	18	59	49
"カラオケミッション 甲府駅前店"	2026-04-21	501_Splash	AppStart	location=35.66522,138.5679,317.1	1	14	48	40
"カラオケミッション 甲府駅前店"	2026-04-30	501_Splash	AppStart	location=35.66525,138.5678,317	1	18	55	09
"カラオケミッション 甲府駅前店"	2026-04-26	501_Splash	AppStart	location=35.66525,138.5678,321.2	1	19	01	15
"カラオケミッション 甲府駅前店"	2026-04-28	501_Splash	AppStart	location=35.66526,138.5678,317	1	16	45	16
"カラオケミッション 甲府駅前店"	2026-04-10	501_Splash	AppStart	location=35.66526,138.5678,321.2	1	15	31	43
"カラオケミッション 甲府駅前店"	2026-04-19	501_Splash	AppStart	location=35.66526,138.5679,317.1	1	15	33	35
