

店名	日付	category	action	label	件数	時	分	秒
"カラオケミッション 知立駅前店"	2026-04-01	501_Splash	AppStart	location=0,0,0	29	00	21	51
"カラオケミッション 知立駅前店"	2026-04-02	501_Splash	AppStart	location=0,0,0	26	00	12	53
"カラオケミッション 知立駅前店"	2026-04-03	501_Splash	AppStart	location=0,0,0	36	00	42	47
"カラオケミッション 知立駅前店"	2026-04-04	501_Splash	AppStart	location=0,0,0	23	08	35	47
"カラオケミッション 知立駅前店"	2026-04-05	501_Splash	AppStart	location=0,0,0	18	00	13	49
"カラオケミッション 知立駅前店"	2026-04-06	501_Splash	AppStart	location=0,0,0	32	00	37	47
"カラオケミッション 知立駅前店"	2026-04-07	501_Splash	AppStart	location=0,0,0	20	08	30	55
"カラオケミッション 知立駅前店"	2026-04-08	501_Splash	AppStart	location=0,0,0	22	00	07	14
"カラオケミッション 知立駅前店"	2026-04-09	501_Splash	AppStart	location=0,0,0	16	00	04	03
"カラオケミッション 知立駅前店"	2026-04-10	501_Splash	AppStart	location=0,0,0	28	00	55	46
"カラオケミッション 知立駅前店"	2026-04-11	501_Splash	AppStart	location=0,0,0	20	00	20	09
"カラオケミッション 知立駅前店"	2026-04-12	501_Splash	AppStart	location=0,0,0	29	10	29	04
"カラオケミッション 知立駅前店"	2026-04-13	501_Splash	AppStart	location=0,0,0	23	00	51	04
"カラオケミッション 知立駅前店"	2026-04-14	501_Splash	AppStart	location=0,0,0	19	01	06	24
"カラオケミッション 知立駅前店"	2026-04-15	501_Splash	AppStart	location=0,0,0	17	01	04	40
"カラオケミッション 知立駅前店"	2026-04-16	501_Splash	AppStart	location=0,0,0	12	09	49	41
"カラオケミッション 知立駅前店"	2026-04-17	501_Splash	AppStart	location=0,0,0	9	08	44	41
"カラオケミッション 知立駅前店"	2026-04-18	501_Splash	AppStart	location=0,0,0	23	02	58	33
"カラオケミッション 知立駅前店"	2026-04-19	501_Splash	AppStart	location=0,0,0	20	00	03	43
"カラオケミッション 知立駅前店"	2026-04-20	501_Splash	AppStart	location=0,0,0	21	00	20	52
"カラオケミッション 知立駅前店"	2026-04-21	501_Splash	AppStart	location=0,0,0	15	00	19	49
"カラオケミッション 知立駅前店"	2026-04-22	501_Splash	AppStart	location=0,0,0	33	00	36	41
"カラオケミッション 知立駅前店"	2026-04-23	501_Splash	AppStart	location=0,0,0	26	10	05	49
"カラオケミッション 知立駅前店"	2026-04-24	501_Splash	AppStart	location=0,0,0	20	08	38	43
"カラオケミッション 知立駅前店"	2026-04-25	501_Splash	AppStart	location=0,0,0	14	10	10	46
"カラオケミッション 知立駅前店"	2026-04-26	501_Splash	AppStart	location=0,0,0	22	00	03	36
"カラオケミッション 知立駅前店"	2026-04-27	501_Splash	AppStart	location=0,0,0	26	10	44	12
"カラオケミッション 知立駅前店"	2026-04-28	501_Splash	AppStart	location=0,0,0	26	00	05	43
"カラオケミッション 知立駅前店"	2026-04-29	501_Splash	AppStart	location=0,0,0	28	00	18	17
"カラオケミッション 知立駅前店"	2026-04-30	501_Splash	AppStart	location=0,0,0	33	00	13	24
"カラオケミッション 知立駅前店"	2026-04-01	501_Splash	AppStart	location=34.48132,136.8462,12.87607	1	11	32	46
"カラオケミッション 知立駅前店"	2026-04-01	501_Splash	AppStart	location=34.48133,136.8462,12.15475	1	11	32	49
"カラオケミッション 知立駅前店"	2026-04-01	501_Splash	AppStart	location=34.66656,135.4336,11.24739	1	14	10	17
"カラオケミッション 知立駅前店"	2026-04-25	501_Splash	AppStart	location=34.72082,137.399,24.92086	2	10	02	14
"カラオケミッション 知立駅前店"	2026-04-25	501_Splash	AppStart	location=34.72082,137.399,25.12664	1	10	00	49
"カラオケミッション 知立駅前店"	2026-04-25	501_Splash	AppStart	location=34.72617,137.4028,21.60532	1	22	01	39
"カラオケミッション 知立駅前店"	2026-04-28	501_Splash	AppStart	location=34.72709,137.3816,14.15862	1	06	51	03
"カラオケミッション 知立駅前店"	2026-04-17	501_Splash	AppStart	location=34.73294,136.5115,10.87959	3	21	35	38
"カラオケミッション 知立駅前店"	2026-04-30	501_Splash	AppStart	location=34.73386,136.51,17.52512	1	21	59	59
"カラオケミッション 知立駅前店"	2026-04-28	501_Splash	AppStart	location=34.7413,137.3875,28.96879	1	11	59	35
"カラオケミッション 知立駅前店"	2026-04-30	501_Splash	AppStart	location=34.74572,137.3613,4.449988	1	19	28	08
