

店名	日付	category	action	label	件数	時	分	秒
"カラオケCHIKARA 名駅笹島店"	2026-04-25	501_Splash	AppStart	location=-33.80519,151.1971,87.50149	1	14	58	07
"カラオケCHIKARA 名駅笹島店"	2026-04-01	501_Splash	AppStart	location=0,0,0	9	11	11	00
"カラオケCHIKARA 名駅笹島店"	2026-04-02	501_Splash	AppStart	location=0,0,0	1	16	46	50
"カラオケCHIKARA 名駅笹島店"	2026-04-03	501_Splash	AppStart	location=0,0,0	1	21	55	48
"カラオケCHIKARA 名駅笹島店"	2026-04-05	501_Splash	AppStart	location=0,0,0	12	04	39	04
"カラオケCHIKARA 名駅笹島店"	2026-04-06	501_Splash	AppStart	location=0,0,0	2	13	35	52
"カラオケCHIKARA 名駅笹島店"	2026-04-07	501_Splash	AppStart	location=0,0,0	8	08	59	36
"カラオケCHIKARA 名駅笹島店"	2026-04-08	501_Splash	AppStart	location=0,0,0	4	04	59	55
"カラオケCHIKARA 名駅笹島店"	2026-04-09	501_Splash	AppStart	location=0,0,0	1	16	36	37
"カラオケCHIKARA 名駅笹島店"	2026-04-10	501_Splash	AppStart	location=0,0,0	2	16	06	51
"カラオケCHIKARA 名駅笹島店"	2026-04-11	501_Splash	AppStart	location=0,0,0	11	08	28	47
"カラオケCHIKARA 名駅笹島店"	2026-04-12	501_Splash	AppStart	location=0,0,0	6	10	04	53
"カラオケCHIKARA 名駅笹島店"	2026-04-13	501_Splash	AppStart	location=0,0,0	3	11	02	44
"カラオケCHIKARA 名駅笹島店"	2026-04-14	501_Splash	AppStart	location=0,0,0	2	08	39	25
"カラオケCHIKARA 名駅笹島店"	2026-04-15	501_Splash	AppStart	location=0,0,0	1	12	50	17
"カラオケCHIKARA 名駅笹島店"	2026-04-16	501_Splash	AppStart	location=0,0,0	8	08	38	38
"カラオケCHIKARA 名駅笹島店"	2026-04-17	501_Splash	AppStart	location=0,0,0	2	13	29	15
"カラオケCHIKARA 名駅笹島店"	2026-04-18	501_Splash	AppStart	location=0,0,0	3	12	24	27
"カラオケCHIKARA 名駅笹島店"	2026-04-19	501_Splash	AppStart	location=0,0,0	3	11	06	31
"カラオケCHIKARA 名駅笹島店"	2026-04-20	501_Splash	AppStart	location=0,0,0	3	11	50	00
"カラオケCHIKARA 名駅笹島店"	2026-04-21	501_Splash	AppStart	location=0,0,0	3	13	30	54
"カラオケCHIKARA 名駅笹島店"	2026-04-22	501_Splash	AppStart	location=0,0,0	5	01	28	43
"カラオケCHIKARA 名駅笹島店"	2026-04-23	501_Splash	AppStart	location=0,0,0	5	14	26	37
"カラオケCHIKARA 名駅笹島店"	2026-04-24	501_Splash	AppStart	location=0,0,0	1	07	39	00
"カラオケCHIKARA 名駅笹島店"	2026-04-25	501_Splash	AppStart	location=0,0,0	5	11	57	42
"カラオケCHIKARA 名駅笹島店"	2026-04-26	501_Splash	AppStart	location=0,0,0	5	13	03	40
"カラオケCHIKARA 名駅笹島店"	2026-04-27	501_Splash	AppStart	location=0,0,0	1	09	04	20
"カラオケCHIKARA 名駅笹島店"	2026-04-28	501_Splash	AppStart	location=0,0,0	8	07	25	55
"カラオケCHIKARA 名駅笹島店"	2026-04-29	501_Splash	AppStart	location=0,0,0	12	10	45	21
"カラオケCHIKARA 名駅笹島店"	2026-04-30	501_Splash	AppStart	location=0,0,0	4	12	47	13
"カラオケCHIKARA 名駅笹島店"	2026-04-13	501_Splash	AppStart	location=34.29465,134.1237,49.01432	1	12	49	33
"カラオケCHIKARA 名駅笹島店"	2026-04-25	501_Splash	AppStart	location=34.73539,135.4942,7.238877	1	09	54	13
"カラオケCHIKARA 名駅笹島店"	2026-04-25	501_Splash	AppStart	location=34.76447,137.3845,60.6	2	12	00	17
"カラオケCHIKARA 名駅笹島店"	2026-04-11	501_Splash	AppStart	location=34.78184,137.6074,20.76511	1	13	41	18
"カラオケCHIKARA 名駅笹島店"	2026-04-28	501_Splash	AppStart	location=34.85712,136.5968,12.73956	1	11	42	22
"カラオケCHIKARA 名駅笹島店"	2026-04-11	501_Splash	AppStart	location=34.89859,136.8345,7.285496	2	16	26	28
"カラオケCHIKARA 名駅笹島店"	2026-04-10	501_Splash	AppStart	location=34.90372,136.9929,11.23542	1	22	43	17
"カラオケCHIKARA 名駅笹島店"	2026-04-18	501_Splash	AppStart	location=34.92351,137.1718,37.40269	1	07	32	32
"カラオケCHIKARA 名駅笹島店"	2026-04-22	501_Splash	AppStart	location=34.92352,137.1718,31.905	1	22	30	35
"カラオケCHIKARA 名駅笹島店"	2026-04-01	501_Splash	AppStart	location=34.93702,137.1649,35.31388	1	18	01	17
"カラオケCHIKARA 名駅笹島店"	2026-04-01	501_Splash	AppStart	location=34.93714,137.1649,38.78167	1	17	59	07
"カラオケCHIKARA 名駅笹島店"	2026-04-24	501_Splash	AppStart	location=34.94324,136.8944,84.5	1	15	17	56
"カラオケCHIKARA 名駅笹島店"	2026-04-02	501_Splash	AppStart	location=34.95288,137.1657,31.35341	1	16	45	06
"カラオケCHIKARA 名駅笹島店"	2026-04-10	501_Splash	AppStart	location=34.9529,137.1657,26.84462	1	12	42	57
"カラオケCHIKARA 名駅笹島店"	2026-04-08	501_Splash	AppStart	location=34.95293,137.1664,29.04915	1	14	37	59
"カラオケCHIKARA 名駅笹島店"	2026-04-05	501_Splash	AppStart	location=34.95303,137.1657,27.58235	1	17	02	31
"カラオケCHIKARA 名駅笹島店"	2026-04-19	501_Splash	AppStart	location=34.96451,137.0799,21.23324	1	15	47	51
"カラオケCHIKARA 名駅笹島店"	2026-04-08	501_Splash	AppStart	location=34.97257,137.1203,23.12382	2	13	46	15
"カラオケCHIKARA 名駅笹島店"	2026-04-26	501_Splash	AppStart	location=34.97407,137.0266,14.68577	1	22	24	09
"カラオケCHIKARA 名駅笹島店"	2026-04-28	501_Splash	AppStart	location=34.97606,137.1978,75.42763	1	22	33	35
"カラオケCHIKARA 名駅笹島店"	2026-04-03	501_Splash	AppStart	location=34.98121,137.0705,19.82635	1	19	53	50
"カラオケCHIKARA 名駅笹島店"	2026-04-12	501_Splash	AppStart	location=34.98342,137.0285,12.79252	1	10	44	23
"カラオケCHIKARA 名駅笹島店"	2026-04-13	501_Splash	AppStart	location=34.98914,137.0574,20.16981	1	00	54	36
"カラオケCHIKARA 名駅笹島店"	2026-04-13	501_Splash	AppStart	location=34.98926,137.0575,15.20039	1	20	22	56
"カラオケCHIKARA 名駅笹島店"	2026-04-29	501_Splash	AppStart	location=34.99081,137.0098,15.5793	1	07	38	54
"カラオケCHIKARA 名駅笹島店"	2026-04-01	501_Splash	AppStart	location=34.99125,137.0091,16.1676	1	19	14	49
"カラオケCHIKARA 名駅笹島店"	2026-04-09	501_Splash	AppStart	location=34.99358,137.0091,16.0667	1	17	48	58
"カラオケCHIKARA 名駅笹島店"	2026-04-29	501_Splash	AppStart	location=34.99886,137.0285,12.24398	1	22	21	20
