

店名	日付	category	action	label	件数	時	分	秒
"カラオケキャッツ 三重菰野店"	2026-04-01	501_Splash	AppStart	location=0,0,0	1	16	09	51
"カラオケキャッツ 三重菰野店"	2026-04-02	501_Splash	AppStart	location=0,0,0	1	00	27	45
"カラオケキャッツ 三重菰野店"	2026-04-03	501_Splash	AppStart	location=0,0,0	4	11	03	02
"カラオケキャッツ 三重菰野店"	2026-04-04	501_Splash	AppStart	location=0,0,0	2	19	43	34
"カラオケキャッツ 三重菰野店"	2026-04-08	501_Splash	AppStart	location=0,0,0	1	22	38	45
"カラオケキャッツ 三重菰野店"	2026-04-10	501_Splash	AppStart	location=0,0,0	1	23	23	30
"カラオケキャッツ 三重菰野店"	2026-04-11	501_Splash	AppStart	location=0,0,0	3	12	35	06
"カラオケキャッツ 三重菰野店"	2026-04-12	501_Splash	AppStart	location=0,0,0	1	16	50	55
"カラオケキャッツ 三重菰野店"	2026-04-15	501_Splash	AppStart	location=0,0,0	4	06	52	18
"カラオケキャッツ 三重菰野店"	2026-04-25	501_Splash	AppStart	location=0,0,0	2	11	00	37
"カラオケキャッツ 三重菰野店"	2026-04-28	501_Splash	AppStart	location=0,0,0	1	21	25	16
"カラオケキャッツ 三重菰野店"	2026-04-29	501_Splash	AppStart	location=0,0,0	1	00	33	27
"カラオケキャッツ 三重菰野店"	2026-04-30	501_Splash	AppStart	location=0,0,0	2	10	53	21
"カラオケキャッツ 三重菰野店"	2026-04-12	501_Splash	AppStart	location=34.4453,135.7385,145	1	14	46	43
"カラオケキャッツ 三重菰野店"	2026-04-01	501_Splash	AppStart	location=34.96684,136.575,57.9	1	19	27	08
"カラオケキャッツ 三重菰野店"	2026-04-26	501_Splash	AppStart	location=34.96692,136.5584,96.4	1	08	50	01
"カラオケキャッツ 三重菰野店"	2026-04-03	501_Splash	AppStart	location=34.96781,136.5751,58	1	20	39	36
"カラオケキャッツ 三重菰野店"	2026-04-03	501_Splash	AppStart	location=34.96785,136.5751,59.7	1	19	29	30
"カラオケキャッツ 三重菰野店"	2026-04-15	501_Splash	AppStart	location=34.9681,136.5784,24.20249	1	20	29	47
"カラオケキャッツ 三重菰野店"	2026-04-28	501_Splash	AppStart	location=34.96931,136.6015,45.7	1	13	32	35
"カラオケキャッツ 三重菰野店"	2026-04-19	501_Splash	AppStart	location=34.96936,136.6033,8.936643	1	15	28	55
"カラオケキャッツ 三重菰野店"	2026-04-01	501_Splash	AppStart	location=34.9694,136.48,193.6	1	10	42	34
"カラオケキャッツ 三重菰野店"	2026-04-20	501_Splash	AppStart	location=34.96972,136.6041,9.780747	1	23	19	26
"カラオケキャッツ 三重菰野店"	2026-04-01	501_Splash	AppStart	location=34.97019,136.6019,45.8	1	17	18	50
"カラオケキャッツ 三重菰野店"	2026-04-16	501_Splash	AppStart	location=34.9729,136.5026,171.8	1	15	58	07
"カラオケキャッツ 三重菰野店"	2026-04-01	501_Splash	AppStart	location=34.97437,136.6186,10.08044	1	15	31	11
"カラオケキャッツ 三重菰野店"	2026-04-23	501_Splash	AppStart	location=34.97853,136.5839,60.1	1	13	19	53
"カラオケキャッツ 三重菰野店"	2026-04-22	501_Splash	AppStart	location=34.97944,136.5317,128.4	1	08	03	20
"カラオケキャッツ 三重菰野店"	2026-04-02	501_Splash	AppStart	location=34.98577,136.5358,55.90815	1	08	19	25
"カラオケキャッツ 三重菰野店"	2026-04-22	501_Splash	AppStart	location=34.9859,136.5299,102	1	08	24	21
"カラオケキャッツ 三重菰野店"	2026-04-27	501_Splash	AppStart	location=34.98591,136.5298,102.3	1	07	44	50
"カラオケキャッツ 三重菰野店"	2026-04-28	501_Splash	AppStart	location=34.98592,136.5299,100.8	1	15	13	25
"カラオケキャッツ 三重菰野店"	2026-04-29	501_Splash	AppStart	location=34.98592,136.5299,100.8	1	20	27	30
"カラオケキャッツ 三重菰野店"	2026-04-22	501_Splash	AppStart	location=34.98594,136.5298,43.30542	1	12	30	47
"カラオケキャッツ 三重菰野店"	2026-04-10	501_Splash	AppStart	location=34.98729,136.5385,46.51474	1	10	52	50
"カラオケキャッツ 三重菰野店"	2026-04-17	501_Splash	AppStart	location=34.98817,136.5297,101.5	1	14	20	09
"カラオケキャッツ 三重菰野店"	2026-04-21	501_Splash	AppStart	location=34.99031,136.5365,88.2	1	16	13	34
"カラオケキャッツ 三重菰野店"	2026-04-24	501_Splash	AppStart	location=34.9909,136.5447,75.71582	1	12	20	06
"カラオケキャッツ 三重菰野店"	2026-04-01	501_Splash	AppStart	location=34.99099,136.5273,87.4	2	11	03	02
"カラオケキャッツ 三重菰野店"	2026-04-08	501_Splash	AppStart	location=34.99116,136.5274,87.1	1	07	54	47
"カラオケキャッツ 三重菰野店"	2026-04-22	501_Splash	AppStart	location=34.99117,136.5142,101.8	1	08	54	05
"カラオケキャッツ 三重菰野店"	2026-04-12	501_Splash	AppStart	location=34.99117,136.5274,87	1	21	05	24
