

店名	日付	category	action	label	件数	時	分	秒
"カラオケミッション 藤枝駅前店"	2026-04-01	501_Splash	AppStart	location=0,0,0	19	09	57	55
"カラオケミッション 藤枝駅前店"	2026-04-02	501_Splash	AppStart	location=0,0,0	7	00	23	48
"カラオケミッション 藤枝駅前店"	2026-04-03	501_Splash	AppStart	location=0,0,0	19	07	19	29
"カラオケミッション 藤枝駅前店"	2026-04-04	501_Splash	AppStart	location=0,0,0	8	01	24	43
"カラオケミッション 藤枝駅前店"	2026-04-05	501_Splash	AppStart	location=0,0,0	12	10	26	57
"カラオケミッション 藤枝駅前店"	2026-04-06	501_Splash	AppStart	location=0,0,0	3	11	00	30
"カラオケミッション 藤枝駅前店"	2026-04-07	501_Splash	AppStart	location=0,0,0	5	12	03	10
"カラオケミッション 藤枝駅前店"	2026-04-08	501_Splash	AppStart	location=0,0,0	2	11	06	37
"カラオケミッション 藤枝駅前店"	2026-04-09	501_Splash	AppStart	location=0,0,0	9	10	22	44
"カラオケミッション 藤枝駅前店"	2026-04-10	501_Splash	AppStart	location=0,0,0	3	14	36	37
"カラオケミッション 藤枝駅前店"	2026-04-11	501_Splash	AppStart	location=0,0,0	14	09	30	27
"カラオケミッション 藤枝駅前店"	2026-04-12	501_Splash	AppStart	location=0,0,0	9	09	42	40
"カラオケミッション 藤枝駅前店"	2026-04-13	501_Splash	AppStart	location=0,0,0	4	13	47	03
"カラオケミッション 藤枝駅前店"	2026-04-14	501_Splash	AppStart	location=0,0,0	1	01	28	42
"カラオケミッション 藤枝駅前店"	2026-04-15	501_Splash	AppStart	location=0,0,0	5	10	40	56
"カラオケミッション 藤枝駅前店"	2026-04-16	501_Splash	AppStart	location=0,0,0	5	05	01	36
"カラオケミッション 藤枝駅前店"	2026-04-17	501_Splash	AppStart	location=0,0,0	1	15	47	12
"カラオケミッション 藤枝駅前店"	2026-04-18	501_Splash	AppStart	location=0,0,0	7	10	50	01
"カラオケミッション 藤枝駅前店"	2026-04-19	501_Splash	AppStart	location=0,0,0	5	13	31	31
"カラオケミッション 藤枝駅前店"	2026-04-20	501_Splash	AppStart	location=0,0,0	1	16	09	07
"カラオケミッション 藤枝駅前店"	2026-04-22	501_Splash	AppStart	location=0,0,0	2	07	07	45
"カラオケミッション 藤枝駅前店"	2026-04-23	501_Splash	AppStart	location=0,0,0	1	16	48	08
"カラオケミッション 藤枝駅前店"	2026-04-24	501_Splash	AppStart	location=0,0,0	6	09	30	09
"カラオケミッション 藤枝駅前店"	2026-04-25	501_Splash	AppStart	location=0,0,0	1	10	27	42
"カラオケミッション 藤枝駅前店"	2026-04-26	501_Splash	AppStart	location=0,0,0	8	10	05	31
"カラオケミッション 藤枝駅前店"	2026-04-27	501_Splash	AppStart	location=0,0,0	6	11	47	45
"カラオケミッション 藤枝駅前店"	2026-04-28	501_Splash	AppStart	location=0,0,0	4	07	06	13
"カラオケミッション 藤枝駅前店"	2026-04-29	501_Splash	AppStart	location=0,0,0	12	09	13	58
"カラオケミッション 藤枝駅前店"	2026-04-30	501_Splash	AppStart	location=0,0,0	3	12	19	25
"カラオケミッション 藤枝駅前店"	2026-04-01	501_Splash	AppStart	location=15.17879,120.644,54.24781	1	13	01	33
"カラオケミッション 藤枝駅前店"	2026-04-05	501_Splash	AppStart	location=34.61558,138.203,41.19886	1	01	01	21
"カラオケミッション 藤枝駅前店"	2026-04-23	501_Splash	AppStart	location=34.68152,138.1955,11.13913	1	22	28	39
