

店名	日付	category	action	label	件数	時	分	秒
"カラオケCHIKARA 豊橋駅前店"	2026-04-01	501_Splash	AppStart	location=0,0,0	5	12	30	00
"カラオケCHIKARA 豊橋駅前店"	2026-04-02	501_Splash	AppStart	location=0,0,0	3	09	59	39
"カラオケCHIKARA 豊橋駅前店"	2026-04-04	501_Splash	AppStart	location=0,0,0	2	11	52	47
"カラオケCHIKARA 豊橋駅前店"	2026-04-05	501_Splash	AppStart	location=0,0,0	2	15	08	37
"カラオケCHIKARA 豊橋駅前店"	2026-04-06	501_Splash	AppStart	location=0,0,0	1	16	03	33
"カラオケCHIKARA 豊橋駅前店"	2026-04-07	501_Splash	AppStart	location=0,0,0	2	08	53	40
"カラオケCHIKARA 豊橋駅前店"	2026-04-08	501_Splash	AppStart	location=0,0,0	3	17	04	59
"カラオケCHIKARA 豊橋駅前店"	2026-04-09	501_Splash	AppStart	location=0,0,0	2	13	41	30
"カラオケCHIKARA 豊橋駅前店"	2026-04-10	501_Splash	AppStart	location=0,0,0	3	14	53	18
"カラオケCHIKARA 豊橋駅前店"	2026-04-11	501_Splash	AppStart	location=0,0,0	2	13	08	27
"カラオケCHIKARA 豊橋駅前店"	2026-04-12	501_Splash	AppStart	location=0,0,0	1	12	47	46
"カラオケCHIKARA 豊橋駅前店"	2026-04-13	501_Splash	AppStart	location=0,0,0	1	16	20	59
"カラオケCHIKARA 豊橋駅前店"	2026-04-14	501_Splash	AppStart	location=0,0,0	1	21	41	28
"カラオケCHIKARA 豊橋駅前店"	2026-04-15	501_Splash	AppStart	location=0,0,0	2	07	13	39
"カラオケCHIKARA 豊橋駅前店"	2026-04-18	501_Splash	AppStart	location=0,0,0	1	13	21	37
"カラオケCHIKARA 豊橋駅前店"	2026-04-20	501_Splash	AppStart	location=0,0,0	2	21	00	17
"カラオケCHIKARA 豊橋駅前店"	2026-04-23	501_Splash	AppStart	location=0,0,0	2	10	44	20
"カラオケCHIKARA 豊橋駅前店"	2026-04-24	501_Splash	AppStart	location=0,0,0	2	20	05	04
"カラオケCHIKARA 豊橋駅前店"	2026-04-25	501_Splash	AppStart	location=0,0,0	1	12	01	18
"カラオケCHIKARA 豊橋駅前店"	2026-04-26	501_Splash	AppStart	location=0,0,0	1	11	12	32
"カラオケCHIKARA 豊橋駅前店"	2026-04-28	501_Splash	AppStart	location=0,0,0	1	13	51	57
"カラオケCHIKARA 豊橋駅前店"	2026-04-29	501_Splash	AppStart	location=0,0,0	5	07	50	01
"カラオケCHIKARA 豊橋駅前店"	2026-04-30	501_Splash	AppStart	location=0,0,0	1	11	34	32
"カラオケCHIKARA 豊橋駅前店"	2026-04-06	501_Splash	AppStart	location=34.66366,137.2693,9.626616	1	15	47	58
"カラオケCHIKARA 豊橋駅前店"	2026-04-17	501_Splash	AppStart	location=34.69281,138.0954,9.020986	1	07	55	03
