

店名	日付	category	action	label	件数	時	分	秒
"カラオケCHIKARA 豊田駅前店"	2026-04-01	501_Splash	AppStart	location=0,0,0	10	12	19	25
"カラオケCHIKARA 豊田駅前店"	2026-04-02	501_Splash	AppStart	location=0,0,0	5	08	25	40
"カラオケCHIKARA 豊田駅前店"	2026-04-03	501_Splash	AppStart	location=0,0,0	5	00	02	29
"カラオケCHIKARA 豊田駅前店"	2026-04-04	501_Splash	AppStart	location=0,0,0	4	08	43	12
"カラオケCHIKARA 豊田駅前店"	2026-04-05	501_Splash	AppStart	location=0,0,0	2	14	33	23
"カラオケCHIKARA 豊田駅前店"	2026-04-06	501_Splash	AppStart	location=0,0,0	7	02	35	04
"カラオケCHIKARA 豊田駅前店"	2026-04-07	501_Splash	AppStart	location=0,0,0	5	11	08	23
"カラオケCHIKARA 豊田駅前店"	2026-04-10	501_Splash	AppStart	location=0,0,0	2	04	34	38
"カラオケCHIKARA 豊田駅前店"	2026-04-11	501_Splash	AppStart	location=0,0,0	3	14	45	40
"カラオケCHIKARA 豊田駅前店"	2026-04-12	501_Splash	AppStart	location=0,0,0	3	10	18	26
"カラオケCHIKARA 豊田駅前店"	2026-04-15	501_Splash	AppStart	location=0,0,0	1	21	50	08
"カラオケCHIKARA 豊田駅前店"	2026-04-17	501_Splash	AppStart	location=0,0,0	4	12	37	56
"カラオケCHIKARA 豊田駅前店"	2026-04-18	501_Splash	AppStart	location=0,0,0	1	19	47	43
"カラオケCHIKARA 豊田駅前店"	2026-04-19	501_Splash	AppStart	location=0,0,0	3	08	48	28
"カラオケCHIKARA 豊田駅前店"	2026-04-22	501_Splash	AppStart	location=0,0,0	2	13	49	22
"カラオケCHIKARA 豊田駅前店"	2026-04-23	501_Splash	AppStart	location=0,0,0	6	14	31	43
"カラオケCHIKARA 豊田駅前店"	2026-04-24	501_Splash	AppStart	location=0,0,0	1	18	10	36
"カラオケCHIKARA 豊田駅前店"	2026-04-25	501_Splash	AppStart	location=0,0,0	2	14	23	14
"カラオケCHIKARA 豊田駅前店"	2026-04-26	501_Splash	AppStart	location=0,0,0	4	09	51	19
"カラオケCHIKARA 豊田駅前店"	2026-04-27	501_Splash	AppStart	location=0,0,0	2	17	55	06
"カラオケCHIKARA 豊田駅前店"	2026-04-28	501_Splash	AppStart	location=0,0,0	7	17	40	40
"カラオケCHIKARA 豊田駅前店"	2026-04-29	501_Splash	AppStart	location=0,0,0	3	10	07	48
"カラオケCHIKARA 豊田駅前店"	2026-04-30	501_Splash	AppStart	location=0,0,0	6	10	04	10
"カラオケCHIKARA 豊田駅前店"	2026-04-30	501_Splash	AppStart	location=10.76706,106.6985,0.5878667	1	01	22	36
"カラオケCHIKARA 豊田駅前店"	2026-04-26	501_Splash	AppStart	location=34.62063,136.0913,198.1567	1	21	27	02
"カラオケCHIKARA 豊田駅前店"	2026-04-26	501_Splash	AppStart	location=34.62064,136.0913,198.293	1	21	12	34
"カラオケCHIKARA 豊田駅前店"	2026-04-25	501_Splash	AppStart	location=34.62064,136.0913,198.7399	1	12	21	34
"カラオケCHIKARA 豊田駅前店"	2026-04-08	501_Splash	AppStart	location=34.62066,136.0912,206.128	2	13	01	15
"カラオケCHIKARA 豊田駅前店"	2026-04-27	501_Splash	AppStart	location=34.63053,136.1119,224.7584	1	12	57	25
"カラオケCHIKARA 豊田駅前店"	2026-04-28	501_Splash	AppStart	location=34.63199,135.5922,50.6	1	19	31	36
"カラオケCHIKARA 豊田駅前店"	2026-04-02	501_Splash	AppStart	location=34.66302,135.4324,1.438905	1	09	28	48
"カラオケCHIKARA 豊田駅前店"	2026-04-25	501_Splash	AppStart	location=34.77811,137.3887,6.202072	1	18	30	26
"カラオケCHIKARA 豊田駅前店"	2026-04-29	501_Splash	AppStart	location=34.85189,136.9035,32.8636	1	00	31	12
"カラオケCHIKARA 豊田駅前店"	2026-04-06	501_Splash	AppStart	location=34.89729,137.2641,137.6944	2	15	11	34
"カラオケCHIKARA 豊田駅前店"	2026-04-28	501_Splash	AppStart	location=34.90041,137.1797,28.23508	1	22	06	50
"カラオケCHIKARA 豊田駅前店"	2026-04-01	501_Splash	AppStart	location=34.93233,137.1814,95.3	1	13	27	49
"カラオケCHIKARA 豊田駅前店"	2026-04-10	501_Splash	AppStart	location=34.93921,137.0855,56.40798	1	12	46	46
"カラオケCHIKARA 豊田駅前店"	2026-04-17	501_Splash	AppStart	location=34.94656,136.9925,44.2	2	19	04	05
"カラオケCHIKARA 豊田駅前店"	2026-04-14	501_Splash	AppStart	location=34.95425,137.1643,61.1	1	12	40	21
"カラオケCHIKARA 豊田駅前店"	2026-04-27	501_Splash	AppStart	location=34.9621,137.0884,21.76242	2	18	24	39
"カラオケCHIKARA 豊田駅前店"	2026-04-12	501_Splash	AppStart	location=34.96919,137.056,19.7908	1	19	31	24
"カラオケCHIKARA 豊田駅前店"	2026-04-22	501_Splash	AppStart	location=34.97824,137.0702,20.27131	1	11	38	53
"カラオケCHIKARA 豊田駅前店"	2026-04-30	501_Splash	AppStart	location=34.97875,137.1728,41.18393	1	17	34	23
"カラオケCHIKARA 豊田駅前店"	2026-04-05	501_Splash	AppStart	location=34.98104,137.0802,61	1	18	06	05
"カラオケCHIKARA 豊田駅前店"	2026-04-11	501_Splash	AppStart	location=34.98347,137.0041,10.75582	1	14	22	44
"カラオケCHIKARA 豊田駅前店"	2026-04-05	501_Splash	AppStart	location=34.99074,137.082,21.30006	1	18	50	11
"カラオケCHIKARA 豊田駅前店"	2026-04-19	501_Splash	AppStart	location=34.9939,137.0108,54	2	18	14	47
"カラオケCHIKARA 豊田駅前店"	2026-04-25	501_Splash	AppStart	location=34.99412,137.1193,69	1	10	27	48
"カラオケCHIKARA 豊田駅前店"	2026-04-09	501_Splash	AppStart	location=35.00359,137.177,64.38989	1	22	04	16
"カラオケCHIKARA 豊田駅前店"	2026-04-06	501_Splash	AppStart	location=35.00523,137.1358,25.5521	1	20	22	39
"カラオケCHIKARA 豊田駅前店"	2026-04-09	501_Splash	AppStart	location=35.00561,137.0421,19.68875	1	11	20	05
"カラオケCHIKARA 豊田駅前店"	2026-04-06	501_Splash	AppStart	location=35.00599,137.0412,54.7	1	14	08	01
