

店名	日付	category	action	label	件数	時	分	秒
"カラオケミッション 近江八幡店"	2026-04-01	501_Splash	AppStart	location=0,0,0	6	11	45	48
"カラオケミッション 近江八幡店"	2026-04-03	501_Splash	AppStart	location=0,0,0	6	12	35	45
"カラオケミッション 近江八幡店"	2026-04-04	501_Splash	AppStart	location=0,0,0	7	09	56	13
"カラオケミッション 近江八幡店"	2026-04-05	501_Splash	AppStart	location=0,0,0	3	09	46	12
"カラオケミッション 近江八幡店"	2026-04-06	501_Splash	AppStart	location=0,0,0	1	14	57	50
"カラオケミッション 近江八幡店"	2026-04-07	501_Splash	AppStart	location=0,0,0	2	15	15	51
"カラオケミッション 近江八幡店"	2026-04-08	501_Splash	AppStart	location=0,0,0	2	17	27	12
"カラオケミッション 近江八幡店"	2026-04-09	501_Splash	AppStart	location=0,0,0	3	12	57	32
"カラオケミッション 近江八幡店"	2026-04-10	501_Splash	AppStart	location=0,0,0	5	14	39	02
"カラオケミッション 近江八幡店"	2026-04-11	501_Splash	AppStart	location=0,0,0	3	11	34	16
"カラオケミッション 近江八幡店"	2026-04-12	501_Splash	AppStart	location=0,0,0	5	13	20	11
"カラオケミッション 近江八幡店"	2026-04-13	501_Splash	AppStart	location=0,0,0	1	15	00	48
"カラオケミッション 近江八幡店"	2026-04-14	501_Splash	AppStart	location=0,0,0	3	15	24	59
"カラオケミッション 近江八幡店"	2026-04-15	501_Splash	AppStart	location=0,0,0	3	08	23	41
"カラオケミッション 近江八幡店"	2026-04-16	501_Splash	AppStart	location=0,0,0	4	07	47	07
"カラオケミッション 近江八幡店"	2026-04-17	501_Splash	AppStart	location=0,0,0	3	12	44	20
"カラオケミッション 近江八幡店"	2026-04-18	501_Splash	AppStart	location=0,0,0	3	20	48	00
"カラオケミッション 近江八幡店"	2026-04-19	501_Splash	AppStart	location=0,0,0	11	00	07	47
"カラオケミッション 近江八幡店"	2026-04-20	501_Splash	AppStart	location=0,0,0	1	19	37	04
"カラオケミッション 近江八幡店"	2026-04-21	501_Splash	AppStart	location=0,0,0	4	14	43	02
"カラオケミッション 近江八幡店"	2026-04-22	501_Splash	AppStart	location=0,0,0	2	15	17	27
"カラオケミッション 近江八幡店"	2026-04-23	501_Splash	AppStart	location=0,0,0	2	15	01	48
"カラオケミッション 近江八幡店"	2026-04-24	501_Splash	AppStart	location=0,0,0	4	16	50	24
"カラオケミッション 近江八幡店"	2026-04-25	501_Splash	AppStart	location=0,0,0	5	12	02	01
"カラオケミッション 近江八幡店"	2026-04-26	501_Splash	AppStart	location=0,0,0	11	07	39	02
"カラオケミッション 近江八幡店"	2026-04-27	501_Splash	AppStart	location=0,0,0	5	07	04	42
"カラオケミッション 近江八幡店"	2026-04-28	501_Splash	AppStart	location=0,0,0	5	07	33	31
