

店名	日付	category	action	label	件数	時	分	秒
おいもここ	2026-01-27	501_Splash	AppStart	location=34.64534,138.1189,37.50082	1	09	41	11
おいもここ	2026-02-19	501_Splash	AppStart	location=34.8295,138.3053,6.616952	1	21	09	58
おいもここ	2026-02-25	501_Splash	AppStart	location=34.82953,138.3053,7.732681	1	15	10	51
おいもここ	2026-01-26	501_Splash	AppStart	location=34.86457,138.2639,18.25439	1	09	32	00
おいもここ	2026-01-26	501_Splash	AppStart	location=34.86459,138.2639,18.25434	1	11	58	05
おいもここ	2026-02-25	501_Splash	AppStart	location=34.94847,138.3531,17.18301	1	10	25	10
おいもここ	2026-02-19	501_Splash	AppStart	location=34.94849,138.3531,14.57608	1	11	28	55
おいもここ	2026-02-05	501_Splash	AppStart	location=34.94855,138.3531,7.521621	1	16	08	22
おいもここ	2026-02-01	501_Splash	AppStart	location=34.96413,138.3712,22.67293	1	10	45	03
おいもここ	2026-01-29	501_Splash	AppStart	location=34.97821,138.4015,61	1	12	08	28
おいもここ	2026-02-06	501_Splash	AppStart	location=34.98263,138.5003,44.3	1	18	02	30
おいもここ	2026-02-05	501_Splash	AppStart	location=34.98387,138.5005,44.9	1	13	09	51
おいもここ	2026-02-15	501_Splash	AppStart	location=34.98442,138.4061,19.57976	1	10	27	38
おいもここ	2026-01-26	501_Splash	AppStart	location=34.98851,138.3689,39.45775	1	21	11	18
おいもここ	2026-02-11	501_Splash	AppStart	location=35.00037,138.5161,47.4	1	08	00	38
おいもここ	2026-02-18	501_Splash	AppStart	location=35.00075,138.3915,17.53001	1	10	20	56
おいもここ	2026-02-18	501_Splash	AppStart	location=35.00264,138.5126,5.27604	1	12	42	57
おいもここ	2026-02-01	501_Splash	AppStart	location=35.00329,138.4817,14.34897	1	12	01	51
おいもここ	2026-01-27	501_Splash	AppStart	location=35.00666,138.4831,11.82662	1	19	26	44
おいもここ	2026-02-19	501_Splash	AppStart	location=35.00668,138.4831,10.68681	1	19	53	41
おいもここ	2026-02-05	501_Splash	AppStart	location=35.00668,138.4831,13.35105	1	20	01	17
おいもここ	2026-02-25	501_Splash	AppStart	location=35.0067,138.4832,15.27515	1	20	22	23
おいもここ	2026-02-15	501_Splash	AppStart	location=35.01344,138.4663,13.00662	1	22	39	18
おいもここ	2026-01-26	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	2	00	38	25
おいもここ	2026-01-27	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	2	00	37	50
おいもここ	2026-01-28	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	2	00	35	04
おいもここ	2026-01-29	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	1	18	27	20
おいもここ	2026-01-30	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	1	18	46	24
おいもここ	2026-01-31	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	2	00	56	53
おいもここ	2026-02-01	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	2	01	30	04
