

店名	日付	category	action	label	件数	時	分	秒
おかげ茶屋	2026-04-09	501_Splash	AppStart	location=34.85192,138.2648,20.28396	1	20	20	10
おかげ茶屋	2026-03-27	501_Splash	AppStart	location=34.95926,138.3902,17.11445	1	03	52	07
おかげ茶屋	2026-04-09	501_Splash	CreateUdidTextOnStorage	udid=1D765528-081D-4A60-B0D1-7F4A1EEAAE23_202306240759182962	1	20	20	09
おかげ茶屋	2026-03-27	501_Splash	CreateUdidTextOnStorage	udid=FBC60BA5-8FB1-47B3-A6C1-93F28E5E818A_202405171037259734	1	03	52	07
おかげ茶屋	2026-03-28	502_Title	CloseScene		1	13	13	58
おかげ茶屋	2026-04-06	502_Title	CloseScene		1	18	24	14
おかげ茶屋	2026-03-28	502_Title	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=503_Subtitle,channel=-1,passphrase=for-passphrase-210	1	13	13	57
おかげ茶屋	2026-04-06	502_Title	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=503_Subtitle,channel=646,passphrase=for-passphrase-646	1	18	24	13
おかげ茶屋	2026-04-15	502_Title	TapedMapPin	origin_user_id=231	1	19	47	03
おかげ茶屋	2026-04-16	502_Title	TapedMapPin	origin_user_id=231	1	03	35	07
おかげ茶屋	2026-03-28	503_Subtitle	CloseScene		1	13	13	51
おかげ茶屋	2026-04-06	503_Subtitle	CloseScene		1	18	24	10
おかげ茶屋	2026-03-28	503_Subtitle	OpenScene(ARSceneGuiButton:店舗情報画面の戻るボタン-218-222-231)	scene=502_Title,channel=-1,passphrase=	1	13	13	51
おかげ茶屋	2026-04-06	503_Subtitle	OpenScene(ARSceneGuiButton:店舗情報画面の戻るボタン-218-222-231)	scene=502_Title,channel=-1,passphrase=	1	18	24	10
おかげ茶屋	2026-04-06	503_Subtitle	OpenUrl(ARSceneGuiButton:マップ-218-222-231)	url=https://www.google.com/maps/place/%E5%B8%82%E5%B7%9D%E5%9C%92/@34.9426993,138.3660565,15z/data=!4m5!3m4!1s0x0:0x4970a6d3ded0ba2e!8m2!3d34.9426993!4d138.3660565?now=639110966431863340	1	18	24	03
