

店名	日付	category	action	label	件数	時	分	秒
焼肉のかねまる　焼津店	2026-03-27	501_Splash	AppStart	location=0,0,0	2	13	09	20
焼肉のかねまる　焼津店	2026-03-29	501_Splash	AppStart	location=0,0,0	1	12	56	10
焼肉のかねまる　焼津店	2026-04-04	501_Splash	AppStart	location=0,0,0	1	07	55	16
焼肉のかねまる　焼津店	2026-04-07	501_Splash	AppStart	location=0,0,0	1	17	28	00
焼肉のかねまる　焼津店	2026-04-11	501_Splash	AppStart	location=0,0,0	1	19	12	25
焼肉のかねまる　焼津店	2026-04-12	501_Splash	AppStart	location=0,0,0	2	12	03	26
焼肉のかねまる　焼津店	2026-04-18	501_Splash	AppStart	location=0,0,0	2	17	51	41
焼肉のかねまる　焼津店	2026-04-19	501_Splash	AppStart	location=0,0,0	1	05	51	54
焼肉のかねまる　焼津店	2026-03-30	501_Splash	AppStart	location=34.65561,138.8553,56.6	1	12	25	20
焼肉のかねまる　焼津店	2026-04-14	501_Splash	AppStart	location=34.67684,138.947,33	1	20	31	33
焼肉のかねまる　焼津店	2026-04-07	501_Splash	AppStart	location=34.78393,138.2965,7.878591	1	16	24	49
焼肉のかねまる　焼津店	2026-04-07	501_Splash	AppStart	location=34.82656,138.3015,9.353007	1	17	33	10
焼肉のかねまる　焼津店	2026-04-17	501_Splash	AppStart	location=34.82918,138.1918,92	1	15	45	22
焼肉のかねまる　焼津店	2026-04-06	501_Splash	AppStart	location=34.83939,138.3198,4.797131	1	04	31	35
焼肉のかねまる　焼津店	2026-04-22	501_Splash	AppStart	location=34.843,138.3244,3.837045	1	11	36	24
焼肉のかねまる　焼津店	2026-04-20	501_Splash	AppStart	location=34.84651,138.306,7.211159	1	09	33	47
焼肉のかねまる　焼津店	2026-04-11	501_Splash	AppStart	location=34.84673,138.3176,45.3	1	11	34	34
焼肉のかねまる　焼津店	2026-04-08	501_Splash	AppStart	location=34.84803,138.2579,27.13871	1	19	07	29
焼肉のかねまる　焼津店	2026-04-04	501_Splash	AppStart	location=34.84868,138.2866,10.47771	1	15	57	38
焼肉のかねまる　焼津店	2026-04-18	501_Splash	AppStart	location=34.85416,138.2547,18.18041	1	18	25	51
焼肉のかねまる　焼津店	2026-04-02	501_Splash	AppStart	location=34.85431,138.3176,5.82554	1	18	32	15
焼肉のかねまる　焼津店	2026-04-24	501_Splash	AppStart	location=34.85512,138.3181,4.217506	1	20	12	24
焼肉のかねまる　焼津店	2026-04-07	501_Splash	AppStart	location=34.85513,138.318,6.225962	1	18	43	48
焼肉のかねまる　焼津店	2026-03-28	501_Splash	AppStart	location=34.85514,138.318,6.772413	1	12	04	10
焼肉のかねまる　焼津店	2026-04-02	501_Splash	AppStart	location=34.85519,138.3179,5.025246	1	19	44	15
焼肉のかねまる　焼津店	2026-03-29	501_Splash	AppStart	location=34.85525,138.3178,43.3	1	17	57	28
焼肉のかねまる　焼津店	2026-03-29	501_Splash	AppStart	location=34.85525,138.3178,44.4	1	18	58	08
焼肉のかねまる　焼津店	2026-04-11	501_Splash	AppStart	location=34.85528,138.3177,5.672246	1	11	34	34
焼肉のかねまる　焼津店	2026-04-24	501_Splash	AppStart	location=34.85532,138.3177,5.580592	1	21	26	53
焼肉のかねまる　焼津店	2026-03-29	501_Splash	AppStart	location=34.85534,138.3177,5.067372	1	12	40	37
焼肉のかねまる　焼津店	2026-04-19	501_Splash	AppStart	location=34.8556,138.3176,-3.07908	1	18	58	43
焼肉のかねまる　焼津店	2026-04-18	501_Splash	AppStart	location=34.85624,138.2941,10.85404	1	13	47	37
焼肉のかねまる　焼津店	2026-03-26	501_Splash	AppStart	location=34.85833,138.2698,22.64956	1	17	22	23
焼肉のかねまる　焼津店	2026-04-14	501_Splash	AppStart	location=34.86201,138.3059,47	1	05	20	08
焼肉のかねまる　焼津店	2026-04-13	501_Splash	AppStart	location=34.86295,138.313,11.97092	1	21	19	37
焼肉のかねまる　焼津店	2026-04-10	501_Splash	AppStart	location=34.86296,138.3129,2.53092	1	19	18	27
焼肉のかねまる　焼津店	2026-03-29	501_Splash	AppStart	location=34.86315,138.2911,14.11347	1	14	13	25
焼肉のかねまる　焼津店	2026-03-28	501_Splash	AppStart	location=34.86372,138.3153,3.70928	1	18	24	53
