

店名	日付	category	action	label	件数	時	分	秒
すぱざわ	2026-03-26	501_Splash	AppStart	location=0,0,0	1	20	12	50
すぱざわ	2026-03-27	501_Splash	AppStart	location=0,0,0	2	10	25	50
すぱざわ	2026-03-28	501_Splash	AppStart	location=0,0,0	2	07	31	11
すぱざわ	2026-03-29	501_Splash	AppStart	location=0,0,0	5	00	23	43
すぱざわ	2026-03-30	501_Splash	AppStart	location=0,0,0	4	13	21	51
すぱざわ	2026-03-31	501_Splash	AppStart	location=0,0,0	1	16	57	48
すぱざわ	2026-04-01	501_Splash	AppStart	location=0,0,0	2	09	43	10
すぱざわ	2026-04-02	501_Splash	AppStart	location=0,0,0	2	07	47	59
すぱざわ	2026-04-03	501_Splash	AppStart	location=0,0,0	2	00	30	37
すぱざわ	2026-04-05	501_Splash	AppStart	location=0,0,0	1	18	29	06
すぱざわ	2026-04-06	501_Splash	AppStart	location=0,0,0	2	07	37	01
すぱざわ	2026-04-07	501_Splash	AppStart	location=0,0,0	1	20	54	26
すぱざわ	2026-04-09	501_Splash	AppStart	location=0,0,0	4	17	47	15
すぱざわ	2026-04-10	501_Splash	AppStart	location=0,0,0	2	10	20	02
すぱざわ	2026-04-11	501_Splash	AppStart	location=0,0,0	3	12	35	15
すぱざわ	2026-04-12	501_Splash	AppStart	location=0,0,0	8	12	20	36
すぱざわ	2026-04-14	501_Splash	AppStart	location=0,0,0	3	10	56	44
すぱざわ	2026-04-15	501_Splash	AppStart	location=0,0,0	1	12	30	32
すぱざわ	2026-04-16	501_Splash	AppStart	location=0,0,0	2	13	11	45
すぱざわ	2026-04-17	501_Splash	AppStart	location=0,0,0	2	16	42	06
すぱざわ	2026-04-18	501_Splash	AppStart	location=0,0,0	2	16	09	31
すぱざわ	2026-04-19	501_Splash	AppStart	location=0,0,0	1	10	57	08
すぱざわ	2026-04-20	501_Splash	AppStart	location=0,0,0	8	10	31	21
すぱざわ	2026-04-21	501_Splash	AppStart	location=0,0,0	3	11	25	21
すぱざわ	2026-04-22	501_Splash	AppStart	location=0,0,0	1	17	13	08
すぱざわ	2026-04-24	501_Splash	AppStart	location=0,0,0	3	20	42	16
すぱざわ	2026-04-25	501_Splash	AppStart	location=0,0,0	2	16	49	19
すぱざわ	2026-03-26	501_Splash	AppStart	location=34.278,133.7645,41.3	1	18	53	33
すぱざわ	2026-04-25	501_Splash	AppStart	location=34.70658,138.0865,10.22748	1	15	33	46
すぱざわ	2026-04-19	501_Splash	AppStart	location=34.75445,138.2517,6.418684	1	05	53	18
すぱざわ	2026-04-04	501_Splash	AppStart	location=34.78185,138.2297,32.07961	1	16	14	03
すぱざわ	2026-04-25	501_Splash	AppStart	location=34.7821,138.0345,38.09393	1	16	59	59
すぱざわ	2026-04-20	501_Splash	AppStart	location=34.7824,137.9969,31.51502	1	05	59	21
すぱざわ	2026-04-03	501_Splash	AppStart	location=34.78522,138.2472,55.6	1	13	16	37
すぱざわ	2026-04-13	501_Splash	AppStart	location=34.78872,138.2523,16.32173	1	20	19	12
すぱざわ	2026-04-21	501_Splash	AppStart	location=34.79023,138.2374,60.5	1	22	35	11
すぱざわ	2026-04-08	501_Splash	AppStart	location=34.79958,138.2268,68.3	1	00	02	20
すぱざわ	2026-04-03	501_Splash	AppStart	location=34.8045,138.2238,30.19266	1	18	11	37
すぱざわ	2026-04-07	501_Splash	AppStart	location=34.80888,138.2863,9.513343	1	08	57	23
すぱざわ	2026-04-05	501_Splash	AppStart	location=34.81036,138.2821,29.20035	1	12	46	28
すぱざわ	2026-04-23	501_Splash	AppStart	location=34.81115,138.2267,35.15203	1	10	50	28
すぱざわ	2026-04-05	501_Splash	AppStart	location=34.8117,138.2762,14.74849	1	11	31	12
すぱざわ	2026-04-10	501_Splash	AppStart	location=34.814,138.225,37.60946	1	09	31	42
すぱざわ	2026-04-01	501_Splash	AppStart	location=34.81412,138.3228,4.089372	1	01	01	05
すぱざわ	2026-04-03	501_Splash	AppStart	location=34.81667,138.1258,124.9388	1	17	05	38
すぱざわ	2026-04-19	501_Splash	AppStart	location=34.81751,138.1266,157.4	1	21	03	37
すぱざわ	2026-03-28	501_Splash	AppStart	location=34.81894,138.2823,13.6253	1	18	05	21
すぱざわ	2026-04-16	501_Splash	AppStart	location=34.81907,138.2826,14.6113	1	18	43	00
すぱざわ	2026-04-16	501_Splash	AppStart	location=34.81912,138.2822,10.45737	1	18	41	36
すぱざわ	2026-03-27	501_Splash	AppStart	location=34.82587,138.1504,74.50809	1	15	55	03
すぱざわ	2026-04-23	501_Splash	AppStart	location=34.83001,138.3109,53.1	1	03	38	01
すぱざわ	2026-03-27	501_Splash	AppStart	location=34.83085,138.2701,23.19034	1	16	21	33
すぱざわ	2026-04-20	501_Splash	AppStart	location=34.8342,138.325,4.360277	1	18	26	17
すぱざわ	2026-04-12	501_Splash	AppStart	location=34.83424,138.178,60.09808	1	18	39	43
すぱざわ	2026-04-11	501_Splash	AppStart	location=34.83428,138.178,59.69621	1	12	30	17
すぱざわ	2026-04-23	501_Splash	AppStart	location=34.83607,138.2222,89.93884	1	03	45	29
すぱざわ	2026-04-08	501_Splash	AppStart	location=34.8364,138.2424,26.19706	1	17	57	13
すぱざわ	2026-04-24	501_Splash	AppStart	location=34.83691,138.2217,36.52924	1	22	40	09
すぱざわ	2026-03-29	501_Splash	AppStart	location=34.83692,138.2217,41.26502	1	12	25	35
すぱざわ	2026-04-01	501_Splash	AppStart	location=34.83787,138.2182,40.94246	1	23	16	07
すぱざわ	2026-04-10	501_Splash	AppStart	location=34.83796,138.2431,29.66465	1	12	24	38
すぱざわ	2026-04-05	501_Splash	AppStart	location=34.83807,138.2346,31.36667	1	17	24	06
すぱざわ	2026-04-13	501_Splash	AppStart	location=34.83942,138.2623,24.35458	2	23	28	56
すぱざわ	2026-03-28	501_Splash	AppStart	location=34.84003,138.3107,5.755625	1	09	08	11
すぱざわ	2026-04-10	501_Splash	AppStart	location=34.84032,138.265,93.27075	1	21	41	22
すぱざわ	2026-04-02	501_Splash	AppStart	location=34.84054,138.2462,21.24037	1	13	28	08
すぱざわ	2026-04-07	501_Splash	AppStart	location=34.84056,138.2462,31.13652	2	12	36	08
すぱざわ	2026-04-02	501_Splash	AppStart	location=34.84058,138.2462,29.96956	1	11	33	23
すぱざわ	2026-04-02	501_Splash	AppStart	location=34.84061,138.2461,22.9981	1	13	27	31
すぱざわ	2026-04-02	501_Splash	AppStart	location=34.84064,138.2461,26.43946	1	11	32	45
すぱざわ	2026-03-26	501_Splash	AppStart	location=34.84215,138.2072,46.49514	1	18	42	18
すぱざわ	2026-04-19	501_Splash	AppStart	location=34.84272,138.124,82.09311	1	13	50	27
すぱざわ	2026-04-06	501_Splash	AppStart	location=34.84313,138.2688,62	1	23	50	20
すぱざわ	2026-04-01	501_Splash	AppStart	location=34.84343,138.1676,61.62414	1	13	48	30
すぱざわ	2026-04-11	501_Splash	AppStart	location=34.84381,138.1481,75.33423	1	22	46	10
すぱざわ	2026-04-18	501_Splash	AppStart	location=34.84407,138.2417,39.11234	2	15	40	09
すぱざわ	2026-04-20	501_Splash	AppStart	location=34.84435,138.2596,63	1	12	34	04
すぱざわ	2026-04-20	501_Splash	AppStart	location=34.84459,138.2598,63	1	12	39	12
すぱざわ	2026-04-13	501_Splash	AppStart	location=34.84478,138.2318,32.42609	1	19	34	32
すぱざわ	2026-04-11	501_Splash	AppStart	location=34.84565,138.2382,72.4	1	15	37	52
すぱざわ	2026-04-15	501_Splash	AppStart	location=34.84673,138.258,28.89004	1	17	22	53
すぱざわ	2026-04-11	501_Splash	AppStart	location=34.84696,138.2533,74.6	1	17	05	43
すぱざわ	2026-04-09	501_Splash	AppStart	location=34.84715,138.2544,35.26716	1	01	13	03
すぱざわ	2026-04-02	501_Splash	AppStart	location=34.8491,138.259,4.661652	1	21	00	49
すぱざわ	2026-04-09	501_Splash	AppStart	location=34.8496,138.3215,2.864908	1	20	25	44
すぱざわ	2026-04-20	501_Splash	AppStart	location=34.84963,138.3158,44.9	1	05	21	15
すぱざわ	2026-04-20	501_Splash	AppStart	location=34.84964,138.3158,45.2	1	12	47	02
すぱざわ	2026-04-08	501_Splash	AppStart	location=34.84982,138.3084,7.353129	1	13	05	39
すぱざわ	2026-03-26	501_Splash	AppStart	location=34.85016,138.3152,44.7	1	00	25	49
すぱざわ	2026-04-18	501_Splash	AppStart	location=34.85016,138.3153,44.7	1	19	55	24
すぱざわ	2026-03-31	501_Splash	AppStart	location=34.8502,138.3152,44.7	1	21	06	52
すぱざわ	2026-03-28	501_Splash	AppStart	location=34.85022,138.3154,44.6	1	13	13	07
すぱざわ	2026-03-26	501_Splash	AppStart	location=34.85024,138.2464,67.9	1	00	34	56
すぱざわ	2026-04-03	501_Splash	AppStart	location=34.85026,138.3152,44.8	1	07	17	39
すぱざわ	2026-04-24	501_Splash	AppStart	location=34.85095,138.2525,31.27636	1	19	39	53
すぱざわ	2026-04-22	501_Splash	AppStart	location=34.85106,138.3086,47.7	1	19	28	08
すぱざわ	2026-04-04	501_Splash	AppStart	location=34.8511,138.2521,69.4	2	19	34	58
すぱざわ	2026-04-16	501_Splash	AppStart	location=34.85196,138.254,68.00127	1	03	14	19
すぱざわ	2026-04-20	501_Splash	AppStart	location=34.85275,138.2515,28.48141	1	01	33	50
すぱざわ	2026-04-20	501_Splash	AppStart	location=34.85281,138.2514,23.9595	1	01	34	13
すぱざわ	2026-04-11	501_Splash	AppStart	location=34.8529,138.3179,5.344484	1	20	47	31
すぱざわ	2026-04-20	501_Splash	AppStart	location=34.85292,138.2514,24.68179	1	01	35	07
すぱざわ	2026-03-28	501_Splash	AppStart	location=34.85333,138.2368,39.77446	1	08	28	18
すぱざわ	2026-04-04	501_Splash	AppStart	location=34.85345,138.2535,64.9	1	00	09	50
すぱざわ	2026-03-27	501_Splash	AppStart	location=34.85349,138.2534,65.5	1	22	08	53
すぱざわ	2026-04-05	501_Splash	AppStart	location=34.85367,138.2557,64.3	1	19	22	33
すぱざわ	2026-04-18	501_Splash	AppStart	location=34.85401,138.2548,28.5578	1	13	55	32
すぱざわ	2026-04-09	501_Splash	AppStart	location=34.85402,138.2547,25.9334	1	20	04	51
すぱざわ	2026-04-14	501_Splash	AppStart	location=34.85406,138.2549,65.4	1	13	29	02
すぱざわ	2026-04-09	501_Splash	AppStart	location=34.85407,138.2549,27.60087	1	19	57	35
すぱざわ	2026-03-27	501_Splash	AppStart	location=34.85408,138.2548,18.23061	1	19	58	10
すぱざわ	2026-03-27	501_Splash	AppStart	location=34.85408,138.2548,27.50422	1	19	15	40
すぱざわ	2026-04-17	501_Splash	AppStart	location=34.85408,138.2548,28.22741	1	18	47	31
すぱざわ	2026-03-26	501_Splash	AppStart	location=34.85408,138.2548,28.90522	1	20	12	27
すぱざわ	2026-04-18	501_Splash	AppStart	location=34.85408,138.2549,18.22605	1	19	21	08
すぱざわ	2026-04-10	501_Splash	AppStart	location=34.85409,138.2546,27.21556	1	13	01	50
すぱざわ	2026-04-14	501_Splash	AppStart	location=34.8541,138.2547,41.57516	1	13	25	32
すぱざわ	2026-04-12	501_Splash	AppStart	location=34.8541,138.2547,64.5	1	11	36	03
