

店名	日付	category	action	label	件数	時	分	秒
ハンバーグステーキそよかぜ	2026-03-26	501_Splash	AppStart	location=0,0,0	1	21	26	56
ハンバーグステーキそよかぜ	2026-04-18	501_Splash	AppStart	location=0,0,0	2	19	08	30
ハンバーグステーキそよかぜ	2026-04-20	501_Splash	AppStart	location=0,0,0	1	14	14	47
ハンバーグステーキそよかぜ	2026-04-22	501_Splash	AppStart	location=0,0,0	1	20	11	10
ハンバーグステーキそよかぜ	2026-04-24	501_Splash	AppStart	location=0,0,0	1	08	02	23
ハンバーグステーキそよかぜ	2026-04-01	501_Splash	AppStart	location=34.85131,138.2498,29.0944	1	13	45	34
ハンバーグステーキそよかぜ	2026-04-13	501_Splash	AppStart	location=34.86445,138.2639,18.01388	1	11	36	08
ハンバーグステーキそよかぜ	2026-04-20	501_Splash	AppStart	location=34.86455,138.2638,22.35222	1	09	07	17
ハンバーグステーキそよかぜ	2026-03-26	501_Splash	AppStart	location=34.94294,138.3591,12.18273	1	08	44	27
ハンバーグステーキそよかぜ	2026-03-31	501_Splash	AppStart	location=34.96608,139.0954,0	1	02	27	37
ハンバーグステーキそよかぜ	2026-04-16	501_Splash	AppStart	location=35.04665,138.9413,57	1	09	53	44
ハンバーグステーキそよかぜ	2026-04-15	501_Splash	AppStart	location=35.04666,138.9413,57	1	11	53	58
ハンバーグステーキそよかぜ	2026-04-02	501_Splash	AppStart	location=35.08068,138.8999,52	1	11	00	20
ハンバーグステーキそよかぜ	2026-03-29	501_Splash	AppStart	location=35.08304,137.1429,65.37849	1	15	22	33
ハンバーグステーキそよかぜ	2026-04-22	501_Splash	AppStart	location=35.08407,138.8745,0	1	19	36	57
ハンバーグステーキそよかぜ	2026-04-04	501_Splash	AppStart	location=35.08854,138.8547,61.01489	1	23	05	00
ハンバーグステーキそよかぜ	2026-04-23	501_Splash	AppStart	location=35.09716,138.8924,18.08792	1	03	20	36
ハンバーグステーキそよかぜ	2026-04-25	501_Splash	AppStart	location=35.10012,138.8657,47.6	1	21	24	35
ハンバーグステーキそよかぜ	2026-03-26	501_Splash	AppStart	location=35.10024,138.8526,11.65554	1	09	38	31
ハンバーグステーキそよかぜ	2026-04-07	501_Splash	AppStart	location=35.10152,138.8728,79.1	1	05	17	05
ハンバーグステーキそよかぜ	2026-04-05	501_Splash	AppStart	location=35.10591,138.8568,17.88158	1	15	25	12
ハンバーグステーキそよかぜ	2026-04-04	501_Splash	AppStart	location=35.10635,138.8565,16.03713	1	13	53	11
ハンバーグステーキそよかぜ	2026-04-23	501_Splash	AppStart	location=35.10635,138.8566,11.15036	1	18	00	20
ハンバーグステーキそよかぜ	2026-04-09	501_Splash	AppStart	location=35.10635,138.8566,8.203113	1	18	59	40
ハンバーグステーキそよかぜ	2026-04-05	501_Splash	AppStart	location=35.10639,138.8567,11.46254	1	18	41	19
ハンバーグステーキそよかぜ	2026-04-23	501_Splash	AppStart	location=35.10639,138.8567,12.65389	1	13	22	39
ハンバーグステーキそよかぜ	2026-04-16	501_Splash	AppStart	location=35.10639,138.8567,9.226646	1	18	45	04
ハンバーグステーキそよかぜ	2026-04-18	501_Splash	AppStart	location=35.1064,138.8565,52.1	1	18	11	18
ハンバーグステーキそよかぜ	2026-04-08	501_Splash	AppStart	location=35.1064,138.8566,7.633931	1	19	41	30
ハンバーグステーキそよかぜ	2026-03-29	501_Splash	AppStart	location=35.1064,138.8567,10.62389	1	16	17	10
ハンバーグステーキそよかぜ	2026-04-02	501_Splash	AppStart	location=35.1064,138.8567,11.16665	1	13	15	11
ハンバーグステーキそよかぜ	2026-04-25	501_Splash	AppStart	location=35.10641,138.8566,52.2	1	20	19	47
ハンバーグステーキそよかぜ	2026-04-18	501_Splash	AppStart	location=35.10642,138.8565,52.2	1	11	05	11
ハンバーグステーキそよかぜ	2026-03-26	501_Splash	AppStart	location=35.10642,138.8567,12.24389	1	13	54	10
