

店名	日付	category	action	label	件数	時	分	秒
ちゃおちゃん	2026-04-16	501_Splash	AppStart	location=0,0,0	1	19	59	52
ちゃおちゃん	2026-04-08	501_Splash	AppStart	location=34.67075,137.7812,42.94861	1	06	30	54
ちゃおちゃん	2026-04-18	501_Splash	AppStart	location=34.70703,137.73,10.75955	1	17	50	08
ちゃおちゃん	2026-04-04	501_Splash	AppStart	location=34.7207,137.7534,48.1	1	10	44	59
ちゃおちゃん	2026-04-09	501_Splash	AppStart	location=34.72075,137.7536,9.482201	1	19	55	21
ちゃおちゃん	2026-04-20	501_Splash	AppStart	location=34.72077,137.7535,5.277341	1	13	37	03
ちゃおちゃん	2026-04-17	501_Splash	AppStart	location=34.72077,137.7535,5.651477	1	13	39	25
ちゃおちゃん	2026-04-10	501_Splash	AppStart	location=34.72078,137.7534,5.02434	1	13	28	17
ちゃおちゃん	2026-04-02	501_Splash	AppStart	location=34.72078,137.7537,9.276687	1	18	20	19
ちゃおちゃん	2026-04-21	501_Splash	AppStart	location=34.72079,137.7535,6.191757	1	13	34	08
ちゃおちゃん	2026-04-13	501_Splash	AppStart	location=34.72079,137.7535,6.303127	1	13	39	11
ちゃおちゃん	2026-04-23	501_Splash	AppStart	location=34.72081,137.7534,6.848695	1	13	45	33
ちゃおちゃん	2026-04-04	501_Splash	AppStart	location=34.72081,137.7535,9.240952	1	10	41	12
ちゃおちゃん	2026-04-24	501_Splash	AppStart	location=34.72082,137.7534,7.304457	1	13	33	20
ちゃおちゃん	2026-04-03	501_Splash	AppStart	location=34.72083,137.7534,5.074578	1	13	25	47
ちゃおちゃん	2026-04-02	501_Splash	AppStart	location=34.72084,137.7534,6.214932	1	13	29	32
ちゃおちゃん	2026-03-27	501_Splash	AppStart	location=34.72084,137.7534,9.866105	1	13	09	35
ちゃおちゃん	2026-04-24	501_Splash	AppStart	location=34.72084,137.7536,9.236383	1	13	09	24
ちゃおちゃん	2026-03-26	501_Splash	AppStart	location=34.72085,137.7534,8.79276	1	13	13	51
ちゃおちゃん	2026-03-27	501_Splash	AppStart	location=34.72654,137.7562,10.12653	1	17	16	10
ちゃおちゃん	2026-04-04	501_Splash	AppStart	location=34.76804,138.0341,68.12509	1	22	18	20
ちゃおちゃん	2026-03-26	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	1	13	14	06
ちゃおちゃん	2026-03-27	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	1	13	09	31
ちゃおちゃん	2026-04-02	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	1	13	28	16
ちゃおちゃん	2026-04-03	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	1	13	26	14
ちゃおちゃん	2026-04-06	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	1	13	33	16
ちゃおちゃん	2026-04-07	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	3	13	27	15
ちゃおちゃん	2026-04-08	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	1	13	19	48
ちゃおちゃん	2026-04-09	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	1	13	33	53
ちゃおちゃん	2026-04-10	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	2	13	28	10
ちゃおちゃん	2026-04-13	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	1	13	42	41
ちゃおちゃん	2026-04-14	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	1	13	24	43
ちゃおちゃん	2026-04-16	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	1	14	10	19
ちゃおちゃん	2026-04-17	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	2	13	38	50
ちゃおちゃん	2026-04-20	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	1	13	36	50
ちゃおちゃん	2026-04-21	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	1	13	32	31
ちゃおちゃん	2026-04-23	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	1	13	45	33
ちゃおちゃん	2026-04-24	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	1	13	32	51
ちゃおちゃん	2026-04-09	501_Splash	CreateUdidTextOnStorage	udid=1B56C82E-0C5B-4287-8BD6-3F67396B1343_202507042311001228	1	19	55	18
ちゃおちゃん	2026-04-16	501_Splash	CreateUdidTextOnStorage	udid=1B56C82E-0C5B-4287-8BD6-3F67396B1343_202507042311001228	1	19	59	51
ちゃおちゃん	2026-04-04	501_Splash	CreateUdidTextOnStorage	udid=231FD72B-AEBA-408B-A4E7-4A3BB35F37A0_202204260558324947	1	22	18	19
ちゃおちゃん	2026-04-04	501_Splash	CreateUdidTextOnStorage	udid=68562B8F-644E-4758-9D2E-9A11C13B289E_202509090934159224	1	10	41	11
ちゃおちゃん	2026-04-24	501_Splash	CreateUdidTextOnStorage	udid=68562B8F-644E-4758-9D2E-9A11C13B289E_202509090934159224	1	13	09	23
ちゃおちゃん	2026-03-26	501_Splash	CreateUdidTextOnStorage	udid=9377B039-0723-4FA1-A808-916B8D25EE82_202512151300363339	1	13	13	50
ちゃおちゃん	2026-03-27	501_Splash	CreateUdidTextOnStorage	udid=9377B039-0723-4FA1-A808-916B8D25EE82_202512151300363339	1	13	09	34
ちゃおちゃん	2026-04-02	501_Splash	CreateUdidTextOnStorage	udid=9377B039-0723-4FA1-A808-916B8D25EE82_202512151300363339	1	13	29	31
ちゃおちゃん	2026-04-03	501_Splash	CreateUdidTextOnStorage	udid=9377B039-0723-4FA1-A808-916B8D25EE82_202512151300363339	1	13	25	46
ちゃおちゃん	2026-04-10	501_Splash	CreateUdidTextOnStorage	udid=9377B039-0723-4FA1-A808-916B8D25EE82_202512151300363339	1	13	28	16
ちゃおちゃん	2026-04-13	501_Splash	CreateUdidTextOnStorage	udid=9377B039-0723-4FA1-A808-916B8D25EE82_202512151300363339	1	13	39	10
ちゃおちゃん	2026-04-17	501_Splash	CreateUdidTextOnStorage	udid=9377B039-0723-4FA1-A808-916B8D25EE82_202512151300363339	1	13	39	24
