

店名	日付	category	action	label	件数	時	分	秒
"お好み焼き どんまい"	2026-03-28	501_Splash	AppStart	location=0,0,0	1	16	56	21
"お好み焼き どんまい"	2026-04-04	501_Splash	AppStart	location=0,0,0	1	21	59	19
"お好み焼き どんまい"	2026-04-05	501_Splash	AppStart	location=0,0,0	1	13	22	15
"お好み焼き どんまい"	2026-04-06	501_Splash	AppStart	location=0,0,0	1	21	41	42
"お好み焼き どんまい"	2026-04-16	501_Splash	AppStart	location=0,0,0	1	11	45	16
"お好み焼き どんまい"	2026-04-24	501_Splash	AppStart	location=0,0,0	1	19	18	09
"お好み焼き どんまい"	2026-04-25	501_Splash	AppStart	location=0,0,0	1	08	32	09
"お好み焼き どんまい"	2026-03-26	501_Splash	AppStart	location=34.8312,138.2374,31.44001	1	21	33	50
"お好み焼き どんまい"	2026-03-27	501_Splash	AppStart	location=34.86919,138.3173,6.217772	2	13	35	11
"お好み焼き どんまい"	2026-03-27	501_Splash	AppStart	location=34.8719,138.2829,15.64767	1	21	14	19
"お好み焼き どんまい"	2026-04-05	501_Splash	AppStart	location=34.9112,138.2621,23.88835	1	12	41	44
"お好み焼き どんまい"	2026-04-19	501_Splash	AppStart	location=34.94791,138.4081,7.834638	1	12	28	04
"お好み焼き どんまい"	2026-04-12	501_Splash	AppStart	location=34.94818,138.4152,10.18715	1	22	44	24
"お好み焼き どんまい"	2026-03-29	501_Splash	AppStart	location=34.94837,138.3469,19.13178	1	06	04	00
"お好み焼き どんまい"	2026-04-08	501_Splash	AppStart	location=34.94852,138.4301,10.59995	1	14	51	28
"お好み焼き どんまい"	2026-04-10	501_Splash	AppStart	location=34.95346,138.3981,7.973269	1	18	58	52
"お好み焼き どんまい"	2026-04-23	501_Splash	AppStart	location=34.95346,138.3981,9.474754	1	00	36	06
"お好み焼き どんまい"	2026-04-17	501_Splash	AppStart	location=34.95598,138.3844,21.96755	1	19	24	54
"お好み焼き どんまい"	2026-03-26	501_Splash	AppStart	location=34.95605,138.3844,14.48972	1	21	32	23
"お好み焼き どんまい"	2026-03-30	501_Splash	AppStart	location=34.95617,138.3845,15.27861	1	18	31	49
"お好み焼き どんまい"	2026-03-26	501_Splash	AppStart	location=34.95621,138.3845,14.48989	1	20	04	25
"お好み焼き どんまい"	2026-04-17	501_Splash	AppStart	location=34.95622,138.3845,16.78013	1	19	58	45
