

ìXñº	ì˙ït	category	action	label	åèêî	éû	ï™	ïb
Ç‡Ç‡ãg	2026-03-28	501_Splash	AppStart	location=0,0,0	1	18	22	26
Ç‡Ç‡ãg	2026-04-01	501_Splash	AppStart	location=34.66712,138.0685,11.67296	1	10	49	53
Ç‡Ç‡ãg	2026-04-10	501_Splash	AppStart	location=34.77501,138.2708,9.627003	1	11	41	47
Ç‡Ç‡ãg	2026-04-09	501_Splash	AppStart	location=34.78919,138.2238,33.62708	1	09	28	24
Ç‡Ç‡ãg	2026-04-02	501_Splash	AppStart	location=34.78966,138.0699,96.8	1	12	19	16
Ç‡Ç‡ãg	2026-04-13	501_Splash	AppStart	location=34.82677,138.2774,16.43244	1	10	35	07
Ç‡Ç‡ãg	2026-04-10	501_Splash	AppStart	location=34.83628,138.1669,129	1	21	01	32
Ç‡Ç‡ãg	2026-04-15	501_Splash	AppStart	location=34.83789,138.2182,40.18245	1	22	35	20
Ç‡Ç‡ãg	2026-04-16	501_Splash	AppStart	location=34.83899,138.1763,63.84994	1	12	58	03
Ç‡Ç‡ãg	2026-04-25	501_Splash	AppStart	location=34.83941,138.2623,24.615	1	07	36	44
Ç‡Ç‡ãg	2026-03-29	501_Splash	AppStart	location=34.84021,138.2118,83.3	2	21	28	26
Ç‡Ç‡ãg	2026-04-21	501_Splash	AppStart	location=34.8405,138.2462,31.69972	1	11	52	12
Ç‡Ç‡ãg	2026-04-21	501_Splash	AppStart	location=34.84052,138.2462,31.96413	1	11	51	44
Ç‡Ç‡ãg	2026-04-11	501_Splash	AppStart	location=34.84464,138.2597,63	1	17	45	09
Ç‡Ç‡ãg	2026-04-05	501_Splash	AppStart	location=34.84909,138.3034,8.988846	1	11	25	42
Ç‡Ç‡ãg	2026-04-12	501_Splash	AppStart	location=34.8541,138.2548,26.31514	1	19	52	14
Ç‡Ç‡ãg	2026-03-27	501_Splash	AppStart	location=34.86443,138.2639,20.64482	1	11	14	16
Ç‡Ç‡ãg	2026-03-29	501_Splash	AppStart	location=34.86973,138.2592,63.4	1	13	24	38
Ç‡Ç‡ãg	2026-03-29	501_Splash	AppStart	location=34.8737,138.3052,6.55054	1	10	16	50
Ç‡Ç‡ãg	2026-04-05	501_Splash	AppStart	location=34.90285,138.1119,117.284	1	11	02	55
Ç‡Ç‡ãg	2026-03-29	501_Splash	AppStart	location=34.94743,138.4237,11.05372	1	06	54	58
Ç‡Ç‡ãg	2026-04-22	501_Splash	AppStart	location=34.95736,138.4176,49.8	1	07	06	30
Ç‡Ç‡ãg	2026-04-09	501_Splash	AppStart	location=34.97329,138.4178,14.72913	1	13	52	14
Ç‡Ç‡ãg	2026-04-19	501_Splash	AppStart	location=34.97354,138.4173,15.31272	1	22	26	20
Ç‡Ç‡ãg	2026-04-17	501_Splash	AppStart	location=34.97401,138.4122,16.35167	2	17	31	36
Ç‡Ç‡ãg	2026-03-28	501_Splash	AppStart	location=34.99533,138.4364,33.87145	1	17	00	50
Ç‡Ç‡ãg	2026-04-19	501_Splash	AppStart	location=35.04699,138.0831,232.2097	1	10	24	38
Ç‡Ç‡ãg	2026-04-19	501_Splash	AppStart	location=35.0506,138.0957,239.8713	1	20	38	30
Ç‡Ç‡ãg	2026-04-10	501_Splash	CreateUdidTextOnStorage	udid=18166E73-F49D-4C73-863A-F7550FA6ADBA_202210291814157397	1	11	41	46
Ç‡Ç‡ãg	2026-04-19	501_Splash	CreateUdidTextOnStorage	udid=2765C905-CF18-443F-9223-8B8EE949343A_202511131355291509	1	10	24	38
Ç‡Ç‡ãg	2026-04-15	501_Splash	CreateUdidTextOnStorage	udid=3544C30A-A3CC-4EA3-8C70-EFDF7517B8F5_202406221753050891	1	22	35	19
Ç‡Ç‡ãg	2026-04-09	501_Splash	CreateUdidTextOnStorage	udid=3DEAFAAB-2C91-406B-91A5-7B9FA484CA7B_202403231124329428	1	09	28	23
Ç‡Ç‡ãg	2026-04-01	501_Splash	CreateUdidTextOnStorage	udid=46D160CE-6FCA-4895-ACCF-15358B718719_202105241738097992	1	10	49	52
Ç‡Ç‡ãg	2026-04-21	501_Splash	CreateUdidTextOnStorage	udid=49F6B211-5C66-4FE6-86CF-D379FE383E70_202503061113593009	2	11	51	43
