

店名	日付	category	action	label	件数	時	分	秒
キャセロール	2026-03-28	501_Splash	AppStart	location=0,0,0	1	10	44	55
キャセロール	2026-03-29	501_Splash	AppStart	location=0,0,0	3	08	08	19
キャセロール	2026-03-30	501_Splash	AppStart	location=0,0,0	1	17	44	35
キャセロール	2026-03-31	501_Splash	AppStart	location=0,0,0	1	11	33	05
キャセロール	2026-04-03	501_Splash	AppStart	location=0,0,0	1	20	27	47
キャセロール	2026-04-05	501_Splash	AppStart	location=0,0,0	1	18	04	22
キャセロール	2026-04-06	501_Splash	AppStart	location=0,0,0	1	21	20	27
キャセロール	2026-04-08	501_Splash	AppStart	location=0,0,0	1	19	13	34
キャセロール	2026-04-12	501_Splash	AppStart	location=0,0,0	1	23	40	12
キャセロール	2026-04-14	501_Splash	AppStart	location=0,0,0	1	11	00	22
キャセロール	2026-04-15	501_Splash	AppStart	location=0,0,0	1	19	01	27
キャセロール	2026-04-16	501_Splash	AppStart	location=0,0,0	1	21	20	45
キャセロール	2026-04-19	501_Splash	AppStart	location=0,0,0	2	16	04	37
キャセロール	2026-04-20	501_Splash	AppStart	location=0,0,0	2	10	57	54
キャセロール	2026-04-21	501_Splash	AppStart	location=0,0,0	4	12	40	47
キャセロール	2026-04-22	501_Splash	AppStart	location=0,0,0	5	11	33	34
キャセロール	2026-04-23	501_Splash	AppStart	location=0,0,0	3	11	22	02
キャセロール	2026-04-24	501_Splash	AppStart	location=0,0,0	4	12	31	30
キャセロール	2026-04-25	501_Splash	AppStart	location=0,0,0	5	11	53	47
キャセロール	2026-03-27	501_Splash	AppStart	location=34.75023,137.9247,14.80561	1	12	44	54
キャセロール	2026-04-10	501_Splash	AppStart	location=34.75316,138.2405,6.426095	1	16	22	34
キャセロール	2026-04-19	501_Splash	AppStart	location=34.77512,138.2283,19.04306	1	22	17	19
キャセロール	2026-04-15	501_Splash	AppStart	location=34.7961,138.2451,60.8	1	11	01	36
キャセロール	2026-04-15	501_Splash	AppStart	location=34.79836,138.2299,58.84442	1	10	51	54
キャセロール	2026-04-18	501_Splash	AppStart	location=34.8077,138.2672,19.03667	1	15	55	19
キャセロール	2026-03-27	501_Splash	AppStart	location=34.80838,138.2787,11.09072	1	12	36	10
キャセロール	2026-03-29	501_Splash	AppStart	location=34.81213,138.2768,13.65583	1	08	54	57
キャセロール	2026-04-17	501_Splash	AppStart	location=34.81553,138.2732,15.28712	1	13	20	10
キャセロール	2026-04-14	501_Splash	AppStart	location=34.82075,138.2877,14.09481	1	19	48	01
キャセロール	2026-03-30	501_Splash	AppStart	location=34.82282,138.1355,71.05024	1	18	19	22
キャセロール	2026-04-13	501_Splash	AppStart	location=34.82679,138.2775,16.33602	1	10	59	14
キャセロール	2026-04-13	501_Splash	AppStart	location=34.8268,138.2774,18.96793	1	10	55	41
キャセロール	2026-04-12	501_Splash	AppStart	location=34.82712,138.2564,25.88289	1	00	15	30
キャセロール	2026-04-21	501_Splash	AppStart	location=34.82712,138.2564,26.09504	1	00	04	48
キャセロール	2026-04-25	501_Splash	AppStart	location=34.82823,138.3348,46.3	1	09	28	06
キャセロール	2026-03-31	501_Splash	AppStart	location=34.8303,138.2173,38.0883	1	07	53	44
キャセロール	2026-03-31	501_Splash	AppStart	location=34.8303,138.2173,40.93877	1	07	52	41
キャセロール	2026-04-08	501_Splash	AppStart	location=34.83194,138.128,78.44469	1	12	34	13
キャセロール	2026-04-16	501_Splash	AppStart	location=34.83201,138.1561,108.7	1	10	24	30
キャセロール	2026-04-20	501_Splash	AppStart	location=34.83206,138.1878,50.30175	1	19	23	11
キャセロール	2026-04-23	501_Splash	AppStart	location=34.83249,138.177,61.49141	1	18	44	55
キャセロール	2026-04-07	501_Splash	AppStart	location=34.83256,138.1921,100.7	1	03	54	12
キャセロール	2026-04-13	501_Splash	AppStart	location=34.83378,138.2071,45.3444	1	07	01	15
キャセロール	2026-04-01	501_Splash	AppStart	location=34.83424,138.1783,0	1	13	14	04
キャセロール	2026-04-01	501_Splash	AppStart	location=34.83431,138.1785,98.2	1	15	47	28
キャセロール	2026-04-01	501_Splash	AppStart	location=34.83454,138.1786,156.4659	1	15	45	38
キャセロール	2026-04-09	501_Splash	AppStart	location=34.83623,138.2159,79.7	1	07	51	48
キャセロール	2026-04-02	501_Splash	AppStart	location=34.83761,138.1866,54.24628	1	14	26	39
キャセロール	2026-04-05	501_Splash	AppStart	location=34.83839,138.3203,2.304123	1	01	21	20
キャセロール	2026-04-04	501_Splash	AppStart	location=34.83992,138.241,32.49528	1	20	25	47
キャセロール	2026-04-22	501_Splash	AppStart	location=34.84028,138.2001,48.14349	1	20	09	08
キャセロール	2026-03-30	501_Splash	AppStart	location=34.84092,138.2596,24.76683	1	19	34	31
キャセロール	2026-03-26	501_Splash	AppStart	location=34.84174,138.208,40.45033	1	15	45	52
キャセロール	2026-04-04	501_Splash	AppStart	location=34.84233,138.1805,58.85907	1	07	35	07
キャセロール	2026-04-06	501_Splash	AppStart	location=34.84511,138.2558,26.90244	1	23	20	55
キャセロール	2026-04-12	501_Splash	AppStart	location=34.84579,138.2592,21.06049	1	18	27	47
キャセロール	2026-04-12	501_Splash	AppStart	location=34.84605,138.2644,61.1	1	20	15	16
キャセロール	2026-04-10	501_Splash	AppStart	location=34.84715,138.2596,26.96727	1	16	19	08
キャセロール	2026-04-19	501_Splash	AppStart	location=34.84768,138.2579,51.93732	1	19	02	57
キャセロール	2026-04-25	501_Splash	AppStart	location=34.84773,138.2579,18.36142	1	18	00	13
キャセロール	2026-04-11	501_Splash	AppStart	location=34.84779,138.2579,67.3	1	17	47	38
キャセロール	2026-04-12	501_Splash	AppStart	location=34.8478,138.2577,66.1	1	13	56	45
キャセロール	2026-04-03	501_Splash	AppStart	location=34.8478,138.2579,18.28287	1	18	57	54
キャセロール	2026-04-18	501_Splash	AppStart	location=34.84782,138.2578,15.76529	1	17	31	49
キャセロール	2026-04-22	501_Splash	AppStart	location=34.84782,138.2578,76.09674	1	12	35	05
キャセロール	2026-03-27	501_Splash	AppStart	location=34.84783,138.258,18.72358	1	11	51	57
キャセロール	2026-04-12	501_Splash	AppStart	location=34.84784,138.2577,66.4	1	19	18	13
キャセロール	2026-04-05	501_Splash	AppStart	location=34.84787,138.2578,66	1	12	42	50
キャセロール	2026-04-11	501_Splash	AppStart	location=34.84789,138.2576,64.9	1	19	39	31
キャセロール	2026-04-11	501_Splash	AppStart	location=34.8479,138.2578,26.93804	1	19	39	01
キャセロール	2026-04-12	501_Splash	AppStart	location=34.8479,138.2578,66	1	19	17	38
キャセロール	2026-04-05	501_Splash	AppStart	location=34.8479,138.2579,66.3	1	12	47	14
キャセロール	2026-04-03	501_Splash	AppStart	location=34.84792,138.2578,27.82796	1	12	38	17
キャセロール	2026-04-15	501_Splash	AppStart	location=34.84792,138.2578,64.9	1	11	32	31
キャセロール	2026-04-15	501_Splash	AppStart	location=34.84792,138.2578,66.2	1	11	31	38
キャセロール	2026-04-18	501_Splash	AppStart	location=34.84793,138.2579,19.7742	1	18	32	19
キャセロール	2026-04-25	501_Splash	AppStart	location=34.84805,138.258,29.2867	1	19	21	40
キャセロール	2026-04-22	501_Splash	AppStart	location=34.84808,138.2579,28.57034	1	12	35	06
キャセロール	2026-04-07	501_Splash	AppStart	location=34.84809,138.258,0	1	12	49	27
キャセロール	2026-04-15	501_Splash	AppStart	location=34.84813,138.2573,64.5	1	11	55	12
キャセロール	2026-04-07	501_Splash	AppStart	location=34.84813,138.258,26.9848	1	12	58	55
キャセロール	2026-04-22	501_Splash	AppStart	location=34.84816,138.2579,19.80413	1	11	35	32
キャセロール	2026-04-25	501_Splash	AppStart	location=34.84826,138.2503,29.11408	1	08	12	28
キャセロール	2026-04-18	501_Splash	AppStart	location=34.84829,138.2587,21.55	1	17	31	16
キャセロール	2026-04-04	501_Splash	AppStart	location=34.8493,138.2437,28.98161	1	21	00	23
