

店名	日付	category	action	label	件数	時	分	秒
サパーン	2026-03-26	501_Splash	AppStart	location=0,0,0	1	18	22	47
サパーン	2026-03-28	501_Splash	AppStart	location=0,0,0	3	10	45	35
サパーン	2026-04-05	501_Splash	AppStart	location=0,0,0	1	11	40	48
サパーン	2026-04-07	501_Splash	AppStart	location=0,0,0	1	13	09	11
サパーン	2026-04-11	501_Splash	AppStart	location=0,0,0	1	12	01	11
サパーン	2026-04-15	501_Splash	AppStart	location=0,0,0	1	09	26	42
サパーン	2026-04-19	501_Splash	AppStart	location=0,0,0	3	10	55	59
サパーン	2026-04-24	501_Splash	AppStart	location=0,0,0	2	11	31	06
サパーン	2026-04-25	501_Splash	AppStart	location=0,0,0	1	19	46	19
サパーン	2026-04-23	501_Splash	AppStart	location=34.73605,137.7685,10.06415	1	12	21	25
サパーン	2026-03-27	501_Splash	AppStart	location=34.76567,137.9742,18.32144	1	17	33	49
サパーン	2026-04-01	501_Splash	AppStart	location=34.82544,138.2471,26.16609	1	10	26	11
サパーン	2026-04-06	501_Splash	AppStart	location=34.84259,138.312,46.5	1	17	53	16
サパーン	2026-03-28	501_Splash	AppStart	location=34.84457,138.2599,25.5209	1	12	39	59
サパーン	2026-04-21	501_Splash	AppStart	location=34.84644,138.2418,32.46882	1	06	04	03
サパーン	2026-03-31	501_Splash	AppStart	location=34.8465,138.2418,30.42978	1	17	40	48
サパーン	2026-03-31	501_Splash	AppStart	location=34.84751,138.268,14.5734	1	19	38	45
サパーン	2026-04-14	501_Splash	AppStart	location=34.84905,138.2491,32.75797	1	22	40	44
サパーン	2026-04-14	501_Splash	AppStart	location=34.84921,138.2491,55.05666	1	22	40	21
サパーン	2026-04-20	501_Splash	AppStart	location=34.84955,138.2698,21.04045	1	07	10	49
サパーン	2026-04-10	501_Splash	AppStart	location=34.84967,138.2513,30.569	1	18	02	01
サパーン	2026-04-19	501_Splash	AppStart	location=34.85124,138.2497,39.78079	1	17	16	35
サパーン	2026-04-19	501_Splash	AppStart	location=34.85134,138.2498,30.73483	1	19	17	33
サパーン	2026-04-16	501_Splash	AppStart	location=34.85135,138.2498,25.73314	1	12	07	43
サパーン	2026-04-17	501_Splash	AppStart	location=34.85135,138.2498,25.77041	1	19	46	13
サパーン	2026-04-19	501_Splash	AppStart	location=34.85138,138.2499,19.98	1	17	16	22
サパーン	2026-03-28	501_Splash	AppStart	location=34.85255,138.2445,28.76632	1	11	44	26
サパーン	2026-04-21	501_Splash	AppStart	location=34.85412,138.2548,26.83088	1	13	10	41
サパーン	2026-04-04	501_Splash	AppStart	location=34.85413,138.2548,26.19071	1	12	54	08
サパーン	2026-04-05	501_Splash	AppStart	location=34.85416,138.2549,64.9	1	17	27	35
サパーン	2026-03-28	501_Splash	AppStart	location=34.85584,138.2488,18.82927	1	13	20	59
サパーン	2026-04-23	501_Splash	AppStart	location=34.85597,138.2486,19.90395	1	18	56	22
サパーン	2026-04-19	501_Splash	AppStart	location=34.85599,138.2485,72.09875	1	12	30	38
サパーン	2026-03-28	501_Splash	AppStart	location=34.85599,138.2487,27.76344	1	13	29	16
サパーン	2026-04-19	501_Splash	AppStart	location=34.856,138.2485,64.9	3	11	43	21
サパーン	2026-04-10	501_Splash	AppStart	location=34.85601,138.2483,27.58856	1	18	06	11
サパーン	2026-03-27	501_Splash	AppStart	location=34.85602,138.2486,27.87639	1	20	35	58
サパーン	2026-04-23	501_Splash	AppStart	location=34.85603,138.2484,18.75195	1	18	08	40
サパーン	2026-04-18	501_Splash	AppStart	location=34.85604,138.2484,24.61235	1	21	23	56
サパーン	2026-04-10	501_Splash	AppStart	location=34.85604,138.2486,23.28224	1	18	51	55
サパーン	2026-04-12	501_Splash	AppStart	location=34.85606,138.2484,25.71099	1	12	59	21
サパーン	2026-03-26	501_Splash	AppStart	location=34.85606,138.2484,27.3156	1	13	28	10
サパーン	2026-04-12	501_Splash	AppStart	location=34.85606,138.2484,27.88986	1	13	00	19
サパーン	2026-04-23	501_Splash	AppStart	location=34.85606,138.2484,36.71069	1	18	56	33
サパーン	2026-03-29	501_Splash	AppStart	location=34.85606,138.2486,27.95892	1	13	30	58
サパーン	2026-03-26	501_Splash	AppStart	location=34.85608,138.2485,27.42102	1	13	28	06
サパーン	2026-04-12	501_Splash	AppStart	location=34.85608,138.2485,39.43996	1	13	00	16
サパーン	2026-04-09	501_Splash	AppStart	location=34.85609,138.2485,29.52946	1	19	43	19
サパーン	2026-04-16	501_Splash	AppStart	location=34.85611,138.2484,28.13864	1	12	39	32
サパーン	2026-04-09	501_Splash	AppStart	location=34.85611,138.2486,24.18694	1	18	10	47
サパーン	2026-04-16	501_Splash	AppStart	location=34.85614,138.2484,29.95746	1	13	21	53
サパーン	2026-04-24	501_Splash	AppStart	location=34.85615,138.2485,23.67869	1	12	08	33
サパーン	2026-03-26	501_Splash	AppStart	location=34.85622,138.2487,29.63387	1	12	38	47
サパーン	2026-04-05	501_Splash	AppStart	location=34.85716,138.2491,65.5	1	21	06	36
サパーン	2026-04-08	501_Splash	AppStart	location=34.86096,138.2301,69.42709	1	13	24	18
サパーン	2026-04-11	501_Splash	AppStart	location=34.86232,138.2459,26.27238	1	20	24	18
サパーン	2026-04-01	501_Splash	AppStart	location=34.86447,138.2639,14.59944	1	14	35	08
サパーン	2026-03-27	501_Splash	AppStart	location=34.86743,138.2545,24.53194	1	11	20	04
サパーン	2026-04-09	501_Splash	AppStart	location=34.86848,138.2759,16.80093	1	15	33	58
サパーン	2026-04-19	501_Splash	AppStart	location=34.87209,138.2579,31.1192	1	18	55	44
サパーン	2026-04-15	501_Splash	AppStart	location=34.87212,138.258,38.8057	1	12	30	14
サパーン	2026-04-19	501_Splash	AppStart	location=34.87221,138.258,29.34024	1	18	33	10
サパーン	2026-04-06	501_Splash	AppStart	location=34.87409,138.2584,25.024	1	11	26	38
サパーン	2026-04-13	501_Splash	AppStart	location=34.88259,138.2567,15.98847	1	16	57	05
