

店名	日付	category	action	label	件数	時	分	秒
シェーブル	2026-03-31	501_Splash	AppStart	location=0,0,0	3	11	36	44
シェーブル	2026-04-01	501_Splash	AppStart	location=0,0,0	1	21	08	46
シェーブル	2026-04-03	501_Splash	AppStart	location=0,0,0	2	06	06	14
シェーブル	2026-04-08	501_Splash	AppStart	location=0,0,0	1	12	13	11
シェーブル	2026-04-12	501_Splash	AppStart	location=0,0,0	1	18	30	50
シェーブル	2026-04-14	501_Splash	AppStart	location=0,0,0	1	12	31	55
シェーブル	2026-04-21	501_Splash	AppStart	location=0,0,0	2	12	16	42
シェーブル	2026-04-15	501_Splash	AppStart	location=34.78097,137.7497,17.60678	1	20	35	04
シェーブル	2026-04-15	501_Splash	AppStart	location=34.781,137.7499,17.88502	1	20	34	43
シェーブル	2026-04-18	501_Splash	AppStart	location=34.85413,138.2547,38.09354	1	16	59	18
シェーブル	2026-04-09	501_Splash	AppStart	location=34.85619,138.259,66.3	1	17	55	03
シェーブル	2026-04-01	501_Splash	AppStart	location=34.86446,138.2638,19.18943	1	09	01	00
シェーブル	2026-04-21	501_Splash	AppStart	location=34.88176,138.3266,15.37235	1	20	45	39
シェーブル	2026-04-08	501_Splash	AppStart	location=34.89969,138.3338,17.73499	1	02	13	53
シェーブル	2026-04-19	501_Splash	AppStart	location=34.90308,138.1121,111.4771	1	13	49	44
シェーブル	2026-04-19	501_Splash	AppStart	location=34.94791,138.4081,7.725836	1	12	34	45
シェーブル	2026-04-11	501_Splash	AppStart	location=34.95349,138.3973,52.2	1	17	00	55
シェーブル	2026-03-31	501_Splash	AppStart	location=34.9535,138.3972,51.9	1	18	07	50
シェーブル	2026-04-23	501_Splash	AppStart	location=34.95865,138.3858,55.1	1	12	12	08
シェーブル	2026-04-17	501_Splash	AppStart	location=34.965,138.4033,15.34248	1	23	47	00
シェーブル	2026-04-18	501_Splash	AppStart	location=34.96503,138.4036,3.829945	1	07	30	07
シェーブル	2026-04-02	501_Splash	AppStart	location=34.97024,138.3678,26.91559	1	17	40	52
シェーブル	2026-04-21	501_Splash	AppStart	location=34.97587,138.4124,18.62956	1	09	58	33
シェーブル	2026-03-30	501_Splash	AppStart	location=34.97725,138.3983,24.41215	1	12	09	19
シェーブル	2026-04-07	501_Splash	AppStart	location=34.98318,138.3714,72	1	13	26	51
シェーブル	2026-04-02	501_Splash	AppStart	location=34.98478,138.3355,76.5	1	18	58	04
シェーブル	2026-04-07	501_Splash	AppStart	location=34.98744,138.4378,58.58617	1	12	23	16
シェーブル	2026-04-20	501_Splash	AppStart	location=34.98953,138.4422,73.64244	1	16	24	44
シェーブル	2026-04-05	501_Splash	AppStart	location=34.99112,138.3962,0	1	11	23	16
シェーブル	2026-04-05	501_Splash	AppStart	location=34.99112,138.3962,19.51645	1	11	05	17
シェーブル	2026-04-03	501_Splash	AppStart	location=34.99171,138.4411,82.9	1	09	43	21
シェーブル	2026-04-03	501_Splash	AppStart	location=34.99172,138.4411,82.9	2	09	42	01
シェーブル	2026-04-05	501_Splash	AppStart	location=34.99186,138.4005,15.45723	3	00	54	39
シェーブル	2026-04-12	501_Splash	AppStart	location=34.99215,138.4454,82.52592	1	12	56	55
シェーブル	2026-04-03	501_Splash	AppStart	location=34.99288,138.3702,40.96761	1	09	48	04
シェーブル	2026-04-24	501_Splash	AppStart	location=34.99448,138.4412,88.3	1	12	40	46
シェーブル	2026-04-05	501_Splash	AppStart	location=34.99461,138.4413,47.69321	1	12	26	45
シェーブル	2026-03-27	501_Splash	AppStart	location=34.99461,138.4413,48.16167	1	11	33	01
シェーブル	2026-04-15	501_Splash	AppStart	location=34.99463,138.4412,88.3	1	11	50	45
シェーブル	2026-04-22	501_Splash	AppStart	location=34.99463,138.4413,49.4486	1	19	00	06
シェーブル	2026-03-27	501_Splash	AppStart	location=34.99463,138.4413,49.51846	1	12	27	14
シェーブル	2026-03-27	501_Splash	AppStart	location=34.99464,138.4413,48.18866	1	12	26	39
シェーブル	2026-04-21	501_Splash	AppStart	location=34.99464,138.4413,48.29009	1	12	03	36
シェーブル	2026-04-01	501_Splash	AppStart	location=34.99464,138.4413,48.48473	1	13	35	08
シェーブル	2026-04-15	501_Splash	AppStart	location=34.99464,138.4414,115.5486	1	11	55	58
シェーブル	2026-04-15	501_Splash	AppStart	location=34.99465,138.4412,90.87545	1	11	44	06
シェーブル	2026-04-03	501_Splash	AppStart	location=34.99465,138.4413,46.80432	1	16	43	58
シェーブル	2026-04-18	501_Splash	AppStart	location=34.99465,138.4413,47.8767	1	18	06	31
シェーブル	2026-04-08	501_Splash	AppStart	location=34.99465,138.4413,48.34058	1	12	07	25
シェーブル	2026-04-15	501_Splash	AppStart	location=34.99465,138.4413,95.89703	1	12	42	20
シェーブル	2026-04-14	501_Splash	AppStart	location=34.99466,138.4413,50.59608	1	12	14	18
シェーブル	2026-04-17	501_Splash	AppStart	location=34.99467,138.4411,88.3	1	19	28	13
シェーブル	2026-04-15	501_Splash	AppStart	location=34.99468,138.4412,88.3	1	11	57	06
シェーブル	2026-04-17	501_Splash	AppStart	location=34.9947,138.4411,88	1	18	20	12
シェーブル	2026-04-18	501_Splash	AppStart	location=34.99471,138.4412,88.3	1	19	10	01
シェーブル	2026-04-01	501_Splash	AppStart	location=34.99471,138.4415,88.5	1	20	18	07
シェーブル	2026-04-19	501_Splash	AppStart	location=34.99472,138.4412,88	3	18	51	16
シェーブル	2026-04-19	501_Splash	AppStart	location=34.99473,138.4412,88	1	20	15	51
シェーブル	2026-04-15	501_Splash	AppStart	location=34.99474,138.4412,88.3	1	12	42	51
シェーブル	2026-04-19	501_Splash	AppStart	location=34.99482,138.4415,89.5	1	21	29	24
シェーブル	2026-04-20	501_Splash	AppStart	location=34.99482,138.4415,89.5	1	22	41	31
シェーブル	2026-04-21	501_Splash	AppStart	location=34.99482,138.4416,89.5	1	19	29	21
シェーブル	2026-04-18	501_Splash	AppStart	location=34.9954,138.4401,42.33699	1	19	45	42
シェーブル	2026-04-01	501_Splash	AppStart	location=34.99612,138.4424,87.4	1	22	06	26
シェーブル	2026-04-01	501_Splash	AppStart	location=34.99612,138.4425,87.4	1	21	19	22
シェーブル	2026-04-21	501_Splash	AppStart	location=34.99837,138.4411,71.9	1	00	00	45
シェーブル	2026-04-18	501_Splash	AppStart	location=35.00269,138.431,51.9	1	20	10	13
シェーブル	2026-04-07	501_Splash	AppStart	location=35.00325,138.4657,60.3	1	18	50	08
シェーブル	2026-04-24	501_Splash	AppStart	location=35.00328,138.4657,60.3	1	16	00	49
シェーブル	2026-04-09	501_Splash	AppStart	location=35.00329,138.4659,87.75586	1	20	04	03
シェーブル	2026-03-29	501_Splash	AppStart	location=35.00619,138.4386,13.82166	1	21	24	47
シェーブル	2026-04-18	501_Splash	AppStart	location=35.0062,138.4284,51.8	1	22	51	20
シェーブル	2026-04-18	501_Splash	AppStart	location=35.00634,138.4281,-8.86554	1	20	28	01
