

店名	日付	category	action	label	件数	時	分	秒
ダリア	2026-04-21	501_Splash	AppStart	location=34.96463,138.3829,5.862992	1	20	23	51
ダリア	2026-04-06	501_Splash	AppStart	location=34.97143,138.388,58.1	1	13	36	52
ダリア	2026-04-19	501_Splash	AppStart	location=34.97241,138.3831,72.1	1	02	37	14
ダリア	2026-04-19	501_Splash	AppStart	location=34.97242,138.383,72.1	1	02	38	01
ダリア	2026-04-12	501_Splash	AppStart	location=34.97243,138.383,69.5	1	01	18	11
ダリア	2026-04-18	501_Splash	AppStart	location=34.97243,138.383,72.1	1	02	40	23
ダリア	2026-04-19	501_Splash	AppStart	location=34.97243,138.383,72.1	1	02	36	41
ダリア	2026-03-28	501_Splash	AppStart	location=34.97244,138.383,69.5	2	00	14	12
ダリア	2026-04-01	501_Splash	AppStart	location=35.00079,138.4298,11.87059	1	12	54	43
ダリア	2026-04-21	501_Splash	CreateUdidTextOnStorage	udid=73916706-FF65-418D-B75C-AE787C01B564_202510010419068996	1	20	23	50
ダリア	2026-04-01	501_Splash	CreateUdidTextOnStorage	udid=7FBCC2A4-AB3A-4562-8151-FB999EC6E42E_202512030534504759	1	12	54	42
ダリア	2026-03-28	502_Title	CloseScene		2	00	14	16
ダリア	2026-04-12	502_Title	CloseScene		1	01	18	15
ダリア	2026-04-18	502_Title	CloseScene		1	02	40	28
ダリア	2026-04-19	502_Title	CloseScene		3	02	36	49
ダリア	2026-03-28	502_Title	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=503_Subtitle,channel=607,passphrase=for-passphrase-607	2	00	14	15
ダリア	2026-04-12	502_Title	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=503_Subtitle,channel=607,passphrase=for-passphrase-607	1	01	18	15
ダリア	2026-04-18	502_Title	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=503_Subtitle,channel=607,passphrase=for-passphrase-607	1	02	40	28
ダリア	2026-04-19	502_Title	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=503_Subtitle,channel=607,passphrase=for-passphrase-607	3	02	36	48
ダリア	2026-04-21	502_Title	OpenUrl(SimpleGuiButton:_ChannelOpener)	url=https://x.com/SZ_FAVORONE?AndroidAlwaysOpenExternalBrowser=true&amp;is_use_inner_browser=1&amp;now=639123998379706730	1	20	23	58
ダリア	2026-04-05	502_Title	TapedMapPin	origin_user_id=415	1	06	11	37
ダリア	2026-04-15	502_Title	TapedMapPin	origin_user_id=415	1	19	46	49
ダリア	2026-04-24	502_Title	TapedMapPin	origin_user_id=415	1	20	35	25
ダリア	2026-03-28	503_Subtitle	CloseScene		2	00	14	28
ダリア	2026-04-12	503_Subtitle	CloseScene		1	01	18	38
ダリア	2026-04-18	503_Subtitle	CloseScene		2	02	40	48
ダリア	2026-04-19	503_Subtitle	CloseScene		4	02	36	57
ダリア	2026-04-18	503_Subtitle	OpenScene(ARSceneGuiButton:店舗情報画面の戻るボタン-220-221-229-)	scene=502_Title,channel=-1,passphrase=	1	02	40	59
ダリア	2026-03-28	503_Subtitle	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=523_QrCodeReader,channel=607,passphrase=	2	00	14	27
ダリア	2026-04-12	503_Subtitle	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=523_QrCodeReader,channel=607,passphrase=	1	01	18	38
ダリア	2026-04-18	503_Subtitle	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=523_QrCodeReader,channel=607,passphrase=	1	02	40	47
ダリア	2026-04-19	503_Subtitle	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=523_QrCodeReader,channel=607,passphrase=	4	02	36	56
ダリア	2026-03-28	503_Subtitle	OpenUrl(ARSceneGuiButton:スタンプ-207-220-221-229-233-)	url=https://manage.app-svr.com/CARMforS_CMSTemplate//web_app_user_stamps/index?udid=a87c722bbc8ac2a95893661e1e3b4caf_202411282009235989&amp;application_id=15&amp;LogChannelId=607&amp;viewName=index_favo&amp;version=2.0.6&amp;now=639102536566536490	1	00	14	17
