

店名	日付	category	action	label	件数	時	分	秒
ツドイ(TSUDOI)	2026-04-10	501_Splash	AppStart	location=0,0,0	1	20	20	52
ツドイ(TSUDOI)	2026-04-14	501_Splash	AppStart	location=0,0,0	9	21	30	32
ツドイ(TSUDOI)	2026-04-21	501_Splash	AppStart	location=34.77604,138.2944,5.277916	1	12	58	01
ツドイ(TSUDOI)	2026-04-06	501_Splash	AppStart	location=34.8413,138.2458,29.87163	1	11	08	02
ツドイ(TSUDOI)	2026-04-19	501_Splash	AppStart	location=34.84839,138.2749,56.7	2	06	45	48
ツドイ(TSUDOI)	2026-04-19	501_Splash	AppStart	location=34.8484,138.2749,56.7	1	03	45	31
ツドイ(TSUDOI)	2026-04-19	501_Splash	AppStart	location=34.8484,138.2749,57	1	04	45	41
ツドイ(TSUDOI)	2026-04-19	501_Splash	AppStart	location=34.84843,138.2749,56.7	1	02	45	19
ツドイ(TSUDOI)	2026-04-19	501_Splash	AppStart	location=34.84844,138.2749,56.7	1	05	45	46
ツドイ(TSUDOI)	2026-04-19	501_Splash	AppStart	location=34.84845,138.2749,56.7	1	01	45	09
ツドイ(TSUDOI)	2026-04-25	501_Splash	AppStart	location=34.8502,138.251,31.34996	1	19	22	44
ツドイ(TSUDOI)	2026-04-03	501_Splash	AppStart	location=34.85093,138.2524,33.13	1	19	51	03
ツドイ(TSUDOI)	2026-04-24	501_Splash	AppStart	location=34.85095,138.2525,46.8494	1	19	36	25
ツドイ(TSUDOI)	2026-04-23	501_Splash	AppStart	location=34.85194,138.27,20.44805	1	15	30	58
ツドイ(TSUDOI)	2026-04-25	501_Splash	AppStart	location=34.8638,138.2441,29.75746	2	06	45	48
ツドイ(TSUDOI)	2026-04-14	501_Splash	CreateUdidTextOnStorage	udid=1A724953-44F7-49A8-B660-BEA7B816BB9D_201910100150496004	9	21	30	29
ツドイ(TSUDOI)	2026-04-21	501_Splash	CreateUdidTextOnStorage	udid=2BD8A2B2-A047-4B93-82B3-DE26D864E46A_202604182011430940	1	12	58	01
ツドイ(TSUDOI)	2026-04-06	501_Splash	CreateUdidTextOnStorage	udid=62507581-DC29-4FEE-A56A-7B5062CB5AA9_202102131504398204	1	11	08	00
ツドイ(TSUDOI)	2026-04-03	501_Splash	CreateUdidTextOnStorage	udid=8840AED0-8E4D-44A5-913D-10F26F25734F_202310290743286943	1	19	51	02
ツドイ(TSUDOI)	2026-04-25	501_Splash	CreateUdidTextOnStorage	udid=9C409807-38E1-4716-89B3-B4BCF88060A9_202102211219023958	2	06	45	46
ツドイ(TSUDOI)	2026-04-23	501_Splash	CreateUdidTextOnStorage	udid=B9ED2BBF-BDFE-431B-B188-1D3BF441CF27_201908111928076057	1	15	30	57
ツドイ(TSUDOI)	2026-04-24	501_Splash	CreateUdidTextOnStorage	udid=BF0FC933-3747-4414-86CA-E3728481826F_202604241932198437	1	19	36	24
ツドイ(TSUDOI)	2026-04-25	501_Splash	CreateUdidTextOnStorage	udid=BF0FC933-3747-4414-86CA-E3728481826F_202604241932198437	1	19	22	42
ツドイ(TSUDOI)	2026-04-10	501_Splash	CreateUdidTextOnStorage	udid=DC385A54-8037-4237-A5A8-4340F7764733_202506291345586508	1	20	20	52
ツドイ(TSUDOI)	2026-04-24	501_Splash	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=503_Subtitle,channel=-1,passphrase=	1	19	36	26
ツドイ(TSUDOI)	2026-04-25	501_Splash	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=503_Subtitle,channel=-1,passphrase=	1	06	46	49
ツドイ(TSUDOI)	2026-04-17	501_Splash	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=503_Subtitle,channel=277,passphrase=for-passphrase-277	1	21	26	16
ツドイ(TSUDOI)	2026-04-03	502_Title	CloseScene		1	19	51	12
ツドイ(TSUDOI)	2026-04-06	502_Title	CloseScene		1	11	08	17
ツドイ(TSUDOI)	2026-04-10	502_Title	CloseScene		1	20	21	01
ツドイ(TSUDOI)	2026-04-11	502_Title	CloseScene		2	15	39	34
ツドイ(TSUDOI)	2026-04-14	502_Title	CloseScene		1	21	37	40
ツドイ(TSUDOI)	2026-04-17	502_Title	CloseScene		1	21	28	00
ツドイ(TSUDOI)	2026-04-18	502_Title	CloseScene		3	20	10	44
ツドイ(TSUDOI)	2026-04-19	502_Title	CloseScene		7	02	45	18
ツドイ(TSUDOI)	2026-04-24	502_Title	CloseScene		2	19	36	24
ツドイ(TSUDOI)	2026-04-25	502_Title	CloseScene		3	06	46	46
ツドイ(TSUDOI)	2026-04-25	502_Title	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=503_Subtitle,channel=-1,passphrase=for-passphrase-215	1	19	22	59
ツドイ(TSUDOI)	2026-04-06	502_Title	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=503_Subtitle,channel=-1,passphrase=for-passphrase-252	1	11	08	16
ツドイ(TSUDOI)	2026-04-10	502_Title	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=503_Subtitle,channel=204,passphrase=for-passphrase-204	1	20	21	01
ツドイ(TSUDOI)	2026-04-03	502_Title	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=503_Subtitle,channel=277,passphrase=for-passphrase-277	1	19	51	11
ツドイ(TSUDOI)	2026-04-11	502_Title	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=503_Subtitle,channel=277,passphrase=for-passphrase-277	1	15	39	34
ツドイ(TSUDOI)	2026-04-17	502_Title	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=503_Subtitle,channel=277,passphrase=for-passphrase-277	1	21	28	00
ツドイ(TSUDOI)	2026-04-18	502_Title	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=503_Subtitle,channel=277,passphrase=for-passphrase-277	3	20	10	44
ツドイ(TSUDOI)	2026-04-24	502_Title	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=503_Subtitle,channel=277,passphrase=for-passphrase-277	1	19	46	49
ツドイ(TSUDOI)	2026-04-25	502_Title	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=503_Subtitle,channel=277,passphrase=for-passphrase-277	1	22	02	33
ツドイ(TSUDOI)	2026-04-11	502_Title	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=503_Subtitle,channel=509,passphrase=for-passphrase-509	1	15	42	22
