

店名	日付	category	action	label	件数	時	分	秒
"HALF SHELL"	2026-04-19	501_Splash	AppStart	location=0,0,0	2	19	04	37
"HALF SHELL"	2026-04-20	501_Splash	AppStart	location=0,0,0	1	10	35	39
"HALF SHELL"	2026-04-24	501_Splash	AppStart	location=0,0,0	6	20	19	53
"HALF SHELL"	2026-04-23	501_Splash	AppStart	location=34.81908,138.2825,15.04817	1	14	28	06
"HALF SHELL"	2026-04-20	501_Splash	AppStart	location=34.82964,138.1864,0	1	02	12	15
"HALF SHELL"	2026-04-19	501_Splash	AppStart	location=34.84724,138.2546,28.35699	1	20	26	20
"HALF SHELL"	2026-04-07	501_Splash	AppStart	location=34.84726,138.2546,19.6388	1	16	54	39
"HALF SHELL"	2026-04-07	501_Splash	AppStart	location=34.84729,138.2546,19.76371	1	15	09	40
"HALF SHELL"	2026-04-18	501_Splash	AppStart	location=34.84855,138.2519,31.97998	1	10	27	52
"HALF SHELL"	2026-04-17	501_Splash	AppStart	location=34.84913,138.2531,94.7	1	19	58	20
"HALF SHELL"	2026-04-17	501_Splash	AppStart	location=34.84952,138.2532,98.2	1	23	04	28
"HALF SHELL"	2026-04-18	501_Splash	AppStart	location=34.84955,138.2532,34.03851	1	14	27	39
"HALF SHELL"	2026-04-17	501_Splash	AppStart	location=34.84973,138.2532,98.2	1	23	08	23
"HALF SHELL"	2026-04-18	501_Splash	AppStart	location=34.84979,138.2543,41.97265	1	17	46	26
"HALF SHELL"	2026-04-24	501_Splash	AppStart	location=34.85095,138.2525,46.8494	1	19	41	20
"HALF SHELL"	2026-04-17	501_Splash	AppStart	location=34.85122,138.2499,27.81166	1	19	56	42
"HALF SHELL"	2026-04-14	501_Splash	AppStart	location=34.85125,138.2498,29.08342	1	17	10	05
"HALF SHELL"	2026-04-17	501_Splash	AppStart	location=34.85129,138.2498,37.68081	1	19	55	54
"HALF SHELL"	2026-04-19	501_Splash	AppStart	location=34.85132,138.2498,19.88699	1	19	17	28
"HALF SHELL"	2026-04-25	501_Splash	AppStart	location=34.85132,138.2499,29.73869	1	13	38	16
"HALF SHELL"	2026-04-19	501_Splash	AppStart	location=34.85133,138.2499,67.4	2	20	05	41
"HALF SHELL"	2026-04-21	501_Splash	AppStart	location=34.85134,138.2498,25.1846	1	12	08	23
"HALF SHELL"	2026-04-25	501_Splash	AppStart	location=34.85134,138.2498,26.79628	1	13	27	03
"HALF SHELL"	2026-04-18	501_Splash	AppStart	location=34.85135,138.2498,25.74923	1	13	07	26
"HALF SHELL"	2026-04-15	501_Splash	AppStart	location=34.85135,138.2498,25.76924	2	19	43	34
"HALF SHELL"	2026-04-14	501_Splash	AppStart	location=34.85135,138.2498,25.95981	1	19	57	19
"HALF SHELL"	2026-04-14	501_Splash	AppStart	location=34.85135,138.2498,25.99792	1	17	03	20
"HALF SHELL"	2026-04-14	501_Splash	AppStart	location=34.85135,138.2498,25.99944	2	16	59	18
"HALF SHELL"	2026-04-14	501_Splash	AppStart	location=34.85135,138.2498,26.00241	1	16	59	58
"HALF SHELL"	2026-04-21	501_Splash	AppStart	location=34.85135,138.2498,26.20111	1	22	52	33
"HALF SHELL"	2026-04-22	501_Splash	AppStart	location=34.85135,138.2498,26.26541	1	16	45	44
"HALF SHELL"	2026-04-19	501_Splash	AppStart	location=34.85135,138.2498,28.83035	1	19	03	58
"HALF SHELL"	2026-04-10	501_Splash	AppStart	location=34.85136,138.2498,26.0195	1	10	45	42
"HALF SHELL"	2026-04-25	501_Splash	AppStart	location=34.85145,138.2499,0	1	20	22	36
"HALF SHELL"	2026-04-25	501_Splash	AppStart	location=34.8537,138.2589,23.73634	1	21	57	18
"HALF SHELL"	2026-04-25	501_Splash	AppStart	location=34.85371,138.2588,24.36726	1	21	15	48
"HALF SHELL"	2026-04-07	501_Splash	AppStart	location=34.86444,138.2639,16.29663	1	09	37	44
"HALF SHELL"	2026-04-07	501_Splash	AppStart	location=34.86444,138.2639,17.92799	1	16	02	55
"HALF SHELL"	2026-04-03	501_Splash	AppStart	location=34.86445,138.2639,15.02466	1	17	43	37
"HALF SHELL"	2026-04-14	501_Splash	AppStart	location=34.86445,138.2639,18.15624	2	10	06	54
"HALF SHELL"	2026-04-20	501_Splash	AppStart	location=34.86445,138.2639,22.35222	1	09	00	19
"HALF SHELL"	2026-04-03	501_Splash	AppStart	location=34.86446,138.2639,15.02466	5	16	22	12
"HALF SHELL"	2026-04-03	501_Splash	AppStart	location=34.86446,138.2639,16.77207	2	16	57	40
"HALF SHELL"	2026-04-23	501_Splash	AppStart	location=34.86446,138.2639,20.78115	2	07	08	47
"HALF SHELL"	2026-04-22	501_Splash	AppStart	location=34.86446,138.2639,21.94637	1	10	03	24
"HALF SHELL"	2026-04-07	501_Splash	AppStart	location=34.86447,138.2639,17.68955	2	17	16	34
"HALF SHELL"	2026-04-22	501_Splash	AppStart	location=34.86448,138.2639,16.85485	1	09	11	52
