

店名	日付	category	action	label	件数	時	分	秒
ミドリノタネ	2026-03-27	501_Splash	AppStart	location=0,0,0	2	01	06	54
ミドリノタネ	2026-04-04	501_Splash	AppStart	location=0,0,0	1	09	27	34
ミドリノタネ	2026-04-11	501_Splash	AppStart	location=0,0,0	1	14	03	11
ミドリノタネ	2026-03-29	501_Splash	AppStart	location=34.85936,138.2942,14.0674	1	18	31	10
ミドリノタネ	2026-04-02	501_Splash	AppStart	location=34.87236,138.318,7.500853	1	17	14	44
ミドリノタネ	2026-04-03	501_Splash	AppStart	location=34.88333,138.2785,15.22386	1	22	54	48
ミドリノタネ	2026-04-09	501_Splash	AppStart	location=34.94569,138.3592,21.22215	1	11	54	58
ミドリノタネ	2026-04-03	501_Splash	AppStart	location=34.94825,138.3909,11.86131	1	21	57	52
ミドリノタネ	2026-03-30	501_Splash	AppStart	location=34.94826,138.3908,11.86449	1	23	31	43
ミドリノタネ	2026-04-01	501_Splash	AppStart	location=34.95212,138.3918,8.85057	1	08	48	29
ミドリノタネ	2026-04-10	501_Splash	AppStart	location=34.97819,138.3798,36.67786	1	13	08	46
ミドリノタネ	2026-04-22	501_Splash	AppStart	location=34.97887,138.3716,30.16267	1	12	17	42
ミドリノタネ	2026-04-22	501_Splash	AppStart	location=34.98215,138.396,16.50657	1	14	35	29
ミドリノタネ	2026-03-27	501_Splash	AppStart	location=34.98499,138.41,19.36265	1	16	25	16
ミドリノタネ	2026-04-07	501_Splash	AppStart	location=35.04809,138.5047,12.9043	1	04	41	50
ミドリノタネ	2026-04-13	501_Splash	AppStart	location=35.28931,136.8243,48.5	1	16	26	48
ミドリノタネ	2026-04-13	501_Splash	AppStart	location=35.28932,136.8243,48.5	1	16	26	41
ミドリノタネ	2026-04-19	501_Splash	AppStart	location=35.77795,139.7294,13.77489	1	20	49	28
ミドリノタネ	2026-03-30	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	1	22	06	32
ミドリノタネ	2026-04-10	501_Splash	AppStart	location=AppDeny,AppDeny,AppDeny	1	19	27	37
ミドリノタネ	2026-04-04	501_Splash	CreateUdidTextOnStorage	udid=1CF13EA7-9D1A-46B5-9AA7-B4816CE58BD1_202309161824281830	1	09	27	33
ミドリノタネ	2026-03-27	501_Splash	CreateUdidTextOnStorage	udid=4B403B65-5471-4F4A-946F-71B528B76A0A_202501301310531950	2	01	06	53
ミドリノタネ	2026-04-09	501_Splash	CreateUdidTextOnStorage	udid=4B9CC5D4-C8AC-4329-8509-60A5A0CE7BBB_202403231425489863	1	11	54	57
ミドリノタネ	2026-04-11	501_Splash	CreateUdidTextOnStorage	udid=4E6556D8-881D-41D0-9BED-0B24CA28D98C_202402171441150206	1	14	03	10
ミドリノタネ	2026-04-03	501_Splash	CreateUdidTextOnStorage	udid=7184F5BA-358F-4391-9C06-D13BBD452621_202403181634188481	1	22	54	47
ミドリノタネ	2026-03-30	501_Splash	CreateUdidTextOnStorage	udid=7624928C-EBC9-4BC5-8D8A-D29BD2D073DC_202411301212231390	1	23	31	42
ミドリノタネ	2026-04-01	501_Splash	CreateUdidTextOnStorage	udid=7624928C-EBC9-4BC5-8D8A-D29BD2D073DC_202411301212231390	1	08	48	28
ミドリノタネ	2026-04-03	501_Splash	CreateUdidTextOnStorage	udid=7624928C-EBC9-4BC5-8D8A-D29BD2D073DC_202411301212231390	1	21	57	51
ミドリノタネ	2026-04-19	501_Splash	CreateUdidTextOnStorage	udid=7C7C1414-5611-4240-BD05-D651AF11FFE2_202111021234029236	1	20	49	27
ミドリノタネ	2026-04-10	501_Splash	CreateUdidTextOnStorage	udid=8A8BD0D8-35D2-4265-A677-42428EDAD702_202402061452149410	1	13	08	42
ミドリノタネ	2026-04-02	501_Splash	CreateUdidTextOnStorage	udid=A2E804BC-859C-412D-8FEE-B45CD1278D38_202004261104424093	1	17	14	43
ミドリノタネ	2026-03-27	501_Splash	CreateUdidTextOnStorage	udid=B6E007C6-5C0D-4854-9325-604CAA2A27F0_202403171031568147	1	16	25	15
ミドリノタネ	2026-04-22	501_Splash	CreateUdidTextOnStorage	udid=B6E007C6-5C0D-4854-9325-604CAA2A27F0_202403171031568147	1	14	35	28
ミドリノタネ	2026-03-29	501_Splash	CreateUdidTextOnStorage	udid=EC78D095-3924-4DF1-9651-7889DD65ED8F_202402281321272441	1	18	31	09
