

店名	日付	category	action	label	件数	時	分	秒
モンパルナス	2026-03-27	501_Splash	AppStart	location=0,0,0	5	12	48	50
モンパルナス	2026-03-28	501_Splash	AppStart	location=0,0,0	1	11	15	21
モンパルナス	2026-03-29	501_Splash	AppStart	location=0,0,0	2	07	17	23
モンパルナス	2026-03-30	501_Splash	AppStart	location=0,0,0	2	12	07	24
モンパルナス	2026-04-01	501_Splash	AppStart	location=0,0,0	1	18	06	20
モンパルナス	2026-04-02	501_Splash	AppStart	location=0,0,0	2	12	06	52
モンパルナス	2026-04-04	501_Splash	AppStart	location=0,0,0	1	10	03	52
モンパルナス	2026-04-10	501_Splash	AppStart	location=0,0,0	1	18	47	42
モンパルナス	2026-04-11	501_Splash	AppStart	location=0,0,0	1	08	24	05
モンパルナス	2026-04-12	501_Splash	AppStart	location=0,0,0	4	11	01	22
モンパルナス	2026-04-14	501_Splash	AppStart	location=0,0,0	1	16	12	40
モンパルナス	2026-04-15	501_Splash	AppStart	location=0,0,0	1	23	03	03
モンパルナス	2026-04-16	501_Splash	AppStart	location=0,0,0	1	22	40	34
モンパルナス	2026-04-22	501_Splash	AppStart	location=0,0,0	1	23	36	28
モンパルナス	2026-04-23	501_Splash	AppStart	location=0,0,0	1	06	20	34
モンパルナス	2026-04-24	501_Splash	AppStart	location=0,0,0	2	12	41	37
モンパルナス	2026-04-06	501_Splash	AppStart	location=34.72086,135.7345,217.2	1	07	55	20
モンパルナス	2026-03-31	501_Splash	AppStart	location=34.8456,138.2995,53.4989	1	10	02	22
モンパルナス	2026-04-01	501_Splash	AppStart	location=34.85138,138.2499,29.05652	1	13	09	27
モンパルナス	2026-03-28	501_Splash	AppStart	location=34.85452,138.2509,28.69463	1	00	37	24
モンパルナス	2026-04-03	501_Splash	AppStart	location=34.86434,138.2639,19.29377	1	15	48	56
モンパルナス	2026-04-03	501_Splash	AppStart	location=34.86434,138.2639,19.29506	1	15	41	31
モンパルナス	2026-04-03	501_Splash	AppStart	location=34.86434,138.2639,20.81935	1	16	15	49
モンパルナス	2026-03-27	501_Splash	AppStart	location=34.86443,138.2639,22.22065	1	09	45	18
モンパルナス	2026-04-03	501_Splash	AppStart	location=34.86446,138.2639,15.02466	1	17	47	48
