

店名	日付	category	action	label	件数	時	分	秒
カレー処ヤサカ	2026-04-12	501_Splash	AppStart	location=0,0,0	1	12	52	05
カレー処ヤサカ	2026-04-19	501_Splash	AppStart	location=0,0,0	1	21	49	37
カレー処ヤサカ	2026-04-18	501_Splash	AppStart	location=34.69122,137.744,8.369875	1	00	08	48
カレー処ヤサカ	2026-04-11	501_Splash	AppStart	location=34.69436,137.7609,50.13529	1	20	11	57
カレー処ヤサカ	2026-03-26	501_Splash	AppStart	location=34.69569,137.7516,8.604945	1	21	38	37
カレー処ヤサカ	2026-04-16	501_Splash	AppStart	location=34.69929,137.7524,30.99169	1	18	56	31
カレー処ヤサカ	2026-04-25	501_Splash	AppStart	location=34.70316,137.75,45.9	1	11	24	12
カレー処ヤサカ	2026-04-23	501_Splash	AppStart	location=34.72295,137.6976,6.689161	1	18	49	17
カレー処ヤサカ	2026-03-28	501_Splash	AppStart	location=34.74351,137.7481,6.513853	1	18	39	04
カレー処ヤサカ	2026-03-27	501_Splash	AppStart	location=34.76273,137.7201,53.8332	1	07	32	07
カレー処ヤサカ	2026-04-25	501_Splash	AppStart	location=34.77686,137.7581,16.537	1	05	42	44
カレー処ヤサカ	2026-04-02	501_Splash	AppStart	location=34.85953,138.2726,21.33498	1	07	47	36
カレー処ヤサカ	2026-04-01	501_Splash	AppStart	location=34.86436,138.2639,19.48154	1	17	19	28
カレー処ヤサカ	2026-04-02	501_Splash	AppStart	location=34.86445,138.2639,14.50716	1	07	50	09
カレー処ヤサカ	2026-04-17	501_Splash	AppStart	location=34.89022,138.2619,21.52777	1	08	01	01
カレー処ヤサカ	2026-04-19	501_Splash	AppStart	location=35.54805,139.7679,18.00121	1	10	54	48
カレー処ヤサカ	2026-04-23	501_Splash	CreateUdidTextOnStorage	udid=10C9207C-78D5-445C-9F38-6F696946FE16_202508161231474653	1	18	49	16
カレー処ヤサカ	2026-04-16	501_Splash	CreateUdidTextOnStorage	udid=442DE703-D436-45CF-91C7-2751C03B6CD9_202505251935096410	1	18	56	30
カレー処ヤサカ	2026-04-01	501_Splash	CreateUdidTextOnStorage	udid=467744B2-8085-45B9-95AE-768DB6F93AE9_201904151427099065	1	17	19	24
カレー処ヤサカ	2026-04-02	501_Splash	CreateUdidTextOnStorage	udid=467744B2-8085-45B9-95AE-768DB6F93AE9_201904151427099065	1	07	47	33
カレー処ヤサカ	2026-04-12	501_Splash	CreateUdidTextOnStorage	udid=5CA8FDBB-5EE7-4CAA-BAF0-FF96541D8A2C_202505011202478587	1	20	45	27
カレー処ヤサカ	2026-03-27	501_Splash	CreateUdidTextOnStorage	udid=5D1022EB-3018-43ED-8119-BBBE269EEB9D_201909121419021037	1	07	32	06
カレー処ヤサカ	2026-03-28	501_Splash	CreateUdidTextOnStorage	udid=724CF544-0239-4BEF-9CDB-E489B1DD5E59_202508161247258251	1	18	39	00
カレー処ヤサカ	2026-04-02	501_Splash	CreateUdidTextOnStorage	udid=739E992F-1384-44F0-BC29-E57F06FDD4A6_202601220949131495	1	07	50	06
カレー処ヤサカ	2026-03-26	501_Splash	CreateUdidTextOnStorage	udid=99F02912-53AC-44E7-B806-150864F82F86_202503231828291881	1	21	38	36
カレー処ヤサカ	2026-04-18	501_Splash	CreateUdidTextOnStorage	udid=9F618E56-D8F3-465B-B977-1C6E6B7FC95B_202505251134449575	1	00	08	47
カレー処ヤサカ	2026-04-19	501_Splash	CreateUdidTextOnStorage	udid=B8F0BC90-0D80-468D-ABD1-A104A6FB43B1_202509071157214328	1	10	54	47
カレー処ヤサカ	2026-04-12	501_Splash	CreateUdidTextOnStorage	udid=BA20160B-1777-4E4B-AB69-765BC5843B86_202502021254438009	1	12	52	04
カレー処ヤサカ	2026-04-19	501_Splash	CreateUdidTextOnStorage	udid=BA20160B-1777-4E4B-AB69-765BC5843B86_202502021254438009	1	21	49	36
カレー処ヤサカ	2026-04-25	501_Splash	CreateUdidTextOnStorage	udid=BAC88DDA-90EC-4B9E-ADE0-41B88A7D00E5_202505011206410910	1	05	42	43
カレー処ヤサカ	2026-04-17	501_Splash	CreateUdidTextOnStorage	udid=C4F634B8-F0F7-41F0-9A94-2D78886E414D_202207031753590758	1	08	00	59
カレー処ヤサカ	2026-03-29	501_Splash	OpenScene(SimpleGuiButton:_ChannelOpener)	scene=503_Subtitle,channel=629,passphrase=for-passphrase-629	1	12	29	25
カレー処ヤサカ	2026-03-26	502_Title	CloseScene		1	21	38	44
カレー処ヤサカ	2026-03-29	502_Title	CloseScene		2	12	31	40
カレー処ヤサカ	2026-03-31	502_Title	CloseScene		1	04	18	05
カレー処ヤサカ	2026-04-01	502_Title	CloseScene		1	17	19	34
カレー処ヤサカ	2026-04-02	502_Title	CloseScene		2	07	47	42
