

店名	日付	category	action	label	件数	時	分	秒
ラーメン塩司	2026-03-26	501_Splash	AppStart	location=0,0,0	2	18	53	50
ラーメン塩司	2026-03-27	501_Splash	AppStart	location=0,0,0	4	09	30	21
ラーメン塩司	2026-03-28	501_Splash	AppStart	location=0,0,0	5	07	06	29
ラーメン塩司	2026-03-29	501_Splash	AppStart	location=0,0,0	3	06	57	45
ラーメン塩司	2026-04-01	501_Splash	AppStart	location=0,0,0	1	07	04	11
ラーメン塩司	2026-04-03	501_Splash	AppStart	location=0,0,0	3	15	42	38
ラーメン塩司	2026-04-04	501_Splash	AppStart	location=0,0,0	8	10	41	27
ラーメン塩司	2026-04-05	501_Splash	AppStart	location=0,0,0	1	18	13	52
ラーメン塩司	2026-04-07	501_Splash	AppStart	location=0,0,0	4	08	28	38
ラーメン塩司	2026-04-09	501_Splash	AppStart	location=0,0,0	1	06	08	24
ラーメン塩司	2026-04-10	501_Splash	AppStart	location=0,0,0	2	12	16	59
ラーメン塩司	2026-04-11	501_Splash	AppStart	location=0,0,0	3	13	12	12
ラーメン塩司	2026-04-12	501_Splash	AppStart	location=0,0,0	2	18	02	32
ラーメン塩司	2026-04-13	501_Splash	AppStart	location=0,0,0	1	21	18	49
ラーメン塩司	2026-04-15	501_Splash	AppStart	location=0,0,0	2	17	57	02
ラーメン塩司	2026-04-16	501_Splash	AppStart	location=0,0,0	2	11	49	09
ラーメン塩司	2026-04-17	501_Splash	AppStart	location=0,0,0	1	13	34	04
ラーメン塩司	2026-04-18	501_Splash	AppStart	location=0,0,0	3	12	33	17
ラーメン塩司	2026-04-19	501_Splash	AppStart	location=0,0,0	1	06	58	30
ラーメン塩司	2026-04-20	501_Splash	AppStart	location=0,0,0	1	16	01	39
ラーメン塩司	2026-04-21	501_Splash	AppStart	location=0,0,0	1	18	20	22
ラーメン塩司	2026-04-22	501_Splash	AppStart	location=0,0,0	4	11	48	15
ラーメン塩司	2026-04-23	501_Splash	AppStart	location=0,0,0	3	11	55	34
ラーメン塩司	2026-04-25	501_Splash	AppStart	location=0,0,0	4	10	58	19
ラーメン塩司	2026-04-12	501_Splash	AppStart	location=34.68386,138.1992,5.451465	1	14	55	45
ラーメン塩司	2026-04-18	501_Splash	AppStart	location=34.81787,138.2421,33.56183	1	18	34	12
ラーメン塩司	2026-04-23	501_Splash	AppStart	location=34.81799,138.242,28.7546	1	15	35	36
ラーメン塩司	2026-04-18	501_Splash	AppStart	location=34.8362,138.2385,32.41676	1	00	16	51
ラーメン塩司	2026-04-19	501_Splash	AppStart	location=34.85293,138.3056,6.978401	1	15	10	32
ラーメン塩司	2026-04-02	501_Splash	AppStart	location=34.85401,138.2547,10.40158	1	19	53	28
ラーメン塩司	2026-04-12	501_Splash	AppStart	location=34.85411,138.2547,92.21021	1	11	35	50
ラーメン塩司	2026-04-19	501_Splash	AppStart	location=34.85493,138.2536,83.5	1	08	37	17
ラーメン塩司	2026-03-28	501_Splash	AppStart	location=34.86409,138.3005,13.97519	1	09	29	19
ラーメン塩司	2026-04-12	501_Splash	AppStart	location=34.88641,138.2648,18.54721	1	21	46	56
ラーメン塩司	2026-04-14	501_Splash	AppStart	location=34.89067,138.3295,0	1	10	31	39
ラーメン塩司	2026-04-05	501_Splash	AppStart	location=34.90367,139.1337,20.16315	1	19	03	40
ラーメン塩司	2026-04-01	501_Splash	AppStart	location=34.90984,138.2883,30.61231	1	16	50	22
ラーメン塩司	2026-03-28	501_Splash	AppStart	location=34.92248,138.3606,7.472747	1	19	29	21
ラーメン塩司	2026-04-02	501_Splash	AppStart	location=34.92455,138.3656,5.117058	1	00	19	36
ラーメン塩司	2026-04-05	501_Splash	AppStart	location=34.93231,138.3828,7.083038	1	21	21	07
ラーメン塩司	2026-04-05	501_Splash	AppStart	location=34.93348,138.3819,12.00077	1	21	16	51
ラーメン塩司	2026-03-28	501_Splash	AppStart	location=34.93821,138.398,45.6	1	11	43	37
ラーメン塩司	2026-03-29	501_Splash	AppStart	location=34.93822,138.3938,46.7	2	00	47	15
ラーメン塩司	2026-03-29	501_Splash	AppStart	location=34.93895,138.3956,-4.814719	1	22	40	46
ラーメン塩司	2026-04-02	501_Splash	AppStart	location=34.94118,138.3576,52.1	3	21	56	54
ラーメン塩司	2026-03-29	501_Splash	AppStart	location=34.94185,138.3607,12.30337	1	06	16	02
ラーメン塩司	2026-03-28	501_Splash	AppStart	location=34.9459,138.3902,9.743124	1	19	20	32
ラーメン塩司	2026-03-26	501_Splash	AppStart	location=34.94713,138.3557,17.4193	1	20	55	28
ラーメン塩司	2026-04-02	501_Splash	AppStart	location=34.94739,138.3614,22.76466	1	12	57	56
ラーメン塩司	2026-04-09	501_Splash	AppStart	location=34.94786,138.3658,55	1	00	04	01
ラーメン塩司	2026-04-12	501_Splash	AppStart	location=34.94786,138.3658,55	1	11	40	29
ラーメン塩司	2026-03-28	501_Splash	AppStart	location=34.94878,138.3621,18.48688	1	19	11	55
ラーメン塩司	2026-04-21	501_Splash	AppStart	location=34.94973,138.3885,57.86749	1	18	19	58
ラーメン塩司	2026-04-05	501_Splash	AppStart	location=34.95152,138.3637,19.89022	1	14	41	18
ラーメン塩司	2026-04-24	501_Splash	AppStart	location=34.95188,138.409,10.72658	1	18	52	17
ラーメン塩司	2026-04-19	501_Splash	AppStart	location=34.95205,138.3707,68.87708	3	06	35	54
ラーメン塩司	2026-04-25	501_Splash	AppStart	location=34.95209,138.3916,4.589652	1	19	08	00
ラーメン塩司	2026-04-19	501_Splash	AppStart	location=34.95221,138.3705,83.0141	1	06	26	03
ラーメン塩司	2026-04-09	501_Splash	AppStart	location=34.95287,138.3954,9.587784	1	13	55	18
ラーメン塩司	2026-03-28	501_Splash	AppStart	location=34.95304,138.3824,0	1	16	56	18
ラーメン塩司	2026-04-06	501_Splash	AppStart	location=34.95344,138.3936,51	1	12	10	44
ラーメン塩司	2026-04-25	501_Splash	AppStart	location=34.9548,138.3916,14.34845	1	11	08	31
ラーメン塩司	2026-04-12	501_Splash	AppStart	location=34.95491,138.4128,10.80541	1	15	06	50
ラーメン塩司	2026-04-25	501_Splash	AppStart	location=34.95504,138.3961,14.10416	1	14	50	29
ラーメン塩司	2026-04-12	501_Splash	AppStart	location=34.95523,138.3957,50.3	1	13	28	25
ラーメン塩司	2026-03-28	501_Splash	AppStart	location=34.95531,138.3988,13.82648	1	16	28	01
ラーメン塩司	2026-04-05	501_Splash	AppStart	location=34.95547,138.3813,13.09225	1	16	16	46
ラーメン塩司	2026-04-01	501_Splash	AppStart	location=34.95574,138.3821,16.6938	1	20	30	38
ラーメン塩司	2026-04-05	501_Splash	AppStart	location=34.9562,138.3845,14.85019	1	18	42	35
ラーメン塩司	2026-04-09	501_Splash	AppStart	location=34.95622,138.3912,13.1474	1	12	01	33
ラーメン塩司	2026-04-19	501_Splash	AppStart	location=34.95628,138.3845,54.8	2	20	03	40
ラーメン塩司	2026-04-09	501_Splash	AppStart	location=34.95628,138.4356,43.68998	1	02	25	23
ラーメン塩司	2026-04-11	501_Splash	AppStart	location=34.95663,138.3951,10.43136	1	07	29	02
ラーメン塩司	2026-03-29	501_Splash	AppStart	location=34.95694,138.3799,55.9	1	12	06	08
ラーメン塩司	2026-04-04	501_Splash	AppStart	location=34.95724,138.3968,23.13215	1	17	25	58
ラーメン塩司	2026-04-03	501_Splash	AppStart	location=34.95784,138.3936,63.28058	1	11	50	19
ラーメン塩司	2026-04-15	501_Splash	AppStart	location=34.95788,138.3934,59.8	1	12	44	16
ラーメン塩司	2026-04-17	501_Splash	AppStart	location=34.95817,138.3942,23.7894	1	11	41	55
