

店名	日付	category	action	label	件数	時	分	秒
助宗食堂	2026-03-28	501_Splash	AppStart	location=0,0,0	3	05	52	49
助宗食堂	2026-03-29	501_Splash	AppStart	location=0,0,0	2	11	57	02
助宗食堂	2026-03-30	501_Splash	AppStart	location=0,0,0	2	12	37	19
助宗食堂	2026-04-04	501_Splash	AppStart	location=0,0,0	1	13	21	51
助宗食堂	2026-04-05	501_Splash	AppStart	location=0,0,0	2	12	54	03
助宗食堂	2026-04-07	501_Splash	AppStart	location=0,0,0	1	16	49	33
助宗食堂	2026-04-09	501_Splash	AppStart	location=0,0,0	2	13	05	18
助宗食堂	2026-04-11	501_Splash	AppStart	location=0,0,0	5	08	47	42
助宗食堂	2026-04-12	501_Splash	AppStart	location=0,0,0	5	10	21	50
助宗食堂	2026-04-13	501_Splash	AppStart	location=0,0,0	1	11	08	20
助宗食堂	2026-04-14	501_Splash	AppStart	location=0,0,0	5	10	52	28
助宗食堂	2026-04-15	501_Splash	AppStart	location=0,0,0	3	12	16	09
助宗食堂	2026-04-16	501_Splash	AppStart	location=0,0,0	2	09	47	35
助宗食堂	2026-04-17	501_Splash	AppStart	location=0,0,0	1	13	22	51
助宗食堂	2026-04-18	501_Splash	AppStart	location=0,0,0	5	13	26	23
助宗食堂	2026-04-19	501_Splash	AppStart	location=0,0,0	3	08	27	59
助宗食堂	2026-04-20	501_Splash	AppStart	location=0,0,0	1	18	55	59
助宗食堂	2026-04-21	501_Splash	AppStart	location=0,0,0	2	11	36	06
助宗食堂	2026-04-22	501_Splash	AppStart	location=0,0,0	4	11	13	02
助宗食堂	2026-04-23	501_Splash	AppStart	location=0,0,0	1	22	27	27
助宗食堂	2026-04-24	501_Splash	AppStart	location=0,0,0	1	12	04	24
助宗食堂	2026-04-25	501_Splash	AppStart	location=0,0,0	1	17	38	49
助宗食堂	2026-04-02	501_Splash	AppStart	location=34.66005,138.1584,107.5	2	12	41	09
助宗食堂	2026-04-15	501_Splash	AppStart	location=34.66005,138.1585,103.8	1	08	39	20
助宗食堂	2026-04-08	501_Splash	AppStart	location=34.66008,138.1584,107.7	1	12	43	14
助宗食堂	2026-04-18	501_Splash	AppStart	location=34.66008,138.1584,107.7	1	12	31	30
助宗食堂	2026-04-06	501_Splash	AppStart	location=34.68697,137.7102,43.4	1	11	50	25
助宗食堂	2026-04-03	501_Splash	AppStart	location=34.71949,138.1841,11.35892	1	18	32	48
助宗食堂	2026-04-11	501_Splash	AppStart	location=34.7388,137.9276,0	1	23	33	02
助宗食堂	2026-04-06	501_Splash	AppStart	location=34.75373,138.2574,134.0982	1	21	24	54
助宗食堂	2026-04-25	501_Splash	AppStart	location=34.77204,138.0017,25.82342	1	05	38	12
助宗食堂	2026-03-26	501_Splash	AppStart	location=34.78005,138.1195,1.725675	1	07	16	54
助宗食堂	2026-04-11	501_Splash	AppStart	location=34.80231,138.2817,11.40845	1	15	53	34
助宗食堂	2026-03-28	501_Splash	AppStart	location=34.81898,138.2824,17.07	1	19	40	12
助宗食堂	2026-03-28	501_Splash	AppStart	location=34.81936,138.2818,14.83493	1	19	40	57
助宗食堂	2026-04-16	501_Splash	AppStart	location=34.8209,138.3222,46.2	1	12	28	53
助宗食堂	2026-03-26	501_Splash	AppStart	location=34.82216,138.141,73.0198	1	11	40	22
助宗食堂	2026-04-11	501_Splash	AppStart	location=34.82935,138.2069,43.9048	1	10	50	58
助宗食堂	2026-04-09	501_Splash	AppStart	location=34.83369,138.2213,42.26458	1	07	59	40
助宗食堂	2026-04-12	501_Splash	AppStart	location=34.83597,138.2473,27.28653	1	16	26	14
助宗食堂	2026-04-19	501_Splash	AppStart	location=34.83722,138.2919,14.36728	1	07	40	19
助宗食堂	2026-04-07	501_Splash	AppStart	location=34.83761,138.1866,34.10122	1	22	38	56
助宗食堂	2026-04-22	501_Splash	AppStart	location=34.83762,138.1866,54.92606	1	11	03	58
助宗食堂	2026-04-24	501_Splash	AppStart	location=34.83935,138.2276,28.15465	1	06	05	29
助宗食堂	2026-04-03	501_Splash	AppStart	location=34.8394,138.2276,36.01875	1	10	22	23
助宗食堂	2026-04-05	501_Splash	AppStart	location=34.84053,138.2463,32.57381	1	19	17	04
助宗食堂	2026-04-24	501_Splash	AppStart	location=34.84054,138.2461,32.15913	1	18	15	17
助宗食堂	2026-04-02	501_Splash	AppStart	location=34.84064,138.246,68.9	1	11	32	46
助宗食堂	2026-04-05	501_Splash	AppStart	location=34.84068,138.2461,69	1	19	13	29
助宗食堂	2026-04-02	501_Splash	AppStart	location=34.84069,138.2461,69	1	11	33	22
助宗食堂	2026-04-05	501_Splash	AppStart	location=34.8408,138.2461,36.04766	2	19	19	15
助宗食堂	2026-04-01	501_Splash	AppStart	location=34.84158,138.2649,21.77542	1	13	54	31
助宗食堂	2026-04-01	501_Splash	AppStart	location=34.84167,138.2649,24.19941	1	13	53	16
助宗食堂	2026-04-12	501_Splash	AppStart	location=34.84281,138.159,109	1	05	24	05
助宗食堂	2026-04-01	501_Splash	AppStart	location=34.84282,138.159,108.9	1	05	26	18
助宗食堂	2026-04-20	501_Splash	AppStart	location=34.84357,138.2502,25.35565	1	18	21	01
助宗食堂	2026-04-05	501_Splash	AppStart	location=34.84461,138.2597,25.4486	1	10	23	25
助宗食堂	2026-04-01	501_Splash	AppStart	location=34.84468,138.1583,68.7211	1	08	48	06
助宗食堂	2026-04-13	501_Splash	AppStart	location=34.8447,138.1583,69.75876	1	05	03	37
助宗食堂	2026-04-05	501_Splash	AppStart	location=34.84565,138.245,27.11929	1	19	59	17
助宗食堂	2026-03-26	501_Splash	AppStart	location=34.84628,138.2915,12.93149	1	13	19	43
助宗食堂	2026-03-28	501_Splash	AppStart	location=34.84731,138.2548,26.38718	1	21	44	22
助宗食堂	2026-04-14	501_Splash	AppStart	location=34.84817,138.2504,35.21513	2	19	06	59
助宗食堂	2026-04-12	501_Splash	AppStart	location=34.84932,138.2425,23.42482	1	19	01	38
助宗食堂	2026-04-17	501_Splash	AppStart	location=34.85095,138.2522,28.814	1	21	25	35
助宗食堂	2026-04-17	501_Splash	AppStart	location=34.85096,138.2523,32.9418	1	21	24	54
助宗食堂	2026-04-15	501_Splash	AppStart	location=34.85297,138.297,13.37035	1	12	18	48
助宗食堂	2026-03-31	501_Splash	AppStart	location=34.8538,138.2431,32.02166	1	11	25	25
助宗食堂	2026-04-01	501_Splash	AppStart	location=34.85383,138.2431,21.61694	1	11	56	46
助宗食堂	2026-04-03	501_Splash	AppStart	location=34.85417,138.2437,28.12052	1	12	03	55
助宗食堂	2026-04-05	501_Splash	AppStart	location=34.85461,138.2583,62.4	1	18	55	26
助宗食堂	2026-03-30	501_Splash	AppStart	location=34.85463,138.2583,24.69896	1	03	10	18
助宗食堂	2026-04-19	501_Splash	AppStart	location=34.85493,138.2536,83.5	1	08	39	16
助宗食堂	2026-04-18	501_Splash	AppStart	location=34.85561,138.2507,27.13949	1	12	42	20
助宗食堂	2026-04-14	501_Splash	AppStart	location=34.85577,138.2845,16.61795	1	22	13	01
助宗食堂	2026-04-05	501_Splash	AppStart	location=34.85612,138.2486,27.27514	1	12	38	53
助宗食堂	2026-04-10	501_Splash	AppStart	location=34.85632,138.249,60.07037	1	08	08	25
助宗食堂	2026-04-08	501_Splash	AppStart	location=34.85695,138.2533,27.81229	1	14	36	19
助宗食堂	2026-04-21	501_Splash	AppStart	location=34.85895,138.2291,86.11879	1	07	31	38
