

店名	日付	category	action	label	件数	時	分	秒
宝来屋	2026-03-27	501_Splash	AppStart	location=0,0,0	1	14	18	03
宝来屋	2026-03-28	501_Splash	AppStart	location=0,0,0	1	18	24	29
宝来屋	2026-03-30	501_Splash	AppStart	location=0,0,0	1	17	54	42
宝来屋	2026-03-31	501_Splash	AppStart	location=0,0,0	1	17	58	50
宝来屋	2026-04-03	501_Splash	AppStart	location=0,0,0	1	14	14	15
宝来屋	2026-04-04	501_Splash	AppStart	location=0,0,0	1	17	09	23
宝来屋	2026-04-06	501_Splash	AppStart	location=0,0,0	1	18	49	33
宝来屋	2026-04-07	501_Splash	AppStart	location=0,0,0	1	18	52	20
宝来屋	2026-04-09	501_Splash	AppStart	location=0,0,0	1	12	45	42
宝来屋	2026-04-11	501_Splash	AppStart	location=0,0,0	1	17	45	32
宝来屋	2026-04-14	501_Splash	AppStart	location=0,0,0	2	18	35	38
宝来屋	2026-04-15	501_Splash	AppStart	location=0,0,0	1	18	03	48
宝来屋	2026-04-16	501_Splash	AppStart	location=0,0,0	1	12	57	26
宝来屋	2026-04-17	501_Splash	AppStart	location=0,0,0	1	18	00	18
宝来屋	2026-04-18	501_Splash	AppStart	location=0,0,0	1	18	22	37
宝来屋	2026-04-20	501_Splash	AppStart	location=0,0,0	1	17	31	18
宝来屋	2026-04-21	501_Splash	AppStart	location=0,0,0	1	18	39	08
宝来屋	2026-04-22	501_Splash	AppStart	location=0,0,0	1	17	53	14
宝来屋	2026-04-23	501_Splash	AppStart	location=0,0,0	1	17	18	53
宝来屋	2026-04-25	501_Splash	AppStart	location=35.02407,138.4879,10.0558	1	11	24	40
宝来屋	2026-04-23	501_Splash	AppStart	location=35.10061,138.8573,17.65808	1	14	28	28
宝来屋	2026-04-07	501_Splash	AppStart	location=35.22775,138.6021,168	1	17	55	00
宝来屋	2026-04-09	501_Splash	AppStart	location=35.22776,138.6021,168	1	20	57	32
宝来屋	2026-03-28	501_Splash	AppStart	location=35.22894,138.6007,171.4	1	16	25	51
宝来屋	2026-04-03	501_Splash	AppStart	location=35.22958,138.6004,172.8	1	12	31	23
宝来屋	2026-04-01	501_Splash	AppStart	location=35.2296,138.6004,172.8	1	08	33	17
宝来屋	2026-04-14	501_Splash	AppStart	location=35.22962,138.6004,172.7	1	16	55	09
宝来屋	2026-04-17	501_Splash	AppStart	location=35.22964,138.6005,172.7	1	12	59	12
宝来屋	2026-03-27	501_Splash	AppStart	location=35.22974,138.6004,172.8	1	12	19	46
