

ìXñº	ì˙ït	category	action	label	åèêî	éû	ï™	ïb
ä‚ãvñ{ìX	2026-03-29	501_Splash	AppStart	location=0,0,0	3	14	04	45
ä‚ãvñ{ìX	2026-04-02	501_Splash	AppStart	location=0,0,0	1	22	42	13
ä‚ãvñ{ìX	2026-04-09	501_Splash	AppStart	location=0,0,0	1	15	13	50
ä‚ãvñ{ìX	2026-04-11	501_Splash	AppStart	location=0,0,0	2	06	58	49
ä‚ãvñ{ìX	2026-04-23	501_Splash	AppStart	location=0,0,0	2	16	41	10
ä‚ãvñ{ìX	2026-04-24	501_Splash	AppStart	location=0,0,0	1	14	54	09
ä‚ãvñ{ìX	2026-03-31	501_Splash	AppStart	location=34.33284,135.1964,73	1	12	31	46
ä‚ãvñ{ìX	2026-04-23	501_Splash	AppStart	location=34.70288,137.8434,54.9	1	14	07	30
ä‚ãvñ{ìX	2026-04-05	501_Splash	AppStart	location=34.82957,138.3053,8.16451	1	05	54	29
ä‚ãvñ{ìX	2026-04-06	501_Splash	AppStart	location=34.83384,138.1532,70.83445	1	08	29	26
ä‚ãvñ{ìX	2026-04-14	501_Splash	AppStart	location=34.84724,138.2546,21.02034	1	12	19	11
ä‚ãvñ{ìX	2026-04-14	501_Splash	AppStart	location=34.84724,138.2546,21.11252	1	15	25	01
ä‚ãvñ{ìX	2026-04-03	501_Splash	AppStart	location=34.8489,138.3181,5.900266	1	21	53	37
ä‚ãvñ{ìX	2026-04-14	501_Splash	AppStart	location=34.85129,138.2498,30.82095	2	16	59	20
ä‚ãvñ{ìX	2026-04-16	501_Splash	AppStart	location=34.85733,138.2602,25.61828	2	10	03	30
ä‚ãvñ{ìX	2026-03-26	501_Splash	AppStart	location=34.85736,138.2602,26.60267	1	20	32	54
ä‚ãvñ{ìX	2026-04-22	501_Splash	AppStart	location=34.86193,138.306,47	1	21	19	13
ä‚ãvñ{ìX	2026-04-15	501_Splash	AppStart	location=34.86197,138.306,47	1	21	21	59
ä‚ãvñ{ìX	2026-04-01	501_Splash	AppStart	location=34.86202,138.3059,47.9	1	21	27	07
ä‚ãvñ{ìX	2026-04-14	501_Splash	AppStart	location=34.86203,138.3057,47.2	1	05	18	15
ä‚ãvñ{ìX	2026-04-05	501_Splash	AppStart	location=34.86385,138.2818,28.06522	1	15	35	59
ä‚ãvñ{ìX	2026-04-12	501_Splash	AppStart	location=34.89176,138.3307,0	1	09	39	41
