

店名	日付	category	action	label	件数	時	分	秒
中国料理　芳蘭	2026-04-04	501_Splash	AppStart	location=0,0,0	2	13	31	57
中国料理　芳蘭	2026-04-05	501_Splash	AppStart	location=0,0,0	3	09	34	11
中国料理　芳蘭	2026-04-09	501_Splash	AppStart	location=0,0,0	1	13	57	53
中国料理　芳蘭	2026-04-11	501_Splash	AppStart	location=0,0,0	2	12	04	47
中国料理　芳蘭	2026-04-14	501_Splash	AppStart	location=0,0,0	3	09	14	10
中国料理　芳蘭	2026-04-16	501_Splash	AppStart	location=0,0,0	1	17	46	13
中国料理　芳蘭	2026-04-18	501_Splash	AppStart	location=0,0,0	1	20	11	42
中国料理　芳蘭	2026-04-04	501_Splash	AppStart	location=34.73293,138.2233,0	1	05	00	57
中国料理　芳蘭	2026-04-10	501_Splash	AppStart	location=34.75227,138.2659,48.2	1	08	16	08
中国料理　芳蘭	2026-04-20	501_Splash	AppStart	location=34.77257,135.4393,45.7	1	17	45	04
中国料理　芳蘭	2026-04-14	501_Splash	AppStart	location=34.77609,138.1452,187.0604	1	15	25	35
中国料理　芳蘭	2026-04-23	501_Splash	AppStart	location=34.81504,138.284,14.97849	1	19	25	56
中国料理　芳蘭	2026-04-05	501_Splash	AppStart	location=34.83219,138.2323,0	1	14	38	16
中国料理　芳蘭	2026-04-05	501_Splash	AppStart	location=34.8348,138.1788,59.2143	1	18	50	02
中国料理　芳蘭	2026-03-29	501_Splash	AppStart	location=34.83552,138.2238,39.29874	1	19	41	01
中国料理　芳蘭	2026-04-08	501_Splash	AppStart	location=34.83803,138.2963,52	1	16	13	17
中国料理　芳蘭	2026-03-31	501_Splash	AppStart	location=34.83868,138.2091,57.21714	1	13	03	47
中国料理　芳蘭	2026-04-01	501_Splash	AppStart	location=34.84163,138.2648,17.2523	1	13	53	51
中国料理　芳蘭	2026-04-23	501_Splash	AppStart	location=34.84367,138.2264,35.75449	1	16	41	31
中国料理　芳蘭	2026-04-03	501_Splash	AppStart	location=34.84371,138.2263,36.79375	1	18	27	59
中国料理　芳蘭	2026-04-03	501_Splash	AppStart	location=34.84371,138.2263,37.27399	1	18	18	28
中国料理　芳蘭	2026-04-03	501_Splash	AppStart	location=34.84541,138.3128,46.1	1	18	54	35
中国料理　芳蘭	2026-04-23	501_Splash	AppStart	location=34.84553,138.2505,66.8	1	12	04	58
中国料理　芳蘭	2026-04-23	501_Splash	AppStart	location=34.84565,138.2504,89.7489	1	10	16	03
中国料理　芳蘭	2026-04-21	501_Splash	AppStart	location=34.84645,138.2476,0	1	21	26	39
中国料理　芳蘭	2026-04-02	501_Splash	AppStart	location=34.84745,138.2387,34.09821	1	08	18	39
中国料理　芳蘭	2026-03-31	501_Splash	AppStart	location=34.84751,138.268,14.5734	1	19	42	53
中国料理　芳蘭	2026-04-03	501_Splash	AppStart	location=34.84957,138.2469,28.76632	1	19	05	36
中国料理　芳蘭	2026-04-14	501_Splash	AppStart	location=34.85025,138.2511,31.45781	1	21	27	13
中国料理　芳蘭	2026-04-14	501_Splash	AppStart	location=34.85048,138.2551,34.67	1	07	40	53
中国料理　芳蘭	2026-04-21	501_Splash	AppStart	location=34.85059,138.2552,100.7	1	21	07	41
中国料理　芳蘭	2026-04-16	501_Splash	AppStart	location=34.85066,138.2511,0	1	19	50	29
中国料理　芳蘭	2026-03-28	501_Splash	AppStart	location=34.85068,138.2554,27.84929	1	21	10	08
中国料理　芳蘭	2026-04-17	501_Splash	AppStart	location=34.85076,138.2524,33.31015	1	13	30	08
中国料理　芳蘭	2026-04-17	501_Splash	AppStart	location=34.85102,138.252,28.92349	1	13	32	07
中国料理　芳蘭	2026-04-14	501_Splash	AppStart	location=34.85106,138.2518,33.02556	1	19	24	25
中国料理　芳蘭	2026-03-28	501_Splash	AppStart	location=34.85109,138.252,20.23685	1	13	59	50
中国料理　芳蘭	2026-04-12	501_Splash	AppStart	location=34.8511,138.2521,69.4	1	11	08	30
中国料理　芳蘭	2026-04-14	501_Splash	AppStart	location=34.85111,138.2519,31.54343	1	12	50	31
中国料理　芳蘭	2026-03-28	501_Splash	AppStart	location=34.85112,138.251,23.28497	1	14	00	31
中国料理　芳蘭	2026-03-28	501_Splash	AppStart	location=34.85112,138.2519,30.76036	1	13	45	11
中国料理　芳蘭	2026-03-30	501_Splash	AppStart	location=34.85112,138.252,35.38201	1	12	35	41
中国料理　芳蘭	2026-04-04	501_Splash	AppStart	location=34.85112,138.2521,66.4	1	20	16	42
中国料理　芳蘭	2026-03-29	501_Splash	AppStart	location=34.85112,138.2521,66.5	1	13	56	10
中国料理　芳蘭	2026-04-23	501_Splash	AppStart	location=34.85113,138.2519,28.56102	2	19	45	45
中国料理　芳蘭	2026-03-29	501_Splash	AppStart	location=34.85113,138.252,0	1	14	29	57
中国料理　芳蘭	2026-04-04	501_Splash	AppStart	location=34.85113,138.2521,68.8	1	20	16	16
中国料理　芳蘭	2026-04-04	501_Splash	AppStart	location=34.85113,138.2521,69.4	1	20	17	07
中国料理　芳蘭	2026-04-20	501_Splash	AppStart	location=34.85114,138.2519,30.87261	1	12	18	48
中国料理　芳蘭	2026-04-17	501_Splash	AppStart	location=34.85114,138.2519,31.81376	1	11	50	47
中国料理　芳蘭	2026-04-13	501_Splash	AppStart	location=34.85115,138.2519,28.76632	1	12	05	44
中国料理　芳蘭	2026-04-24	501_Splash	AppStart	location=34.85115,138.2519,32.1938	1	12	02	10
中国料理　芳蘭	2026-04-02	501_Splash	AppStart	location=34.85115,138.252,30.92747	1	11	39	42
中国料理　芳蘭	2026-04-10	501_Splash	AppStart	location=34.85116,138.2519,30.91432	1	18	55	54
中国料理　芳蘭	2026-03-31	501_Splash	AppStart	location=34.85117,138.2518,28.91568	1	13	23	37
中国料理　芳蘭	2026-04-06	501_Splash	AppStart	location=34.85117,138.252,30.62838	1	12	04	08
中国料理　芳蘭	2026-04-20	501_Splash	AppStart	location=34.85118,138.252,30.49722	1	12	19	28
中国料理　芳蘭	2026-04-17	501_Splash	AppStart	location=34.85118,138.252,30.77016	1	13	30	53
中国料理　芳蘭	2026-04-02	501_Splash	AppStart	location=34.85119,138.252,30.52217	1	19	40	07
中国料理　芳蘭	2026-04-09	501_Splash	AppStart	location=34.8512,138.252,39.29169	1	12	23	23
中国料理　芳蘭	2026-04-17	501_Splash	AppStart	location=34.85122,138.2518,28.65941	1	13	31	13
中国料理　芳蘭	2026-04-24	501_Splash	AppStart	location=34.85134,138.2498,26.79731	1	21	26	13
中国料理　芳蘭	2026-04-24	501_Splash	AppStart	location=34.85136,138.2591,26.62442	1	18	50	39
中国料理　芳蘭	2026-04-15	501_Splash	AppStart	location=34.85141,138.2499,27.62973	1	19	48	05
中国料理　芳蘭	2026-04-05	501_Splash	AppStart	location=34.85345,138.2535,64.9	1	20	39	53
中国料理　芳蘭	2026-04-05	501_Splash	AppStart	location=34.85345,138.2535,65	1	22	20	57
中国料理　芳蘭	2026-04-25	501_Splash	AppStart	location=34.85346,138.2535,64.9	1	20	14	10
中国料理　芳蘭	2026-04-08	501_Splash	AppStart	location=34.85351,138.2441,28.52155	1	12	20	01
中国料理　芳蘭	2026-04-12	501_Splash	AppStart	location=34.85373,138.2561,24.46475	1	12	55	32
中国料理　芳蘭	2026-04-03	501_Splash	AppStart	location=34.85417,138.2549,64.6	1	20	58	53
中国料理　芳蘭	2026-04-19	501_Splash	AppStart	location=34.85493,138.2536,83.5	1	08	40	29
中国料理　芳蘭	2026-04-18	501_Splash	AppStart	location=34.85561,138.2507,25.32137	1	12	21	58
中国料理　芳蘭	2026-04-09	501_Splash	AppStart	location=34.85601,138.2485,65.3	2	19	55	12
中国料理　芳蘭	2026-04-09	501_Splash	AppStart	location=34.85603,138.2485,56.82536	1	20	02	10
中国料理　芳蘭	2026-03-28	501_Splash	AppStart	location=34.85604,138.2485,29.21244	1	12	05	38
中国料理　芳蘭	2026-03-31	501_Splash	AppStart	location=34.85662,138.2645,20.37473	1	12	17	41
中国料理　芳蘭	2026-04-21	501_Splash	AppStart	location=34.85895,138.2291,86.11879	1	07	30	58
中国料理　芳蘭	2026-04-05	501_Splash	AppStart	location=34.86207,138.3155,5.516117	1	13	23	08
中国料理　芳蘭	2026-04-01	501_Splash	AppStart	location=34.86446,138.2638,20.89209	1	17	21	46
中国料理　芳蘭	2026-04-03	501_Splash	AppStart	location=34.86449,138.2638,18.79116	1	09	40	51
中国料理　芳蘭	2026-04-09	501_Splash	AppStart	location=34.86848,138.2758,23.703	1	15	32	42
中国料理　芳蘭	2026-04-12	501_Splash	AppStart	location=34.86925,138.2722,0	1	20	02	41
中国料理　芳蘭	2026-04-11	501_Splash	AppStart	location=34.86956,138.2615,23.6669	1	03	53	31
中国料理　芳蘭	2026-04-19	501_Splash	AppStart	location=34.87064,138.2459,52.14832	1	05	56	32
中国料理　芳蘭	2026-04-19	501_Splash	AppStart	location=34.87077,138.2458,74.8	1	05	55	27
中国料理　芳蘭	2026-04-19	501_Splash	AppStart	location=34.87078,138.2458,74.8	1	05	57	42
中国料理　芳蘭	2026-03-27	501_Splash	AppStart	location=34.87113,138.2829,53.7	1	12	07	42
中国料理　芳蘭	2026-04-10	501_Splash	AppStart	location=34.90808,138.2759,13.89643	1	23	06	46
中国料理　芳蘭	2026-04-10	501_Splash	AppStart	location=34.9081,138.2759,13.90377	1	23	07	06
中国料理　芳蘭	2026-03-29	501_Splash	AppStart	location=34.96398,138.3792,59.9	1	23	16	52
中国料理　芳蘭	2026-04-02	501_Splash	AppStart	location=34.97077,138.3868,26.22624	1	19	16	34
中国料理　芳蘭	2026-04-24	501_Splash	AppStart	location=34.9721,138.3877,58.5	1	06	39	28
中国料理　芳蘭	2026-04-02	501_Splash	AppStart	location=34.974,138.4121,54.1	1	19	39	16
中国料理　芳蘭	2026-04-02	501_Splash	AppStart	location=34.97404,138.4121,54.1	1	19	38	26
中国料理　芳蘭	2026-03-31	501_Splash	AppStart	location=34.98059,138.3421,30.90223	1	19	55	24
中国料理　芳蘭	2026-04-02	501_Splash	AppStart	location=35.34541,139.5389,48.9	1	22	57	27
